filename,sample_size,seed,r2
random_sample_1000_points_seed_1.pkl,1000,1,0.22639064281208154
random_sample_1000_points_seed_1213.pkl,1000,1213,0.2726612919822412
random_sample_1000_points_seed_123.pkl,1000,123,0.2800374536990764
random_sample_1000_points_seed_1234.pkl,1000,1234,0.24465594060197549
random_sample_1000_points_seed_1415.pkl,1000,1415,0.19117519021102214
random_sample_1000_points_seed_42.pkl,1000,42,0.28867529210763654
random_sample_1000_points_seed_456.pkl,1000,456,0.23862215444044055
random_sample_1000_points_seed_5678.pkl,1000,5678,0.23345217664063334
random_sample_1000_points_seed_789.pkl,1000,789,0.2409465504099776
random_sample_1000_points_seed_9101.pkl,1000,9101,0.23562409154249664
random_sample_100_points_seed_1.pkl,100,1,-0.0157732931741561
random_sample_100_points_seed_1213.pkl,100,1213,0.12420863720646969
random_sample_100_points_seed_123.pkl,100,123,0.011800241235173758
random_sample_100_points_seed_1234.pkl,100,1234,0.04667556723463884
random_sample_100_points_seed_1415.pkl,100,1415,-0.992758771568478
random_sample_100_points_seed_42.pkl,100,42,0.028362797803546225
random_sample_100_points_seed_456.pkl,100,456,0.020539775111258485
random_sample_100_points_seed_5678.pkl,100,5678,0.07051857288093732
random_sample_100_points_seed_789.pkl,100,789,0.08325328822375078
random_sample_100_points_seed_9101.pkl,100,9101,0.07944132278584326
random_sample_200_points_seed_1.pkl,200,1,0.06977545295804566
random_sample_200_points_seed_1213.pkl,200,1213,0.16144958050514457
random_sample_200_points_seed_123.pkl,200,123,0.13516188974663934
random_sample_200_points_seed_1234.pkl,200,1234,0.05051044589611409
random_sample_200_points_seed_1415.pkl,200,1415,0.05449524882354384
random_sample_200_points_seed_42.pkl,200,42,-0.15555403037882765
random_sample_200_points_seed_456.pkl,200,456,0.10568837156285638
random_sample_200_points_seed_5678.pkl,200,5678,0.12942367268663413
random_sample_200_points_seed_789.pkl,200,789,0.1164628841505454
random_sample_200_points_seed_9101.pkl,200,9101,0.15179777550168683
random_sample_300_points_seed_1.pkl,300,1,-2.1962060551618787
random_sample_300_points_seed_1213.pkl,300,1213,-0.01183451304542249
random_sample_300_points_seed_123.pkl,300,123,0.15410385112650593
random_sample_300_points_seed_1234.pkl,300,1234,-0.17679013407244448
random_sample_300_points_seed_1415.pkl,300,1415,0.0884029194379371
random_sample_300_points_seed_42.pkl,300,42,0.09152921277311765
random_sample_300_points_seed_456.pkl,300,456,0.1864859650573817
random_sample_300_points_seed_5678.pkl,300,5678,0.1662194406350651
random_sample_300_points_seed_789.pkl,300,789,0.16343389447521472
random_sample_300_points_seed_9101.pkl,300,9101,0.15060822141306818
random_sample_400_points_seed_1.pkl,400,1,-0.22185210670907374
random_sample_400_points_seed_1213.pkl,400,1213,0.019072916485267433
random_sample_400_points_seed_123.pkl,400,123,0.14773346843023527
random_sample_400_points_seed_1234.pkl,400,1234,0.1287123486687164
random_sample_400_points_seed_1415.pkl,400,1415,0.1059558518567435
random_sample_400_points_seed_42.pkl,400,42,0.14842977693564308
random_sample_400_points_seed_456.pkl,400,456,0.212255591404932
random_sample_400_points_seed_5678.pkl,400,5678,0.16668758850028054
random_sample_400_points_seed_789.pkl,400,789,0.12794284614204543
random_sample_400_points_seed_9101.pkl,400,9101,0.21578154344908573
random_sample_500_points_seed_1.pkl,500,1,0.15653736657918138
random_sample_500_points_seed_1213.pkl,500,1213,0.15070141328445907
random_sample_500_points_seed_123.pkl,500,123,0.16293731800679967
random_sample_500_points_seed_1234.pkl,500,1234,0.16633999434654034
random_sample_500_points_seed_1415.pkl,500,1415,0.16523705487952567
random_sample_500_points_seed_42.pkl,500,42,0.1900221176055905
random_sample_500_points_seed_456.pkl,500,456,0.2171216321528906
random_sample_500_points_seed_5678.pkl,500,5678,0.22049073962167764
random_sample_500_points_seed_789.pkl,500,789,0.16127946964774775
random_sample_500_points_seed_9101.pkl,500,9101,0.21927705374380912
random_sample_600_points_seed_1.pkl,600,1,0.1806660114763512
random_sample_600_points_seed_1213.pkl,600,1213,0.23902041995366785
random_sample_600_points_seed_123.pkl,600,123,0.17738675915908064
random_sample_600_points_seed_1234.pkl,600,1234,0.2112232878445689
random_sample_600_points_seed_1415.pkl,600,1415,0.15830811016878488
random_sample_600_points_seed_42.pkl,600,42,0.23839705521204568
random_sample_600_points_seed_456.pkl,600,456,-0.03706163861649814
random_sample_600_points_seed_5678.pkl,600,5678,0.21163521376081673
random_sample_600_points_seed_789.pkl,600,789,0.17339694383650728
random_sample_600_points_seed_9101.pkl,600,9101,0.22753913886643928
random_sample_700_points_seed_1.pkl,700,1,0.06592911270697499
random_sample_700_points_seed_1213.pkl,700,1213,0.25843790143601086
random_sample_700_points_seed_123.pkl,700,123,0.22947176620742493
random_sample_700_points_seed_1234.pkl,700,1234,0.21550477676997581
random_sample_700_points_seed_1415.pkl,700,1415,0.13283482385800083
random_sample_700_points_seed_42.pkl,700,42,0.25188871472499075
