initial_set,seed,size,expected_size,cluster_type,id_col,r2
sample_state_combined_county_id_10ppc_1000_size_seed_1.pkl,1,988,1000,county,id,0.48414736071870523
sample_state_combined_county_id_10ppc_1000_size_seed_1213.pkl,1213,988,1000,county,id,0.46321011500341647
sample_state_combined_county_id_10ppc_1000_size_seed_123.pkl,123,976,1000,county,id,0.5219234993212043
sample_state_combined_county_id_10ppc_1000_size_seed_1234.pkl,1234,981,1000,county,id,0.49204440661182747
sample_state_combined_county_id_10ppc_1000_size_seed_1415.pkl,1415,978,1000,county,id,0.5150831913548034
sample_state_combined_county_id_10ppc_1000_size_seed_42.pkl,42,978,1000,county,id,0.508396140409383
sample_state_combined_county_id_10ppc_1000_size_seed_456.pkl,456,982,1000,county,id,0.4823493079385801
sample_state_combined_county_id_10ppc_1000_size_seed_5678.pkl,5678,980,1000,county,id,0.5050720663923214
sample_state_combined_county_id_10ppc_1000_size_seed_789.pkl,789,992,1000,county,id,0.5101824552534455
sample_state_combined_county_id_10ppc_1000_size_seed_9101.pkl,9101,991,1000,county,id,0.48242894522306123
sample_state_combined_county_id_10ppc_200_size_seed_1.pkl,1,177,200,county,id,0.39674180625640465
sample_state_combined_county_id_10ppc_200_size_seed_1213.pkl,1213,170,200,county,id,0.41841924988486034
sample_state_combined_county_id_10ppc_200_size_seed_123.pkl,123,170,200,county,id,0.42103045878227874
sample_state_combined_county_id_10ppc_200_size_seed_1234.pkl,1234,170,200,county,id,0.3034703821283393
sample_state_combined_county_id_10ppc_200_size_seed_1415.pkl,1415,170,200,county,id,0.0902337683949439
sample_state_combined_county_id_10ppc_200_size_seed_42.pkl,42,168,200,county,id,0.10879058271927966
sample_state_combined_county_id_10ppc_200_size_seed_456.pkl,456,170,200,county,id,0.32523654900392873
sample_state_combined_county_id_10ppc_200_size_seed_5678.pkl,5678,175,200,county,id,0.31390290098777995
sample_state_combined_county_id_10ppc_200_size_seed_789.pkl,789,170,200,county,id,0.4099421796255597
sample_state_combined_county_id_10ppc_200_size_seed_9101.pkl,9101,170,200,county,id,0.2985083116163555
sample_state_combined_county_id_10ppc_300_size_seed_1.pkl,1,282,300,county,id,0.3993481391866883
sample_state_combined_county_id_10ppc_300_size_seed_1213.pkl,1213,280,300,county,id,0.4936058316525085
sample_state_combined_county_id_10ppc_300_size_seed_123.pkl,123,280,300,county,id,0.42922676598909837
