initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_200_size,200,1,0.3967420097901655
5_fixedstrata_10ppc_200_size,200,5678,0.3138554172904942
5_fixedstrata_10ppc_200_size,200,1213,0.4185269113685611
5_fixedstrata_10ppc_200_size,200,42,0.1087661299809789
5_fixedstrata_10ppc_200_size,200,789,0.4099752219075632
5_fixedstrata_10ppc_200_size,200,1415,0.0901718949146844
5_fixedstrata_10ppc_200_size,200,123,0.4210127785460202
5_fixedstrata_10ppc_200_size,200,456,0.3251858804920476
5_fixedstrata_10ppc_200_size,200,9101,0.2985994721635657
5_fixedstrata_10ppc_200_size,200,1234,0.3034715993039844
