filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_1.pkl,0.5860824066695183,state,county,5,700,1
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_1213.pkl,0.5708609962967006,state,county,5,700,1213
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_123.pkl,0.5758414112782508,state,county,5,700,123
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_1234.pkl,0.5655086700937043,state,county,5,700,1234
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_1415.pkl,0.5734260061652685,state,county,5,700,1415
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_42.pkl,0.5255045718403886,state,county,5,700,42
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_456.pkl,0.541391862244045,state,county,5,700,456
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_5678.pkl,0.5793732469869368,state,county,5,700,5678
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_789.pkl,0.5712342208467214,state,county,5,700,789
IDs_state_strata_county_clusters_5_points_per_cluster_700_size_seed_9101.pkl,0.5748283531277418,state,county,5,700,9101
