initial_set_str,sample_size,seed,r2
top20_urban_100_points,100,1,0.1696475991902071
top20_urban_100_points,100,5678,-0.3300003166520397
top20_urban_100_points,100,1213,-0.400255823409865
top20_urban_100_points,100,42,-0.3809688913121403
top20_urban_100_points,100,789,-0.4448432408173268
top20_urban_100_points,100,1415,-0.1446852783593686
top20_urban_100_points,100,123,0.0339751347603483
top20_urban_100_points,100,456,-0.0967006120537112
top20_urban_100_points,100,9101,-0.0031024788176388
top20_urban_100_points,100,1234,-0.4087029376704219
