initial_set,sampling_type,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.001,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_1,pop_risk_image_clusters_2_0.5,pop_risk_image_clusters_2_0,pop_risk_image_clusters_2_0.001,pop_risk_image_clusters_2_0.01,pop_risk_image_clusters_2_0.1,pop_risk_image_clusters_2_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.001,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_1,pop_risk_states_0.5,pop_risk_states_0,pop_risk_states_0.001,pop_risk_states_0.01,pop_risk_states_0.1,pop_risk_states_1
sample_state_combined_county_id_10ppc_100_size_seed_1234.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,75,-0.24668502542919368,-0.11547005383792514,-0.11573248378110766,-0.1180943532697505,-0.14171304815617886,-0.3778999970204623,-0.13951599030653333,-0.11547005383792514,-0.11551814571086236,-0.1159509725672973,-0.12027924113164679,-0.16356192677514156,-0.2912018601129541,-0.11547005383792514,-0.11582151745047518,-0.1189846899634257,-0.15061641509293094,-0.4669336663879831,-4514.451627746544,-0.11547005383792515,-9.144142369223337,-90.40219320769204,-902.9827015923789,-9028.78778543925
sample_state_combined_county_id_10ppc_800_size_seed_9101.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,783,-0.07205023834853601,-0.03573708449459316,-0.03580971080230104,-0.036463347571672015,-0.04299971526538174,-0.10836339220247884,-0.043778105952217136,-0.03573708449459316,-0.03575316653750841,-0.03589790492374564,-0.03734528878611796,-0.05181912740984111,-0.07239733848308152,-0.03573708449459315,-0.03581040500257014,-0.03647028957436292,-0.04306913529229084,-0.10905759247156989,-4514.4026104548375,-0.03573708449459316,-9.06447083123528,-90.32307455190146,-902.9091117585632,-9028.769483825183
sample_state_combined_county_id_10ppc_800_size_seed_1213.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,780,-0.07263387747108813,-0.03580574370197165,-0.03587939996950988,-0.03654230637735398,-0.043171370455794944,-0.10946201124020459,-0.044207907002893045,-0.03580574370197165,-0.035822548028573487,-0.03597378696799008,-0.037486176362155926,-0.05261007030381444,-0.07527436044131541,-0.03580574370197165,-0.03588468093545033,-0.036595116036758524,-0.0436994670498404,-0.11474297718065916,-4514.402654002578,-0.035805743701971655,-9.064539440219724,-90.3231427088795,-902.9091753954773,-9028.769502261455
sample_state_combined_county_id_5ppc_1100_size_seed_1.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,972,-0.06325891769973738,-0.032075014954979206,-0.03213738276046872,-0.032698693009874366,-0.03831179550393084,-0.09444282044449553,-0.03922779490871248,-0.032075014954979206,-0.032089320514886666,-0.032218070554053874,-0.03350557094572586,-0.04638057486244574,-0.06419568504313958,-0.032075014954979206,-0.03213925629515552,-0.03271742835674241,-0.03849914897261128,-0.09631635513129996,-4514.400415109775,-0.032075014954979206,-9.060811695144622,-90.31944181685138,-902.9057430339188,-9028.768755204595
sample_state_combined_county_id_10ppc_400_size_seed_789.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,370,-0.10876963542499563,-0.05198752449100364,-0.05210108871287163,-0.05312316670968348,-0.06334394667780203,-0.1655517463589876,-0.06363212443532909,-0.05198752449100364,-0.05201081369089229,-0.05222041648989015,-0.054316444479868733,-0.07527672437965452,-0.1124660865911701,-0.051987524491003634,-0.05210848161520397,-0.05319709573300696,-0.06408323691103693,-0.17294464869133658,-4514.412494692354,-0.05198752449100364,-9.080708538826729,-90.33919766784824,-902.9240889580633,-9028.773001860216
sample_state_combined_county_id_5ppc_400_size_seed_42.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,390,-0.10053097045169068,-0.05063696835418333,-0.05073675635837835,-0.05163484839613348,-0.0606157687736848,-0.150424972549198,-0.06202889166911699,-0.05063696835418333,-0.0506597522008132,-0.05086480682048201,-0.05291535301717007,-0.07342081498405065,-0.10428472062533832,-0.05063696835418333,-0.050744263858725644,-0.05170992339960643,-0.06136651880841433,-0.15793247289649331,-4514.411671580751,-0.05063696835418333,-9.07935903757898,-90.33785766060213,-902.9228438908336,-9028.77270619315
sample_state_combined_county_id_5ppc_500_size_seed_1.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,490,-0.090071631181047,-0.045175395145262566,-0.04526518761733413,-0.04607331986597826,-0.05415464235241946,-0.13496786721683146,-0.05485522390930969,-0.045175395145262566,-0.04519475480279066,-0.04536899172054351,-0.04711136089807199,-0.0645350526733568,-0.09051126045983414,-0.04517539514526256,-0.0452660668758917,-0.046082112451554,-0.05424256820817688,-0.13584712577440572,-4514.408354821081,-0.045175395145262566,-9.073901753997133,-90.33243898366396,-902.9178112803323,-9028.771534247016
sample_state_combined_county_id_5ppc_900_size_seed_456.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,835,-0.0688226734359352,-0.03460642701029914,-0.03467485950315041,-0.035290751938811864,-0.04144967629542635,-0.10303891986157127,-0.04210448538189908,-0.03460642701029914,-0.03462142312704233,-0.03475638817773114,-0.036106038684619125,-0.049602543753499026,-0.06879783898297417,-0.03460642701029913,-0.03467480983424448,-0.03529025524975264,-0.04144470940483415,-0.1029892509556492,-4514.401930780905,-0.03460642701029914,-9.063341075718087,-90.3219529140882,-902.9080712977893,-9028.769255134801
sample_state_combined_county_id_5ppc_300_size_seed_789.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,290,-0.12198087407397129,-0.058722021951470346,-0.05884853965571535,-0.05998719899392037,-0.07137379237597055,-0.18523972619647228,-0.07154726120669536,-0.058722021951470346,-0.058747672429980795,-0.058978526736574846,-0.06128706980251535,-0.08437250046192037,-0.12046457306840316,-0.058722021951470346,-0.058845507053704206,-0.059956872973809,-0.07107053217485691,-0.182207124185336,-4514.416588302348,-0.058722021951470346,-9.087437754512266,-90.34587934755942,-902.9302952780309,-9028.774454582746
sample_state_combined_county_id_10ppc_150_size_seed_789.pkl,cluster_sampling_fixedstrata_Idaho_16-Louisiana_22-Mississippi_28-New Mexico_35-Pennsylvania_42,130,-0.17382696724800856,-0.08770580193070293,-0.08787804426133752,-0.08942822523704905,-0.10493003499416406,-0.2599481325653141,-0.10635930038797684,-0.08770580193070293,-0.08774310892761747,-0.08807887189984842,-0.09143650162215772,-0.12501279884525074,-0.1864737434915427,-0.08770580193070293,-0.0879033378138246,-0.08968116076191972,-0.10745939024287089,-0.2852416850523825,-4514.434242034357,-0.08770580193070293,-9.116398874395554,-90.37463652657924,-902.957013048416,-9028.780778266784
