initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_200_size,200,1,0.6680137004210966
5_fixedstrata_10ppc_200_size,200,5678,0.7303815869929464
5_fixedstrata_10ppc_200_size,200,1213,0.6737295649507196
5_fixedstrata_10ppc_200_size,200,42,0.5782620117725012
5_fixedstrata_10ppc_200_size,200,789,0.5627223215418709
5_fixedstrata_10ppc_200_size,200,1415,0.6555420032290016
5_fixedstrata_10ppc_200_size,200,123,0.612869790232526
5_fixedstrata_10ppc_200_size,200,456,0.7313099350869956
5_fixedstrata_10ppc_200_size,200,9101,0.5590946151343824
5_fixedstrata_10ppc_200_size,200,1234,0.5451955100629271
5_fixedstrata_10ppc_300_size,300,1,0.7146812008815191
5_fixedstrata_10ppc_300_size,300,5678,0.7270199815833995
5_fixedstrata_10ppc_300_size,300,1213,0.4841111102630028
5_fixedstrata_10ppc_300_size,300,42,0.6779647318280942
5_fixedstrata_10ppc_300_size,300,789,0.7270399895413915
5_fixedstrata_10ppc_300_size,300,1415,0.656026696473484
5_fixedstrata_10ppc_300_size,300,123,0.7132623010703589
5_fixedstrata_10ppc_300_size,300,456,0.7532470224146934
5_fixedstrata_10ppc_300_size,300,9101,0.7121348215979386
5_fixedstrata_10ppc_300_size,300,1234,0.744433016230752
5_fixedstrata_10ppc_100_size,100,1,0.4515742094575521
5_fixedstrata_10ppc_100_size,100,5678,0.6646147485990814
5_fixedstrata_10ppc_100_size,100,1213,0.4290517181312983
5_fixedstrata_10ppc_100_size,100,42,0.6016366612972033
5_fixedstrata_10ppc_100_size,100,789,0.30926846573166855
5_fixedstrata_10ppc_100_size,100,1415,0.4837788909247971
5_fixedstrata_10ppc_100_size,100,123,0.44194276905633534
5_fixedstrata_10ppc_100_size,100,456,0.681513436982338
5_fixedstrata_10ppc_100_size,100,9101,0.6157061506982973
5_fixedstrata_10ppc_100_size,100,1234,0.2929552540048882
