filename,sample_size,seed,r2
random_sample_1000_points_seed_1.pkl,1000,1,0.8567138156611904
random_sample_1000_points_seed_1213.pkl,1000,1213,0.8598714121545449
random_sample_1000_points_seed_123.pkl,1000,123,0.8559391291360593
random_sample_1000_points_seed_1234.pkl,1000,1234,0.8594108844380364
random_sample_1000_points_seed_1415.pkl,1000,1415,0.845575347594369
random_sample_1000_points_seed_42.pkl,1000,42,0.858468958840531
random_sample_1000_points_seed_456.pkl,1000,456,0.8491414372573004
random_sample_1000_points_seed_5678.pkl,1000,5678,0.8402795800488889
random_sample_1000_points_seed_789.pkl,1000,789,0.8601332485214337
random_sample_1000_points_seed_9101.pkl,1000,9101,0.8638394132974039
random_sample_100_points_seed_1.pkl,100,1,0.6478549489296082
random_sample_100_points_seed_1213.pkl,100,1213,0.7908582280904878
random_sample_100_points_seed_123.pkl,100,123,0.723939883389748
random_sample_100_points_seed_1234.pkl,100,1234,0.7249299269940979
random_sample_100_points_seed_1415.pkl,100,1415,0.5931952602819304
random_sample_100_points_seed_42.pkl,100,42,0.6850304050815215
random_sample_100_points_seed_456.pkl,100,456,0.5727261423191568
random_sample_100_points_seed_5678.pkl,100,5678,0.7316409526821643
random_sample_100_points_seed_789.pkl,100,789,0.6430312455224154
random_sample_100_points_seed_9101.pkl,100,9101,0.7543881716565777
random_sample_10_points_seed_1.pkl,10,1,-0.5339856677508905
random_sample_10_points_seed_1213.pkl,10,1213,-0.037000789678572454
random_sample_10_points_seed_123.pkl,10,123,0.2228889340118635
random_sample_10_points_seed_1234.pkl,10,1234,0.3620844044111039
random_sample_10_points_seed_1415.pkl,10,1415,0.3732664182355645
random_sample_10_points_seed_42.pkl,10,42,0.4044085443479313
random_sample_10_points_seed_456.pkl,10,456,-0.052479188279554334
random_sample_10_points_seed_5678.pkl,10,5678,0.003309509490834528
random_sample_10_points_seed_789.pkl,10,789,0.27094812770195076
random_sample_10_points_seed_9101.pkl,10,9101,-1.8633731046530944
random_sample_1100_points_seed_1.pkl,1100,1,0.8611848760834818
random_sample_1100_points_seed_1213.pkl,1100,1213,0.865191865553047
random_sample_1100_points_seed_123.pkl,1100,123,0.8577215089322965
random_sample_1100_points_seed_1234.pkl,1100,1234,0.8595699628253283
random_sample_1100_points_seed_1415.pkl,1100,1415,0.8467551459021975
random_sample_1100_points_seed_42.pkl,1100,42,0.8635540308976437
random_sample_1100_points_seed_456.pkl,1100,456,0.8576086479335884
random_sample_1100_points_seed_5678.pkl,1100,5678,0.8615094681445202
random_sample_1100_points_seed_789.pkl,1100,789,0.8645454287738661
random_sample_1100_points_seed_9101.pkl,1100,9101,0.8648640697911018
random_sample_110_points_seed_1.pkl,110,1,0.6600815058052236
random_sample_110_points_seed_1213.pkl,110,1213,0.7331749065364745
random_sample_110_points_seed_123.pkl,110,123,0.7279040730164035
random_sample_110_points_seed_1234.pkl,110,1234,0.7259185239365229
random_sample_110_points_seed_1415.pkl,110,1415,0.48338913995706134
random_sample_110_points_seed_42.pkl,110,42,0.7402909058593614
random_sample_110_points_seed_456.pkl,110,456,0.6381787752164134
random_sample_110_points_seed_5678.pkl,110,5678,0.7146644091587946
random_sample_110_points_seed_789.pkl,110,789,0.6070850569731279
random_sample_110_points_seed_9101.pkl,110,9101,0.7340210305134818
random_sample_1200_points_seed_1.pkl,1200,1,0.8621884994997038
random_sample_1200_points_seed_1213.pkl,1200,1213,0.8675981774609315
random_sample_1200_points_seed_123.pkl,1200,123,0.8623532856972538
random_sample_1200_points_seed_1234.pkl,1200,1234,0.8640375635428474
random_sample_1200_points_seed_1415.pkl,1200,1415,0.868222529472491
random_sample_1200_points_seed_42.pkl,1200,42,0.8672780297107716
random_sample_1200_points_seed_456.pkl,1200,456,0.8606906354782295
random_sample_1200_points_seed_5678.pkl,1200,5678,0.8632662474843908
random_sample_1200_points_seed_789.pkl,1200,789,0.8675880018546807
random_sample_1200_points_seed_9101.pkl,1200,9101,0.8701082234055856
random_sample_120_points_seed_1.pkl,120,1,0.6797999195022102
random_sample_120_points_seed_1213.pkl,120,1213,0.7870592596646578
random_sample_120_points_seed_123.pkl,120,123,0.7348054817540317
random_sample_120_points_seed_1234.pkl,120,1234,0.7391827324890539
random_sample_120_points_seed_1415.pkl,120,1415,0.580929958294818
random_sample_120_points_seed_42.pkl,120,42,0.7301417961739582
random_sample_120_points_seed_456.pkl,120,456,0.661157877019437
random_sample_120_points_seed_5678.pkl,120,5678,0.7215674034354037
random_sample_120_points_seed_789.pkl,120,789,0.6322622554027102
random_sample_120_points_seed_9101.pkl,120,9101,0.7625923452023644
random_sample_1300_points_seed_1.pkl,1300,1,0.8655680343782889
random_sample_1300_points_seed_1213.pkl,1300,1213,0.870605533511841
random_sample_1300_points_seed_123.pkl,1300,123,0.8621025142252479
random_sample_1300_points_seed_1234.pkl,1300,1234,0.8685337632996538
random_sample_1300_points_seed_1415.pkl,1300,1415,0.870333875837874
random_sample_1300_points_seed_42.pkl,1300,42,0.8682422898260648
random_sample_1300_points_seed_456.pkl,1300,456,0.8654066260631066
random_sample_1300_points_seed_5678.pkl,1300,5678,0.8652679799642046
random_sample_1300_points_seed_789.pkl,1300,789,0.871417729938277
random_sample_1300_points_seed_9101.pkl,1300,9101,0.8690594565664178
random_sample_130_points_seed_1.pkl,130,1,0.7003685006835305
random_sample_130_points_seed_1213.pkl,130,1213,0.675391412842749
random_sample_130_points_seed_123.pkl,130,123,0.7334641212358106
random_sample_130_points_seed_1234.pkl,130,1234,0.7075583035178563
random_sample_130_points_seed_1415.pkl,130,1415,0.5824893180819504
random_sample_130_points_seed_42.pkl,130,42,0.7364892306366435
random_sample_130_points_seed_456.pkl,130,456,0.6863639410135819
random_sample_130_points_seed_5678.pkl,130,5678,0.7576463912809178
random_sample_130_points_seed_789.pkl,130,789,0.6519449920512601
random_sample_130_points_seed_9101.pkl,130,9101,0.7668455346124989
random_sample_1400_points_seed_1.pkl,1400,1,0.8691801947487436
random_sample_1400_points_seed_1213.pkl,1400,1213,0.8729246989598638
random_sample_1400_points_seed_123.pkl,1400,123,0.8651977486855768
random_sample_1400_points_seed_1234.pkl,1400,1234,0.871653152859821
random_sample_1400_points_seed_1415.pkl,1400,1415,0.8707751470136353
random_sample_1400_points_seed_42.pkl,1400,42,0.8720122548544702
random_sample_1400_points_seed_456.pkl,1400,456,0.8680629219241394
random_sample_1400_points_seed_5678.pkl,1400,5678,0.8682140970612953
random_sample_1400_points_seed_789.pkl,1400,789,0.8727499186017065
random_sample_1400_points_seed_9101.pkl,1400,9101,0.8711550520776598
random_sample_140_points_seed_1.pkl,140,1,0.7303777700993161
random_sample_140_points_seed_1213.pkl,140,1213,0.7948493873445269
random_sample_140_points_seed_123.pkl,140,123,0.7379830794944552
random_sample_140_points_seed_1234.pkl,140,1234,0.713329293030567
random_sample_140_points_seed_1415.pkl,140,1415,0.5873257060080601
random_sample_140_points_seed_42.pkl,140,42,0.7439272003707306
random_sample_140_points_seed_456.pkl,140,456,0.7004633617027977
random_sample_140_points_seed_5678.pkl,140,5678,0.7832352262280391
random_sample_140_points_seed_789.pkl,140,789,0.6727505353559784
random_sample_140_points_seed_9101.pkl,140,9101,0.7688351672454254
random_sample_1500_points_seed_1.pkl,1500,1,0.8703293071319337
random_sample_1500_points_seed_1213.pkl,1500,1213,0.8747667567072663
random_sample_1500_points_seed_123.pkl,1500,123,0.868047626743246
random_sample_1500_points_seed_1234.pkl,1500,1234,0.8722830900207763
random_sample_1500_points_seed_1415.pkl,1500,1415,0.8706342790037522
random_sample_1500_points_seed_42.pkl,1500,42,0.8725027832459189
random_sample_1500_points_seed_456.pkl,1500,456,0.8719877075076768
random_sample_1500_points_seed_5678.pkl,1500,5678,0.8696838287721362
random_sample_1500_points_seed_789.pkl,1500,789,0.8741687132948046
random_sample_1500_points_seed_9101.pkl,1500,9101,0.8728194456717249
random_sample_150_points_seed_1.pkl,150,1,0.7318136528453336
random_sample_150_points_seed_1213.pkl,150,1213,0.7993728333362364
random_sample_150_points_seed_123.pkl,150,123,0.7531251050318113
random_sample_150_points_seed_1234.pkl,150,1234,0.7499119603574929
random_sample_150_points_seed_1415.pkl,150,1415,0.621759064796263
random_sample_150_points_seed_42.pkl,150,42,0.751455784435282
random_sample_150_points_seed_456.pkl,150,456,0.7162080265081068
random_sample_150_points_seed_5678.pkl,150,5678,0.7834224809356641
random_sample_150_points_seed_789.pkl,150,789,0.7087371981775632
random_sample_150_points_seed_9101.pkl,150,9101,0.772907518007937
random_sample_1600_points_seed_1.pkl,1600,1,0.8723793753920749
random_sample_1600_points_seed_1213.pkl,1600,1213,0.8763504139979295
random_sample_1600_points_seed_123.pkl,1600,123,0.868686228078887
random_sample_1600_points_seed_1234.pkl,1600,1234,0.8754205824176684
random_sample_1600_points_seed_1415.pkl,1600,1415,0.8726369716231596
random_sample_1600_points_seed_42.pkl,1600,42,0.8737787543751951
random_sample_1600_points_seed_456.pkl,1600,456,0.8733637581267695
random_sample_1600_points_seed_5678.pkl,1600,5678,0.8722888711661112
random_sample_1600_points_seed_789.pkl,1600,789,0.8765335971774982
random_sample_1600_points_seed_9101.pkl,1600,9101,0.8759614303644386
random_sample_160_points_seed_1.pkl,160,1,0.7436432657819436
random_sample_160_points_seed_1213.pkl,160,1213,0.7993301536243992
random_sample_160_points_seed_123.pkl,160,123,0.7650072603608737
random_sample_160_points_seed_1234.pkl,160,1234,0.7274254812716878
random_sample_160_points_seed_1415.pkl,160,1415,0.6403498152589778
random_sample_160_points_seed_42.pkl,160,42,0.7578025098202953
random_sample_160_points_seed_456.pkl,160,456,0.7200039147588503
random_sample_160_points_seed_5678.pkl,160,5678,0.7893122345657858
random_sample_160_points_seed_789.pkl,160,789,0.7246620442529867
random_sample_160_points_seed_9101.pkl,160,9101,0.7752664455390219
random_sample_1700_points_seed_1.pkl,1700,1,0.8760156367189342
random_sample_1700_points_seed_1213.pkl,1700,1213,0.8774306086499901
random_sample_1700_points_seed_123.pkl,1700,123,0.8708059076543865
random_sample_1700_points_seed_1234.pkl,1700,1234,0.8790792469148794
random_sample_1700_points_seed_1415.pkl,1700,1415,0.8719986308211884
random_sample_1700_points_seed_42.pkl,1700,42,0.8758621914162859
random_sample_1700_points_seed_456.pkl,1700,456,0.8757686896128025
random_sample_1700_points_seed_5678.pkl,1700,5678,0.8742494675320927
random_sample_1700_points_seed_789.pkl,1700,789,0.8777537833593688
random_sample_1700_points_seed_9101.pkl,1700,9101,0.8783774025551317
random_sample_170_points_seed_1.pkl,170,1,0.7575529182554188
random_sample_170_points_seed_1213.pkl,170,1213,0.79675011812811
random_sample_170_points_seed_123.pkl,170,123,0.7681265612238989
random_sample_170_points_seed_1234.pkl,170,1234,0.7661407587078954
random_sample_170_points_seed_1415.pkl,170,1415,0.6545941251034664
random_sample_170_points_seed_42.pkl,170,42,0.7761759137152233
random_sample_170_points_seed_456.pkl,170,456,0.7145963292868871
random_sample_170_points_seed_5678.pkl,170,5678,0.7929231434598586
random_sample_170_points_seed_789.pkl,170,789,0.7420292453181596
random_sample_170_points_seed_9101.pkl,170,9101,0.7778509823214943
random_sample_1800_points_seed_1.pkl,1800,1,0.876854906844978
random_sample_1800_points_seed_1213.pkl,1800,1213,0.8796448180383419
random_sample_1800_points_seed_123.pkl,1800,123,0.8730460928267172
random_sample_1800_points_seed_1234.pkl,1800,1234,0.8798715173665155
random_sample_1800_points_seed_1415.pkl,1800,1415,0.8766831496937648
random_sample_1800_points_seed_42.pkl,1800,42,0.8779299620074765
random_sample_1800_points_seed_456.pkl,1800,456,0.8772792413851638
random_sample_1800_points_seed_5678.pkl,1800,5678,0.87590341169755
random_sample_1800_points_seed_789.pkl,1800,789,0.8793496304868345
random_sample_1800_points_seed_9101.pkl,1800,9101,0.8806516504276556
random_sample_180_points_seed_1.pkl,180,1,0.7621368154262491
random_sample_180_points_seed_1213.pkl,180,1213,0.7995004133302157
random_sample_180_points_seed_123.pkl,180,123,0.7629872641600116
random_sample_180_points_seed_1234.pkl,180,1234,0.7622733689333754
random_sample_180_points_seed_1415.pkl,180,1415,0.679642816527368
random_sample_180_points_seed_42.pkl,180,42,0.7904381846105785
random_sample_180_points_seed_456.pkl,180,456,0.7320492695817384
random_sample_180_points_seed_5678.pkl,180,5678,0.7915116507516644
random_sample_180_points_seed_789.pkl,180,789,0.7428439309233866
random_sample_180_points_seed_9101.pkl,180,9101,0.7443833211176688
random_sample_1900_points_seed_1.pkl,1900,1,0.8795200836513858
random_sample_1900_points_seed_1213.pkl,1900,1213,0.8808517580708679
random_sample_1900_points_seed_123.pkl,1900,123,0.8748586707580145
random_sample_1900_points_seed_1234.pkl,1900,1234,0.8811035035228587
random_sample_1900_points_seed_1415.pkl,1900,1415,0.8779024912537347
random_sample_1900_points_seed_42.pkl,1900,42,0.8808713256763988
random_sample_1900_points_seed_456.pkl,1900,456,0.8780195833453304
random_sample_1900_points_seed_5678.pkl,1900,5678,0.8777264888821332
random_sample_1900_points_seed_789.pkl,1900,789,0.8798419081050418
random_sample_1900_points_seed_9101.pkl,1900,9101,0.8817523468380273
random_sample_190_points_seed_1.pkl,190,1,0.7666472415697055
random_sample_190_points_seed_1213.pkl,190,1213,0.7990087595435889
random_sample_190_points_seed_123.pkl,190,123,0.7718553216806244
random_sample_190_points_seed_1234.pkl,190,1234,0.7670241179433113
random_sample_190_points_seed_1415.pkl,190,1415,0.6884334898886844
random_sample_190_points_seed_42.pkl,190,42,0.7916614387569992
random_sample_190_points_seed_456.pkl,190,456,0.7416144420773412
random_sample_190_points_seed_5678.pkl,190,5678,0.7899435395624542
random_sample_190_points_seed_789.pkl,190,789,0.7607563634885357
random_sample_190_points_seed_9101.pkl,190,9101,0.7777812950889618
random_sample_2000_points_seed_1.pkl,2000,1,0.8793995239468894
random_sample_2000_points_seed_1213.pkl,2000,1213,0.8806055829084198
random_sample_2000_points_seed_123.pkl,2000,123,0.8763332935504338
random_sample_2000_points_seed_1234.pkl,2000,1234,0.8818191417140245
random_sample_2000_points_seed_1415.pkl,2000,1415,0.87961673299235
random_sample_2000_points_seed_42.pkl,2000,42,0.8815635111875727
random_sample_2000_points_seed_456.pkl,2000,456,0.8787845021206977
random_sample_2000_points_seed_5678.pkl,2000,5678,0.8800001439986338
random_sample_2000_points_seed_789.pkl,2000,789,0.8805580137257711
random_sample_2000_points_seed_9101.pkl,2000,9101,0.8825860824113524
random_sample_200_points_seed_1.pkl,200,1,0.7664063962307033
random_sample_200_points_seed_1213.pkl,200,1213,0.7981139900517696
random_sample_200_points_seed_123.pkl,200,123,0.7712484283372614
random_sample_200_points_seed_1234.pkl,200,1234,0.7723630739197878
random_sample_200_points_seed_1415.pkl,200,1415,0.7212841584677323
random_sample_200_points_seed_42.pkl,200,42,0.8008544566550825
random_sample_200_points_seed_456.pkl,200,456,0.7464353890112232
random_sample_200_points_seed_5678.pkl,200,5678,0.7930940688547262
random_sample_200_points_seed_789.pkl,200,789,0.7800647158841387
random_sample_200_points_seed_9101.pkl,200,9101,0.7874316426771053
random_sample_20_points_seed_1.pkl,20,1,0.46468372260240687
random_sample_20_points_seed_1213.pkl,20,1213,0.3255428211679051
random_sample_20_points_seed_123.pkl,20,123,0.3559121857798506
random_sample_20_points_seed_1234.pkl,20,1234,0.10411062545371197
random_sample_20_points_seed_1415.pkl,20,1415,-0.3517660774497826
random_sample_20_points_seed_42.pkl,20,42,0.3170599516870035
random_sample_20_points_seed_456.pkl,20,456,0.5484396951878636
random_sample_20_points_seed_5678.pkl,20,5678,0.3820198264998702
random_sample_20_points_seed_789.pkl,20,789,0.18584335741042657
random_sample_20_points_seed_9101.pkl,20,9101,0.26705682191069846
random_sample_2100_points_seed_1.pkl,2100,1,0.8812065639605537
random_sample_2100_points_seed_1213.pkl,2100,1213,0.8819534479953838
random_sample_2100_points_seed_123.pkl,2100,123,0.8780247309830804
random_sample_2100_points_seed_1234.pkl,2100,1234,0.8818803378432192
random_sample_2100_points_seed_1415.pkl,2100,1415,0.8803880163320176
random_sample_2100_points_seed_42.pkl,2100,42,0.88276424896653
random_sample_2100_points_seed_456.pkl,2100,456,0.8795376184027247
random_sample_2100_points_seed_5678.pkl,2100,5678,0.8813760641861342
random_sample_2100_points_seed_789.pkl,2100,789,0.8807457500384039
random_sample_2100_points_seed_9101.pkl,2100,9101,0.8839694573238089
random_sample_210_points_seed_1.pkl,210,1,0.7739321119915823
