filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_1.pkl,0.7616060895917908,state,county,2,100,1
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_1213.pkl,0.6602745895246933,state,county,2,100,1213
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_123.pkl,0.6820535354971164,state,county,2,100,123
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_1234.pkl,0.7424342683023128,state,county,2,100,1234
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_1415.pkl,0.7409159111466068,state,county,2,100,1415
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_42.pkl,0.6473649589521016,state,county,2,100,42
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_456.pkl,0.7369046834633095,state,county,2,100,456
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_5678.pkl,0.7192439798118199,state,county,2,100,5678
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_789.pkl,0.723523765699132,state,county,2,100,789
IDs_state_strata_county_clusters_2_points_per_cluster_100_size_seed_9101.pkl,0.6681782814523007,state,county,2,100,9101
