initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_300_size,300,1,0.7146812008815191
5_fixedstrata_10ppc_300_size,300,5678,0.7270199815833995
5_fixedstrata_10ppc_300_size,300,1213,0.4841111102630028
5_fixedstrata_10ppc_300_size,300,42,0.6779647318280942
5_fixedstrata_10ppc_300_size,300,789,0.7270399895413915
5_fixedstrata_10ppc_300_size,300,1415,0.656026696473484
5_fixedstrata_10ppc_300_size,300,123,0.7132623010703589
5_fixedstrata_10ppc_300_size,300,456,0.7532470224146934
5_fixedstrata_10ppc_300_size,300,9101,0.7121348215979386
5_fixedstrata_10ppc_300_size,300,1234,0.744433016230752
