initial_set_str,sample_size,seed,r2
top20_urban_100_points,100,1,0.6404424778984432
top20_urban_100_points,100,5678,0.4707260429549859
top20_urban_100_points,100,1213,0.6434340035954451
top20_urban_100_points,100,42,0.6520194768571945
top20_urban_100_points,100,789,0.5215883399685295
top20_urban_100_points,100,1415,0.0343356623387256
top20_urban_100_points,100,123,0.3652783490385674
top20_urban_100_points,100,456,0.6454797269181278
top20_urban_100_points,100,9101,0.2524311913302405
top20_urban_100_points,100,1234,0.4489548123842616
