filename,sample_size,seed,r2
random_sample_200_points_seed_1.pkl,200,1,0.7664063962307024
random_sample_200_points_seed_1213.pkl,200,1213,0.798113990051772
random_sample_200_points_seed_123.pkl,200,123,0.771248428337266
random_sample_200_points_seed_1234.pkl,200,1234,0.7723630739197899
random_sample_200_points_seed_1415.pkl,200,1415,0.7212841584677463
random_sample_200_points_seed_42.pkl,200,42,0.8008544566550824
random_sample_200_points_seed_456.pkl,200,456,0.7464353890112189
random_sample_200_points_seed_5678.pkl,200,5678,0.7930940688547217
random_sample_200_points_seed_789.pkl,200,789,0.7800647158841341
random_sample_200_points_seed_9101.pkl,200,9101,0.7874316426770979
