initial_set,sampling_type,size,pop_risk_nlcd_0.5,pop_risk_nlcd_0,pop_risk_nlcd_0.001,pop_risk_nlcd_0.01,pop_risk_nlcd_0.1,pop_risk_nlcd_0.99,pop_risk_nlcd_1,pop_risk_image_clusters_2_0.5,pop_risk_image_clusters_2_0,pop_risk_image_clusters_2_0.001,pop_risk_image_clusters_2_0.01,pop_risk_image_clusters_2_0.1,pop_risk_image_clusters_2_0.99,pop_risk_image_clusters_2_1,pop_risk_image_clusters_8_0.5,pop_risk_image_clusters_8_0,pop_risk_image_clusters_8_0.001,pop_risk_image_clusters_8_0.01,pop_risk_image_clusters_8_0.1,pop_risk_image_clusters_8_0.99,pop_risk_image_clusters_8_1,pop_risk_states_0.5,pop_risk_states_0,pop_risk_states_0.001,pop_risk_states_0.01,pop_risk_states_0.1,pop_risk_states_0.99,pop_risk_states_1
sample_state_combined_county_id_10ppc_100_size_seed_1234.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,85,-0.2690006857026005,-0.10846522890932808,-0.10878629982291463,-0.11167593804519353,-0.14057232026798255,-0.4263254333600074,-0.4295361424958728,-0.13294061074800023,-0.10846522890932808,-0.10851417967300542,-0.10895473654610152,-0.1133603052770625,-0.15692648494989894,-0.15741599258667238,-0.23939814614326338,-0.10846522890932808,-0.10872709474379595,-0.11108388725400678,-0.13465181235611515,-0.3677124050325199,-0.3703310633771986,-4304.441210461303,-0.10846522890932808,-8.717130719374113,-86.19512013355718,-860.9750142753878,-8522.687300789048,-8608.773955693694
sample_state_combined_county_id_10ppc_800_size_seed_9101.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,770,-0.07220845673500051,-0.036037498507822355,-0.036109840424276715,-0.03676091767236592,-0.04327169015325799,-0.10765599579763513,-0.10837941496217868,-0.043521856022395417,-0.036037498507822355,-0.036052467222851506,-0.03618718565811381,-0.037534370010736964,-0.050856526386677,-0.051006213536968464,-0.07388262169160506,-0.036037498507822355,-0.03611318875418992,-0.03679440097149801,-0.0436065231445789,-0.11097084241171211,-0.11172774487538775,-4304.393991671335,-0.03603749850782236,-8.644753406853477,-86.12319658196435,-860.907628333073,-8522.664786760703,-8608.75194584416
sample_state_combined_county_id_10ppc_800_size_seed_1213.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,779,-0.0715171809060969,-0.03582871819500093,-0.03590009512042312,-0.03654248744922285,-0.042966410737220115,-0.10649187436297095,-0.10720564361719286,-0.04326174937384523,-0.03582871819500093,-0.03584358425735862,-0.035977378818577814,-0.03731532443076978,-0.05054611992911265,-0.05069478055268953,-0.0746153199653064,-0.03582871819500093,-0.03590629139854154,-0.03660445023040704,-0.043586038549062026,-0.11262618970020578,-0.1134019217356119,-4304.393839353725,-0.03582871819500093,-8.64454473946606,-86.12298893090559,-860.9074308453011,-8522.664689776542,-8608.751849989252
sample_state_combined_county_id_5ppc_1100_size_seed_1.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,885,-0.06617573806816207,-0.033614632272640714,-0.03367975448423176,-0.034265854388551134,-0.040126853431744984,-0.098085621747773,-0.09873684386368342,-0.04083270315876311,-0.033614632272640714,-0.03362906841441296,-0.03375899369036316,-0.035058246449865195,-0.04790641262716308,-0.04805077404488552,-0.06990695147198962,-0.033614632272640714,-0.033687216911039417,-0.03434047865662769,-0.0408730961125105,-0.10547342428735156,-0.10619927067133852,-4304.392340943014,-0.033614632272640714,-8.642332084894122,-86.12078915848745,-860.9053598944208,-8522.663892727538,-8608.751067253752
sample_state_combined_county_id_10ppc_400_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,370,-0.10549437697002255,-0.05198752449100364,-0.05209453819596168,-0.053057661540584014,-0.06268889498680742,-0.15793109239946107,-0.15900122944904144,-0.06298466096133395,-0.051987524491003634,-0.0520095187639443,-0.05220746722041024,-0.05418695178506971,-0.07376185470225768,-0.07398179743166428,-0.10566037938744016,-0.05198752449100365,-0.05209487020079651,-0.05306098158893237,-0.06272209547029095,-0.15825977718594797,-0.1593332342838767,-4304.404412492822,-0.05198752449100364,-8.660692374427663,-86.1390360238576,-860.922472518157,-8522.669788961784,-8608.756837461151
sample_state_combined_county_id_5ppc_400_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,385,-0.10460544523350516,-0.050964719143762556,-0.05107200059594204,-0.05203753366555741,-0.061692864361711085,-0.15717335680145292,-0.15824617132324778,-0.061700549345625105,-0.05096471914376255,-0.050986190804166276,-0.051179435747799804,-0.053111885184135066,-0.07222166294345041,-0.07243637954748765,-0.10617000857992107,-0.050964719143762556,-0.05107512972263487,-0.05206882493248573,-0.06200577703099426,-0.16027119222735642,-0.16137529801607958,-4304.403683451327,-0.05096471914376255,-8.659670156608131,-86.13801909378745,-860.9215084655806,-8522.66934780887,-8608.756402183511
sample_state_combined_county_id_5ppc_500_size_seed_1.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,490,-0.09128251987116692,-0.045175395145262566,-0.04526760939471437,-0.04609753763978065,-0.05439682009044344,-0.1364675021025532,-0.13738964459707126,-0.05464704916979936,-0.04517539514526256,-0.04519433845331164,-0.0453648282257533,-0.04706972595016993,-0.06392927011384543,-0.06411870319433616,-0.09525698013271693,-0.04517539514526257,-0.04527555831523747,-0.046177026845011654,-0.05519171214275344,-0.1443369334204222,-0.1453385651201713,-4304.399912088951,-0.045175395145262566,-8.653884868532872,-86.13227012902138,-860.9161227339063,-8522.66755404888,-8608.754648782755
sample_state_combined_county_id_5ppc_900_size_seed_456.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,775,-0.07095579102736996,-0.03592106040535499,-0.03599112986659901,-0.036621755017795285,-0.042928006529757985,-0.10528982703694464,-0.10599052164938494,-0.04357644509341455,-0.03592106040535498,-0.0359363711747311,-0.03607416809911618,-0.037452137342966894,-0.051078722087712934,-0.05123182978147413,-0.07340366699077341,-0.03592106040535498,-0.035996025618525815,-0.03667071253706335,-0.043417581722438675,-0.11013662144448351,-0.11088627357619185,-4304.393825013157,-0.03592106040535498,-8.64463686831086,-86.12307913946039,-860.9075018509558,-8522.664570886855,-8608.751728965908
sample_state_combined_county_id_5ppc_300_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,285,-0.1178859330518439,-0.05923488777590923,-0.05935218986646111,-0.060407908681427924,-0.07096509683109617,-0.17536395742225985,-0.17653697832777857,-0.07187673902550942,-0.059234887775909226,-0.05926017147840844,-0.05948772480090123,-0.06176325802582927,-0.08426575325011762,-0.08451859027510963,-0.11815707860489824,-0.059234887775909226,-0.059352732157567215,-0.06041333159248901,-0.07101932594170704,-0.17590082561730747,-0.17707926943388724,-4304.4090891258775,-0.05923488777590923,-8.667934596252113,-86.14623197253793,-860.9292057353963,-8522.671946279217,-8608.758943363979
sample_state_combined_county_id_10ppc_150_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,120,-0.18534098667522036,-0.09128709291752768,-0.09147520070504307,-0.09316817079268153,-0.11009787166906623,-0.27751380255775915,-0.27939488043291305,-0.11028238223414619,-0.09128709291752768,-0.09132508349616092,-0.09166699870386005,-0.09508615078085138,-0.12889776576443235,-0.12927767155076472,-0.18725562023538717,-0.09128709291752768,-0.0914790299721634,-0.09320646346388488,-0.11048079838109959,-0.2813047770068895,-0.28322414755324665,-4304.430316119563,-0.09128709291752768,-8.699965150970819,-86.17806767345044,-860.9590928982467,-8522.682564565677,-8608.76934514621
