sampled_path,sampling_type,diversity
sample_state_combined_county_id_10ppc_100_size_seed_1234.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,5352552.39630034
sample_state_combined_county_id_10ppc_800_size_seed_9101.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,48037597.39220317
sample_state_combined_county_id_10ppc_800_size_seed_1213.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,48597471.26872412
sample_state_combined_county_id_5ppc_1100_size_seed_1.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,55131664.37190203
sample_state_combined_county_id_10ppc_400_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,23207767.303228043
sample_state_combined_county_id_5ppc_400_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,24146347.378774133
sample_state_combined_county_id_5ppc_500_size_seed_1.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,30686617.410292353
sample_state_combined_county_id_5ppc_900_size_seed_456.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,48349617.04194098
sample_state_combined_county_id_5ppc_300_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,17898262.684781358
sample_state_combined_county_id_10ppc_150_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,7552536.026752755
sample_state_combined_county_id_10ppc_1100_size_seed_1.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,66676447.93183641
sample_state_combined_county_id_10ppc_500_size_seed_1213.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,29441974.912357546
sample_state_combined_county_id_5ppc_200_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,11946841.390404057
sample_state_combined_county_id_5ppc_600_size_seed_1213.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,36590777.61135669
sample_state_combined_county_id_5ppc_600_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,36590010.594037995
sample_state_combined_county_id_5ppc_900_size_seed_789.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,48352484.38565656
sample_state_combined_county_id_10ppc_300_size_seed_5678.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,17460544.738964822
sample_state_combined_county_id_10ppc_800_size_seed_42.pkl,cluster_sampling_fixedstrata_Alabama_01-Colorado_08-Montana_30-New York_36-Ohio_39,48291974.00080772
