dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std,poprisk_mod_updated_r2_mean,poprisk_mod_updated_r2_std,poprisk_urban_rural_seed_1_updated_r2_mean,poprisk_urban_rural_seed_1_updated_r2_std,poprisk_urban_rural_seed_42_updated_r2_mean,poprisk_urban_rural_seed_42_updated_r2_std
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,200,0.11,0.0,0.11,0.01,0.15,0.03,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,400,0.11,0.0,0.12,0.02,0.17,0.03,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,600,0.11,0.0,0.13,0.01,0.18,0.04,0.29,0.02,0.16,0.0,0.15,0.0
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,600,0.11,0.0,0.13,0.01,0.18,0.04,0.29,0.02,0.16,0.0,0.15,0.0
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,600,0.11,0.0,0.13,0.01,0.18,0.04,0.29,0.02,0.16,0.0,0.15,0.0
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,800,0.11,0.0,0.13,0.01,0.19,0.06,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1000,0.11,0.0,0.13,0.02,0.2,0.04,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1200,0.11,0.0,0.13,0.02,0.22,0.04,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1400,0.11,0.0,0.14,0.02,0.22,0.03,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1600,0.11,0.0,0.14,0.02,0.22,0.06,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1800,0.11,0.0,0.12,0.05,0.24,0.05,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2000,0.11,0.0,0.13,0.03,0.29,0.0,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2200,0.11,0.0,0.14,0.04,0.28,0.02,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2400,0.11,0.0,0.13,0.04,0.29,0.02,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2600,0.11,0.0,0.14,0.04,0.3,0.03,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2800,0.11,0.0,0.11,0.06,0.3,0.03,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,3000,0.11,0.0,0.14,0.07,0.32,0.01,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,4000,0.11,0.0,0.14,0.07,0.38,0.02,,,,,,
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,5000,0.11,0.0,0.17,0.08,0.35,0.03,,,,,,
