dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,200,0.22,0.0,0.22,0.01,0.23,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,400,0.22,0.0,0.22,0.01,0.24,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,600,0.22,0.0,0.23,0.01,0.27,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,800,0.22,0.0,0.23,0.01,0.26,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1000,0.22,0.0,0.23,0.01,0.27,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1200,0.22,0.0,0.23,0.02,0.27,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1400,0.22,0.0,0.24,0.02,0.27,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1600,0.22,0.0,0.24,0.01,0.29,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1800,0.22,0.0,0.24,0.01,0.31,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2000,0.22,0.0,0.25,0.02,0.3,0.01
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2200,0.22,0.0,0.25,0.01,0.31,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2400,0.22,0.0,0.25,0.01,0.33,0.02
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2600,0.22,0.0,0.25,0.01,0.31,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2800,0.22,0.0,0.25,0.01,0.34,0.04
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,3000,0.22,0.0,0.26,0.01,0.36,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,4000,0.22,0.0,0.26,0.02,0.39,0.03
INDIA_SECC_MULTIPLE,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,5000,0.22,0.0,0.28,0.02,0.4,0.01
