dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,1000,0.09,0.0,0.3,0.01,0.12,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,1200,0.09,0.0,0.3,0.02,0.13,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,1400,0.09,0.0,0.36,0.0,0.14,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,1600,0.09,0.0,0.34,0.01,0.14,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,1800,0.09,0.0,0.33,0.0,0.14,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,2000,0.09,0.0,0.36,0.0,0.15,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,2200,0.09,0.0,0.35,0.03,0.13,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,2400,0.09,0.0,0.38,0.01,0.09,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,2600,0.09,0.0,0.35,0.01,0.11,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,2800,0.09,0.0,0.39,0.0,-0.02,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,3000,0.09,0.0,0.37,0.01,0.02,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,4000,0.09,0.0,0.41,0.01,0.08,0.0
INDIA_SECC_MULTIPLE,urban_based_top20_urban_3000_points,uniform,5000,0.09,0.0,0.4,0.01,0.02,0.0
