dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,100,0.13,0.0,0.17,0.0,0.14,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,200,0.13,0.0,0.18,0.0,0.1,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,300,0.13,0.0,0.17,0.0,0.1,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,400,0.13,0.0,0.17,0.0,0.11,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,500,0.13,0.0,0.17,0.0,0.11,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,600,0.13,0.0,0.17,0.0,0.12,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,700,0.13,0.0,0.18,0.0,0.16,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,800,0.13,0.0,0.18,0.0,0.16,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,900,0.13,0.0,0.22,0.0,0.18,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,1000,0.13,0.0,0.18,0.0,0.17,0.0
