dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_unit_updated_r2_mean,random_unit_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_1.0_updated_r2_mean,poprisk_regions_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,100,0.09,0.12,0.07,0.13,0.12,0.08,0.13,0.03,0.08,0.15,0.09,0.16,0.08,0.14
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,200,0.09,0.12,0.08,0.13,0.12,0.1,0.08,0.08,0.15,0.07,0.16,0.04,0.06,0.17
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,300,0.09,0.12,0.14,0.05,0.15,0.08,0.09,0.07,0.19,0.03,0.18,0.04,0.05,0.2
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,400,0.09,0.12,0.15,0.04,0.18,0.03,0.08,0.08,0.18,0.04,0.18,0.05,0.06,0.14
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,500,0.09,0.12,0.14,0.05,0.18,0.06,0.02,0.17,0.2,0.04,0.2,0.03,0.06,0.11
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,600,0.09,0.12,0.13,0.06,0.19,0.05,0.07,0.12,0.22,0.02,0.22,0.03,0.1,0.12
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,700,0.09,0.12,0.16,0.03,0.2,0.05,0.08,0.11,0.22,0.02,0.22,0.03,0.12,0.07
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,800,0.09,0.12,0.16,0.04,0.2,0.05,0.06,0.12,0.23,0.02,0.22,0.03,0.12,0.08
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,900,0.09,0.12,0.16,0.03,0.21,0.05,0.07,0.09,0.22,0.04,0.23,0.01,0.13,0.05
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,1000,0.09,0.12,0.14,0.04,0.22,0.03,0.06,0.12,0.23,0.02,0.23,0.02,0.13,0.05
