dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,diversity_updated_r2_mean,diversity_updated_r2_std,poprisk_dists_from_urban_tiers_1.0_updated_r2_mean,poprisk_dists_from_urban_tiers_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_dists_from_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_urban_tiers_0.5_updated_r2_std,random_unit_updated_r2_mean,random_unit_updated_r2_std
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,10,0.33,0.1,0.25,0.15,0.23,0.13,,,0.4,0.0,0.25,0.14,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,20,0.33,0.1,0.26,0.15,0.25,0.1,0.36,0.12,0.35,0.0,0.22,0.21,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,30,0.33,0.1,0.16,0.06,0.31,0.14,0.36,0.12,0.35,0.0,0.2,0.19,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,40,0.33,0.1,0.17,0.06,0.32,0.14,0.35,0.11,0.37,0.0,0.26,0.18,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,50,0.31,0.11,0.43,0.05,0.24,0.04,0.36,0.11,0.37,0.0,0.22,0.15,,,0.41,0.05,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,60,0.33,0.1,0.27,0.14,0.35,0.1,0.37,0.1,0.38,0.0,0.25,0.12,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,70,0.33,0.1,0.27,0.14,0.29,0.02,0.38,0.11,0.42,0.0,0.3,0.17,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,80,0.33,0.1,0.18,0.06,0.37,0.08,0.33,0.1,0.33,0.0,0.27,0.14,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,90,0.33,0.1,0.26,0.14,0.34,0.1,0.34,0.1,0.33,0.0,0.27,0.14,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,100,0.31,0.11,0.34,0.09,0.38,0.08,0.35,0.09,0.32,0.0,0.38,0.09,0.39,0.09,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,200,0.31,0.11,0.37,0.07,0.4,0.07,,,,,0.41,0.06,0.45,0.04,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,300,0.31,0.11,0.4,0.08,0.43,0.07,,,,,0.41,0.05,0.48,0.04,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,400,0.31,0.11,0.42,0.06,0.45,0.06,,,,,0.44,0.02,0.48,0.04,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,500,0.31,0.11,0.57,0.01,0.45,0.05,0.48,0.04,0.43,0.0,0.46,0.03,0.5,0.03,,,0.51,0.0
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,1000,0.31,0.11,0.6,0.01,0.47,0.04,0.52,0.02,0.48,0.0,0.49,0.03,0.54,0.02,,,,
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,5000,0.31,0.11,0.68,0.0,0.55,0.0,0.62,0.01,0.62,0.0,0.61,0.01,,,0.69,0.0,,
