dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,poprisk_dists_from_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_urban_tiers_0.5_updated_r2_std,poprisk_dists_from_urban_tiers_1.0_updated_r2_mean,poprisk_dists_from_urban_tiers_1.0_updated_r2_std,poprisk_dists_from_top20_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_top20_urban_tiers_0.5_updated_r2_std,poprisk_dists_from_top20_urban_tiers_1.0_updated_r2_mean,poprisk_dists_from_top20_urban_tiers_1.0_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_random_subsets_100_0.5_updated_r2_mean,poprisk_random_subsets_100_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,100,0.03,0.1,0.17,0.0,0.18,0.0,0.09,0.13,0.23,0.0,-0.04,0.09,0.23,0.0,0.15,0.0
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,200,0.03,0.1,0.12,0.0,0.16,0.0,0.17,0.06,0.29,0.0,-0.14,0.05,,,,
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,250,0.2,0.0,,,,,,,,,0.05,0.0,,,0.07,0.0
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,300,0.03,0.1,0.1,0.0,0.15,0.0,0.2,0.07,0.32,0.0,-0.17,0.05,,,,
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,400,0.03,0.1,0.12,0.0,0.12,0.0,0.24,0.06,0.34,0.0,-0.15,0.04,,,,
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,500,0.03,0.1,0.11,0.0,0.15,0.0,0.27,0.07,0.36,0.0,-0.13,0.05,,,-0.11,0.0
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,1000,0.03,0.1,,,0.11,0.0,0.36,0.03,0.43,0.0,-0.07,0.05,,,-0.21,0.0
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,2000,0.2,0.0,,,,,,,,,-0.27,0.0,,,-0.3,0.0
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,3000,0.2,0.0,,,,,,,,,,,,,-0.24,0.0
USAVARS_POP,top20_urban_200_points,convenience_based_top20_urban_0.01,5000,0.2,0.0,,,,,,,,,,,,,-0.02,0.0
