dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,10,0.5,0.14,0.56,0.11,0.56,0.18,0.57,0.19,0.62,0.07,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,20,0.5,0.14,0.61,0.11,0.64,0.07,0.64,0.09,0.58,0.18,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,30,0.5,0.14,0.66,0.1,0.68,0.04,0.69,0.05,0.64,0.09,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,40,0.5,0.14,0.65,0.12,0.66,0.05,0.71,0.06,0.65,0.14,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,50,0.5,0.14,,,0.68,0.02,0.72,0.04,0.71,0.04,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,60,0.5,0.14,0.68,0.11,0.68,0.04,0.7,0.09,0.71,0.05,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,70,0.5,0.14,0.68,0.11,0.69,0.03,0.74,0.03,0.69,0.09,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,80,0.5,0.14,0.71,0.12,0.69,0.06,0.76,0.02,0.71,0.06,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,90,0.5,0.14,0.69,0.12,0.72,0.04,0.75,0.03,0.71,0.08,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,100,0.5,0.13,0.73,0.05,0.7,0.09,0.75,0.07,0.73,0.06,0.76,0.04
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,200,0.5,0.13,0.77,0.03,0.69,0.07,,,0.78,0.03,0.79,0.02
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,300,0.5,0.13,0.8,0.02,0.69,0.1,,,0.79,0.04,0.8,0.02
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,400,0.5,0.13,0.81,0.03,0.72,0.06,,,0.8,0.03,0.82,0.02
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,500,0.5,0.13,0.82,0.03,0.82,0.04,0.84,0.02,0.81,0.03,0.83,0.02
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,1000,0.5,0.13,0.85,0.03,0.85,0.03,0.86,0.01,0.85,0.02,0.86,0.02
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,5000,0.5,0.14,0.89,0.02,0.89,0.01,0.9,0.01,0.89,0.01,,
