dataset,initial_set,budget,initial_r2_mean,initial_r2_se,poprisk_updated_r2_mean,poprisk_updated_r2_se,random_updated_r2_mean,random_updated_r2_se,match_population_proportion_updated_r2_mean,match_population_proportion_updated_r2_se,stratified_updated_r2_mean,stratified_updated_r2_se
INDIA_SECC,cluster_sampling_10_points_per_cluster_1000_size,50,0.18,0.02,0.18,0.02,0.18,0.02,,,,
INDIA_SECC,cluster_sampling_10_points_per_cluster_1000_size,100,0.18,0.02,0.18,0.02,0.19,0.02,,,,
INDIA_SECC,cluster_sampling_10_points_per_cluster_1000_size,500,0.18,0.02,0.19,0.03,0.18,0.02,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,10,0.07,0.01,0.07,0.02,0.07,0.02,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,50,0.07,0.01,0.04,0.02,0.11,0.01,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,100,0.07,0.01,0.05,0.01,0.07,0.02,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,500,0.07,0.01,0.09,0.01,0.1,0.0,,,,
INDIA_SECC,empty_initial_set,50,,,,,0.04,0.01,,,,
INDIA_SECC,empty_initial_set,100,,,,,0.06,0.01,,,,
INDIA_SECC,empty_initial_set,500,,,,,0.18,0.01,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,10,0.28,0.02,0.29,0.03,0.3,0.03,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,50,0.28,0.03,0.39,0.02,0.39,0.02,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,100,0.28,0.03,0.42,0.02,0.44,0.01,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,500,0.28,0.03,0.55,0.0,0.56,0.0,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,10,0.16,0.02,0.19,0.02,0.16,0.02,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,50,0.16,0.02,0.28,0.02,0.18,0.02,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,100,0.16,0.02,0.37,0.01,0.2,0.02,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,500,0.16,0.02,0.52,0.0,0.33,0.01,,,,
USAVARS_POP,empty_initial_set,10,,,0.06,0.03,0.13,0.03,0.08,,0.03,
USAVARS_POP,empty_initial_set,50,,,0.35,0.02,0.25,0.03,0.33,,0.24,
USAVARS_POP,empty_initial_set,100,,,0.37,0.01,0.36,0.03,0.46,,,
USAVARS_POP,empty_initial_set,500,,,0.57,0.0,0.57,0.0,0.51,,0.52,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,10,0.69,0.01,0.69,0.02,0.69,0.02,,,,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,50,0.69,0.01,0.69,0.01,0.72,0.01,,,,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,100,0.69,0.01,0.74,0.01,0.73,0.01,,,,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,500,0.69,0.01,0.79,0.01,0.8,0.0,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,10,0.71,0.01,0.72,0.01,0.7,0.01,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,50,0.71,0.01,0.77,0.0,0.71,0.01,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,100,0.71,0.01,0.8,0.0,0.73,0.01,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,500,0.71,0.01,0.84,0.0,0.77,0.0,,,,
USAVARS_TC,empty_initial_set,10,,,0.38,0.05,0.27,0.06,,,,
USAVARS_TC,empty_initial_set,50,,,0.62,0.03,0.5,0.06,,,,
USAVARS_TC,empty_initial_set,100,,,0.72,0.0,0.69,0.02,,,,
USAVARS_TC,empty_initial_set,500,,,0.83,0.0,0.82,0.0,,,,
