initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_200_size,200,1,0.3967420097901655
5_fixedstrata_10ppc_200_size,200,5678,0.31385541729049427
5_fixedstrata_10ppc_200_size,200,1213,0.4185269113685611
5_fixedstrata_10ppc_200_size,200,42,0.1087661299809789
5_fixedstrata_10ppc_200_size,200,789,0.4099752219075632
5_fixedstrata_10ppc_200_size,200,1415,0.09017189491468447
5_fixedstrata_10ppc_200_size,200,123,0.42101277854602026
5_fixedstrata_10ppc_200_size,200,456,0.32518588049204766
5_fixedstrata_10ppc_200_size,200,9101,0.29859947216356575
5_fixedstrata_10ppc_200_size,200,1234,0.3034715993039844
5_fixedstrata_10ppc_300_size,300,1,0.39935552272325137
5_fixedstrata_10ppc_300_size,300,5678,0.2881398244402006
5_fixedstrata_10ppc_300_size,300,1213,0.49359658017419283
5_fixedstrata_10ppc_300_size,300,42,0.2838915619598116
5_fixedstrata_10ppc_300_size,300,789,0.4476002188278977
5_fixedstrata_10ppc_300_size,300,1415,0.33485145885909084
5_fixedstrata_10ppc_300_size,300,123,0.429238057766668
5_fixedstrata_10ppc_300_size,300,456,0.34716429823648676
5_fixedstrata_10ppc_300_size,300,9101,0.3730382682846074
5_fixedstrata_10ppc_300_size,300,1234,0.4141459873080009
5_fixedstrata_10ppc_100_size,100,1,-0.17726976996571842
5_fixedstrata_10ppc_100_size,100,5678,-0.27705427990238074
5_fixedstrata_10ppc_100_size,100,1213,0.25929082040145734
5_fixedstrata_10ppc_100_size,100,42,-0.02011851010898602
5_fixedstrata_10ppc_100_size,100,789,0.1001896848189956
5_fixedstrata_10ppc_100_size,100,1415,-0.5965265750790258
5_fixedstrata_10ppc_100_size,100,123,0.3166875269637719
5_fixedstrata_10ppc_100_size,100,456,0.022367620149059686
5_fixedstrata_10ppc_100_size,100,9101,0.15443962141982537
5_fixedstrata_10ppc_100_size,100,1234,0.18052827506399238
