dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std,poprisk_urban_rural_0.5_delta_r2_mean,poprisk_urban_rural_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_20,200,2000,0.0,0.16,0.03,0.14,0.04,-0.01,0.014069946694994973,0.22,0.04,0.06,0.02498332243717797,0.13,0.04,-0.03,0.0089540828676085,0.18,0.04,0.03,0.013860216448526337,0.17,0.07,0.01,0.03755382004536956
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_20,400,2000,0.0,0.16,0.03,0.15,0.03,-0.0,0.017455789870412623,0.21,0.05,0.05,0.02540430278515827,0.16,0.05,0.0,0.018051609346537496,0.17,0.04,0.01,0.012388300932734887,0.19,0.08,0.04,0.04224687680764106
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_20,600,2000,0.0,0.16,0.03,0.15,0.03,-0.0,0.016219741058352315,0.23,0.05,0.08,0.014314628880973478,0.15,0.05,-0.01,0.02377460830381859,0.18,0.06,0.02,0.019978878847422842,0.24,0.03,0.08,0.022627845677394922
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_20,800,2000,0.0,0.16,0.03,0.16,0.03,0.01,0.017677132120341235,0.25,0.05,0.09,0.02624224837928335,0.14,0.06,-0.02,0.024362089401362932,0.23,0.04,0.08,0.007473794217129617,0.28,0.04,0.12,0.02892251717952641
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_20,1000,2000,0.0,0.16,0.03,0.15,0.05,-0.0,0.027885074860935912,0.28,0.03,0.12,0.020636167279802706,0.08,0.09,-0.07,0.041416730918796565,0.2,0.08,0.05,0.03894133279691386,0.28,0.03,0.13,0.019745784360212182
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_21,200,2000,1.0,0.16,0.03,0.15,0.03,-0.01,0.013367894374208676,0.21,0.04,0.06,0.024775693733980482,0.14,0.05,-0.01,0.011934764346228206,0.16,0.04,0.0,0.01889224708709898,0.17,0.03,0.01,0.019632106356680116
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_21,400,2000,1.0,0.16,0.03,0.15,0.03,-0.01,0.018500324321481496,0.21,0.03,0.05,0.015035378279245256,0.14,0.04,-0.02,0.013241623767499213,0.17,0.05,0.01,0.018369692430740367,0.17,0.04,0.01,0.018084706245886328
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_21,600,2000,1.0,0.16,0.03,0.17,0.02,0.01,0.006482715480414052,0.25,0.04,0.09,0.01416934719738351,0.17,0.03,0.01,0.01320130296599544,0.16,0.06,0.0,0.020723262291444364,0.16,0.04,0.01,0.020309446078118423
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_21,800,2000,1.0,0.16,0.03,0.16,0.02,0.01,0.018099016547868007,0.25,0.05,0.09,0.018657357797930554,0.18,0.02,0.03,0.013507760732260546,0.2,0.04,0.05,0.018063792514308834,0.18,0.03,0.03,0.005614766246247481
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_21,1000,2000,1.0,0.16,0.03,0.17,0.03,0.01,0.01847407372508835,0.23,0.06,0.08,0.023076364531702125,0.2,0.02,0.04,0.012935493805804244,0.22,0.04,0.07,0.0212134768484565,0.17,0.04,0.02,0.012798101421695329
