dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_updated_r2_se,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_updated_r2_se,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_updated_r2_se,greedycost_delta_r2_mean,greedycost_delta_r2_se,poprisk_avg_image_clusters_8_0.5_updated_r2_mean,poprisk_avg_image_clusters_8_0.5_updated_r2_std,poprisk_avg_image_clusters_8_0.5_updated_r2_se,poprisk_avg_image_clusters_8_0.5_delta_r2_mean,poprisk_avg_image_clusters_8_0.5_delta_r2_se,poprisk_avg_image_clusters_3_0.5_updated_r2_mean,poprisk_avg_image_clusters_3_0.5_updated_r2_std,poprisk_avg_image_clusters_3_0.5_updated_r2_se,poprisk_avg_image_clusters_3_0.5_delta_r2_mean,poprisk_avg_image_clusters_3_0.5_delta_r2_se,diversity_updated_r2_mean,diversity_updated_r2_std,diversity_updated_r2_se,diversity_delta_r2_mean,diversity_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_updated_r2_se,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,poprisk_avg_regions_0.5_updated_r2_mean,poprisk_avg_regions_0.5_updated_r2_std,poprisk_avg_regions_0.5_updated_r2_se,poprisk_avg_regions_0.5_delta_r2_mean,poprisk_avg_regions_0.5_delta_r2_se,poprisk_regions_1.0_updated_r2_mean,poprisk_regions_1.0_updated_r2_std,poprisk_regions_1.0_updated_r2_se,poprisk_regions_1.0_delta_r2_mean,poprisk_regions_1.0_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_25,100,500,0.0,0.09,0.12,0.041614387068790414,0.07,0.13,0.04390621684656716,-0.02,0.017221593680286643,0.12,0.08,0.026287864542830823,0.03,0.04377034828384268,0.08,0.12,0.04157510005333053,-0.01,0.005643938735000978,0.12,0.13,0.04176691726447833,0.03,0.02625845154950645,0.07,0.2,0.06648413085508116,-0.02,0.030278062465532146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_25,500,500,0.0,0.09,0.12,0.041614387068790414,0.14,0.05,0.017056149428676254,0.06,0.04443225104958484,0.18,0.06,0.02103107357116026,0.09,0.04005829418901076,0.09,0.1,0.03267002091622634,-0.0,0.03551823084307863,0.22,0.03,0.010678389911925445,0.13,0.04284298672024525,0.19,0.03,0.00892394033547463,0.1,0.041348733824494416,0.21,0.02,0.005473557648671777,0.12,0.038938136689996974,0.15,0.03,0.009610327777968867,0.06,0.04040499817816822,0.19,0.03,0.009909925439791271,0.1,0.039443265725737156,0.23,0.01,0.004351379091736321,0.14,0.04167854017490429,0.23,0.01,0.003908942738559025,0.14,0.04091163974551334,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_25,1000,500,0.0,0.09,0.12,0.041614387068790414,0.14,0.04,0.014850687975084969,0.06,0.04389635279711617,0.22,0.03,0.009203458890849437,0.13,0.03940538880237913,0.08,0.09,0.028982365519589857,-0.01,0.02347035032641065,0.24,0.01,0.0024495373712873493,0.16,0.04265958222434387,0.2,0.06,0.018533610609436636,0.11,0.037453438352766016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_26,100,500,1.0,0.09,0.12,0.041614387068790414,0.09,0.14,0.04565091261105545,-0.0,0.0066533542083840845,0.14,0.06,0.02113248710187968,0.05,0.03807702077514876,0.13,0.03,0.0098001836717482,0.04,0.044592005387114456,0.11,0.08,0.028327050479866216,0.02,0.030324741640376025,0.08,0.14,0.0453311548496175,-0.01,0.01113866189849072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_26,500,500,1.0,0.09,0.12,0.041614387068790414,0.16,0.04,0.014549929362180575,0.07,0.045528768560841475,0.17,0.07,0.024680972428168222,0.08,0.04331857197297457,0.1,0.07,0.02333763984068083,0.01,0.025465985156675166,0.22,0.02,0.005684673351311499,0.13,0.041616918167708884,0.06,0.11,0.03636160505563832,-0.03,0.04351468206887827,0.14,0.08,0.02735906938800693,0.05,0.030408884666601414,0.1,0.15,0.04968053005621686,0.01,0.024752487865981384,0.17,0.03,0.011221170467766125,0.08,0.03977857449543522,0.22,0.02,0.007222003415488899,0.13,0.04277476008115066,0.22,0.02,0.005752916168730815,0.14,0.039989693811169784,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_26,1000,500,1.0,0.09,0.12,0.041614387068790414,0.15,0.05,0.017392169694051017,0.06,0.04688692118040784,0.22,0.03,0.00878766117285418,0.13,0.04014944527083227,0.06,0.13,0.0447362325190667,-0.03,0.026827449458426796,0.24,0.01,0.004248907049008145,0.15,0.03898240058738758,0.13,0.05,0.01684721045158515,0.04,0.03165280117497063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_30,100,500,5.0,0.09,0.12,0.041614387068790414,0.09,0.14,0.04565091261105545,-0.0,0.0066533542083840845,0.14,0.06,0.02113248710187968,0.05,0.03807702077514876,0.13,0.03,0.0098001836717482,0.04,0.044592005387114456,0.11,0.08,0.02542330426990166,0.03,0.026329786469995453,0.08,0.14,0.0453311548496175,-0.01,0.01113866189849072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_30,500,500,5.0,0.09,0.12,0.041614387068790414,0.15,0.05,0.018084108739135827,0.06,0.03805487850168198,0.17,0.06,0.021545900615507662,0.08,0.04631952360146492,0.02,0.17,0.05619030452152953,-0.07,0.0226151414371483,0.2,0.04,0.012480415324285753,0.11,0.04603006988190799,0.06,0.11,0.03636160505563832,-0.03,0.04351468206887827,,,,,,,,,,,,,,,,,,,,,0.22,0.01,0.004693187734484006,0.13,0.041507702631894454,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_30,1000,500,5.0,0.09,0.12,0.041614387068790414,0.16,0.04,0.0116787442247301,0.07,0.03991442526762027,0.21,0.05,0.017357882935427348,0.12,0.036189199739394315,0.06,0.12,0.04138600206188883,-0.03,0.03195966277113143,0.23,0.02,0.005743096338697057,0.14,0.04054155960931394,0.13,0.05,0.01684721045158515,0.04,0.03165280117497063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,100,500,10.0,0.09,0.12,0.041614387068790414,0.09,0.13,0.041979050860055316,0.0,0.0032126849276647783,0.13,0.07,0.022453677996167033,0.04,0.03887180583519228,0.13,0.03,0.0098001836717482,0.04,0.044592005387114456,0.08,0.15,0.04891252963766601,-0.01,0.014715981108984885,0.08,0.14,0.0453311548496175,-0.01,0.01113866189849072,0.05,0.15,0.051075906474797116,-0.04,0.027074032043844357,0.11,0.13,0.04394694541274866,0.02,0.02501315120758145,0.07,0.22,0.07181952257027487,-0.02,0.0384307170257219,0.16,0.04,0.011791119068557017,0.07,0.036830229884340024,0.17,0.04,0.014899759878751213,0.08,0.043472280951327026,0.09,0.12,0.04134308487119299,0.01,0.01575003668426063,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,200,500,10.0,0.09,0.12,0.041614387068790414,0.09,0.14,0.04669604123120788,0.0,0.011672524719756792,0.12,0.11,0.035007812461411145,0.03,0.053233628156144554,0.08,0.08,0.025877999235730042,-0.01,0.023214018992362737,0.15,0.07,0.023705010253343296,0.06,0.018350616398972057,0.06,0.17,0.05765515646207776,-0.03,0.028267464807914183,0.12,0.05,0.0168093984954185,0.04,0.03583245580320848,0.09,0.13,0.043299991788554516,-0.0,0.03711012754850981,0.11,0.16,0.05252658469765572,0.02,0.024291218349207784,0.15,0.04,0.012035171143130637,0.06,0.038875808530355854,0.18,0.04,0.013608667172880017,0.09,0.044915538637659805,0.15,0.04,0.013377111878960355,0.07,0.03992397274821232,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,300,500,10.0,0.09,0.12,0.041614387068790414,0.09,0.12,0.04148850657444514,0.01,0.020871378860907955,0.12,0.1,0.03388816066612842,0.03,0.049092979810423674,0.09,0.07,0.024911950724278677,0.0,0.028050807276955306,0.19,0.03,0.010725792382021117,0.1,0.04309558742557705,0.05,0.2,0.0680024055130078,-0.04,0.03206370759042759,0.15,0.06,0.021480483131334722,0.06,0.03180516467493919,0.07,0.13,0.042347462733911226,-0.02,0.04656311618533374,0.12,0.18,0.06121066437585311,0.03,0.03023582496164295,0.19,0.03,0.009975038290096376,0.1,0.042653774614785145,0.18,0.04,0.01485968445903957,0.09,0.04481123978547247,0.15,0.03,0.011443030387290092,0.06,0.03936473943913653,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,400,500,10.0,0.09,0.12,0.041614387068790414,0.14,0.05,0.01747151364046312,0.05,0.04552498020012994,0.15,0.08,0.02780041986093815,0.06,0.050159512668197945,0.08,0.08,0.026321851716354944,-0.01,0.02759058937794229,,,,,,0.06,0.14,0.046790988686094485,-0.03,0.02778428032779207,0.15,0.07,0.023900665727594746,0.06,0.031773035563019296,0.1,0.11,0.03753414090309425,0.02,0.028983052710928228,0.14,0.06,0.01993866260978069,0.05,0.030261321297436215,0.19,0.04,0.011828669973134483,0.11,0.04267460603215922,0.2,0.03,0.008524441330667952,0.11,0.042251986935527654,0.16,0.03,0.011513981838520407,0.08,0.04056201137353357,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,500,500,10.0,0.09,0.12,0.041614387068790414,0.16,0.04,0.014404329596031573,0.07,0.04245518957939326,0.17,0.03,0.010785035414354877,0.08,0.04287878211371629,0.02,0.17,0.05619030452152953,-0.07,0.0226151414371483,0.2,0.04,0.013173468285408616,0.11,0.04723159735694834,0.06,0.11,0.03636160505563832,-0.03,0.04351468206887827,0.15,0.05,0.017456816879246786,0.07,0.035766104997143125,0.16,0.03,0.011490847082207064,0.07,0.03825080333215964,0.17,0.05,0.01551009133865218,0.08,0.026919758336376068,0.2,0.03,0.009247282483699376,0.12,0.043440795470514944,0.21,0.02,0.007838832112559172,0.12,0.04242046165079615,0.2,0.03,0.01045087981410603,0.11,0.03881498693946851,0.2,0.03,0.010651032813769752,0.11,0.044431898451450395
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,600,500,10.0,0.09,0.12,0.041614387068790414,0.15,0.04,0.014403095346332868,0.07,0.045115405228024805,0.17,0.06,0.021027891794788495,0.09,0.04288787655684943,0.07,0.12,0.0407390755636131,-0.01,0.028193680142897276,0.22,0.02,0.00584578195510803,0.13,0.04091916475741463,0.1,0.12,0.03890392739385918,0.01,0.05227345576655305,0.07,0.2,0.06731472482137751,-0.02,0.07102464994633906,0.11,0.11,0.03541451617000514,0.02,0.03308890196626859,0.13,0.1,0.033943990467958964,0.04,0.02767669396602291,0.22,0.02,0.00535961856022526,0.13,0.04100202284982751,0.22,0.02,0.006715425029983829,0.14,0.042672075828995654,0.21,0.03,0.0102265390039837,0.12,0.04216685375452567,0.22,0.03,0.009478562947807835,0.13,0.0435559896378596
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,700,500,10.0,0.09,0.12,0.041614387068790414,0.13,0.06,0.01931627868462821,0.04,0.04950272057619101,0.19,0.05,0.016229953446910708,0.1,0.04005585045352995,0.08,0.11,0.03550398788242746,-0.01,0.02282219217243505,0.22,0.02,0.006189246049937478,0.14,0.04138326016908555,0.12,0.07,0.023691558740520965,0.03,0.036739353559909024,0.06,0.21,0.06897379542663688,-0.03,0.07426067929186272,0.11,0.11,0.03800610126457769,0.02,0.062183203251896454,0.1,0.2,0.0682549205389456,0.01,0.08024307578296777,0.22,0.02,0.006497267801844778,0.14,0.044357262339127984,0.22,0.02,0.005557146549964088,0.14,0.043649466841595624,0.22,0.02,0.00546465003454018,0.13,0.0415179935556728,0.22,0.03,0.011267098611049393,0.13,0.042385507088049695
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,800,500,10.0,0.09,0.12,0.041614387068790414,0.16,0.04,0.013375925720819807,0.07,0.042993051634989676,0.18,0.06,0.021258280739514187,0.09,0.04070318633446008,0.06,0.12,0.039823968913206026,-0.03,0.029472978961904903,0.23,0.02,0.005562534394400533,0.14,0.04002423765669997,0.12,0.08,0.02757957799209811,0.03,0.05198976437723102,0.12,0.11,0.03749732212660881,0.03,0.05516267498146832,0.05,0.3,0.0992516622306929,-0.04,0.0710850129539741,0.18,0.03,0.01006059640379237,0.1,0.0463702707681453,0.23,0.02,0.005186546699555172,0.14,0.04310022492851851,0.23,0.01,0.003637949666746062,0.14,0.041337211646005664,0.22,0.02,0.007070175229637365,0.13,0.03963995753445422,0.22,0.03,0.010665345751545048,0.13,0.04424531123934678
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,900,500,10.0,0.09,0.12,0.041614387068790414,0.16,0.03,0.010721982092878165,0.07,0.0462537104817909,0.2,0.05,0.017409762586931887,0.11,0.03621802559193112,0.07,0.09,0.031241133853374212,-0.01,0.031137934884781438,0.22,0.04,0.012832483088717562,0.13,0.046559271782201324,0.13,0.05,0.01662396830549861,0.04,0.039505296410031455,0.09,0.3,0.10048612264608703,-0.0,0.07161120962841254,0.16,0.06,0.018688162920237325,0.07,0.03659046627500424,0.19,0.03,0.010204484852804238,0.11,0.04209839387276748,0.22,0.03,0.010155032140657053,0.14,0.04604884556400712,0.23,0.01,0.004652163176654729,0.15,0.04149753526817385,0.22,0.02,0.005383791518169245,0.13,0.039669156224396235,0.23,0.01,0.004803203791915001,0.14,0.044726615988444476
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,1000,500,10.0,0.09,0.12,0.041614387068790414,0.15,0.05,0.015405455022310907,0.06,0.04841012761350207,0.2,0.05,0.015881520008417888,0.11,0.036267049017592326,0.06,0.12,0.04138600206188883,-0.03,0.03195966277113143,0.23,0.02,0.005563141598453562,0.14,0.042141301989062144,0.13,0.05,0.01684721045158515,0.04,0.03165280117497063,0.16,0.04,0.014386861290002686,0.07,0.03889124565874548,0.17,0.05,0.017841749104589244,0.09,0.03068958636265909,0.19,0.03,0.011540152126861722,0.11,0.031448301314308785,0.24,0.01,0.004123106973037581,0.15,0.042470759091141494,0.23,0.01,0.003595560534263823,0.15,0.04252392842728537,0.23,0.02,0.006152538771379935,0.14,0.04095359446983866,0.23,0.02,0.006354351964511321,0.15,0.044950691009396304
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_40,100,500,15.0,0.09,0.12,0.041614387068790414,0.09,0.13,0.04182908623859186,0.0,0.00377536458872223,0.09,0.12,0.0396326578299597,0.0,0.024960293801689647,0.13,0.03,0.0098001836717482,0.04,0.044592005387114456,0.09,0.15,0.04937256649417996,-0.0,0.015326295486298484,0.08,0.14,0.0453311548496175,-0.01,0.01113866189849072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_40,500,500,15.0,0.09,0.12,0.041614387068790414,0.15,0.06,0.01892926746249486,0.06,0.040851490384888854,0.16,0.07,0.023089390541015917,0.07,0.0482473051636623,0.02,0.17,0.05619030452152953,-0.07,0.0226151414371483,0.19,0.03,0.010814840112857271,0.11,0.041849940395550275,0.06,0.11,0.03636160505563832,-0.03,0.04351468206887827,0.11,0.15,0.04834111948779562,0.02,0.046887717415592375,0.09,0.13,0.04426151438389288,0.0,0.03730945009869036,0.17,0.05,0.01551009133865218,0.08,0.026919758336376068,0.2,0.03,0.010122568843924946,0.11,0.04088239243379858,0.21,0.01,0.004774185212624711,0.12,0.043340186765736116,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_40,1000,500,15.0,0.09,0.12,0.041614387068790414,0.15,0.04,0.013518002811066434,0.06,0.05064424734250563,0.2,0.05,0.017384538468932034,0.11,0.03627985192301032,0.06,0.12,0.04138600206188883,-0.03,0.03195966277113143,0.23,0.02,0.0070236710882241316,0.14,0.04455242367768061,0.13,0.05,0.01684721045158515,0.04,0.03165280117497063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_45,100,500,20.0,0.09,0.12,0.041614387068790414,0.09,0.13,0.04182908623859186,0.0,0.00377536458872223,0.09,0.12,0.0396326578299597,0.0,0.024960293801689647,0.13,0.03,0.0098001836717482,0.04,0.044592005387114456,0.09,0.15,0.04937256649417996,-0.0,0.015326295486298484,0.08,0.14,0.0453311548496175,-0.01,0.01113866189849072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_45,500,500,20.0,0.09,0.12,0.041614387068790414,0.15,0.04,0.014482235861756829,0.06,0.043164012917140955,0.15,0.08,0.02787197238166765,0.06,0.04816749953143832,0.02,0.17,0.05619030452152953,-0.07,0.0226151414371483,0.19,0.03,0.008726119157767418,0.1,0.04125533514320029,0.06,0.11,0.03636160505563832,-0.03,0.04351468206887827,0.02,0.24,0.08023300623115706,-0.06,0.08208301766436762,0.11,0.13,0.04398770093257129,0.02,0.023864502695193312,0.17,0.05,0.01551009133865218,0.08,0.026919758336376068,0.17,0.06,0.0202411363317379,0.09,0.04388931849297478,0.2,0.03,0.009529969686322314,0.11,0.04245396670381802,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_45,1000,500,20.0,0.09,0.12,0.041614387068790414,0.13,0.04,0.013536559549769076,0.05,0.04559504468689553,0.19,0.06,0.021145971247497716,0.1,0.039836515354076285,0.06,0.12,0.04138600206188883,-0.03,0.03195966277113143,0.23,0.02,0.005336524045564574,0.14,0.042183630448051505,0.13,0.05,0.01684721045158515,0.04,0.03165280117497063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
