dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,poprisk_avg_regions_0.5_updated_r2_mean,poprisk_avg_regions_0.5_updated_r2_std,poprisk_avg_regions_0.5_delta_r2_mean,poprisk_avg_regions_0.5_delta_r2_se,poprisk_avg_image_clusters_8_0.5_updated_r2_mean,poprisk_avg_image_clusters_8_0.5_updated_r2_std,poprisk_avg_image_clusters_8_0.5_delta_r2_mean,poprisk_avg_image_clusters_8_0.5_delta_r2_se,poprisk_avg_image_clusters_3_0.5_updated_r2_mean,poprisk_avg_image_clusters_3_0.5_updated_r2_std,poprisk_avg_image_clusters_3_0.5_delta_r2_mean,poprisk_avg_image_clusters_3_0.5_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,diversity_updated_r2_mean,diversity_updated_r2_std,diversity_delta_r2_mean,diversity_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se,poprisk_regions_1.0_updated_r2_mean,poprisk_regions_1.0_updated_r2_std,poprisk_regions_1.0_delta_r2_mean,poprisk_regions_1.0_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,100,500,10.0,0.09,0.12,0.09,0.13,0.0,0.0032126849276647783,0.13,0.07,0.04,0.03887180583519228,0.09,0.12,0.01,0.01575003668426063,0.05,0.15,-0.04,0.027074032043844357,0.11,0.13,0.02,0.02501315120758145,0.13,0.03,0.04,0.044592005387114456,0.07,0.22,-0.02,0.0384307170257219,0.08,0.15,-0.01,0.014715981108984885,0.16,0.04,0.07,0.036830229884340024,0.17,0.04,0.08,0.043472280951327026,0.08,0.14,-0.01,0.01113866189849072,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,200,500,10.0,0.09,0.12,0.09,0.14,0.0,0.011672524719756792,0.12,0.11,0.03,0.053233628156144554,0.15,0.04,0.07,0.03992397274821232,0.12,0.05,0.04,0.03583245580320848,0.09,0.13,-0.0,0.03711012754850981,0.08,0.08,-0.01,0.023214018992362737,0.11,0.16,0.02,0.024291218349207784,0.15,0.07,0.06,0.018350616398972057,0.15,0.04,0.06,0.038875808530355854,0.18,0.04,0.09,0.044915538637659805,0.06,0.17,-0.03,0.028267464807914183,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,300,500,10.0,0.09,0.12,0.09,0.12,0.01,0.020871378860907955,0.12,0.1,0.03,0.049092979810423674,0.15,0.03,0.06,0.03936473943913653,0.15,0.06,0.06,0.03180516467493919,0.07,0.13,-0.02,0.04656311618533374,0.09,0.07,0.0,0.028050807276955306,0.12,0.18,0.03,0.03023582496164295,0.19,0.03,0.1,0.04309558742557705,0.19,0.03,0.1,0.042653774614785145,0.18,0.04,0.09,0.04481123978547247,0.05,0.2,-0.04,0.03206370759042759,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,400,500,10.0,0.09,0.12,0.14,0.05,0.05,0.04552498020012994,0.15,0.08,0.06,0.050159512668197945,0.16,0.03,0.08,0.04056201137353357,0.15,0.07,0.06,0.031773035563019296,0.1,0.11,0.02,0.028983052710928228,0.08,0.08,-0.01,0.02759058937794229,0.14,0.06,0.05,0.030261321297436215,,,,,0.19,0.04,0.11,0.04267460603215922,0.2,0.03,0.11,0.042251986935527654,0.06,0.14,-0.03,0.02778428032779207,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,500,500,10.0,0.09,0.12,0.16,0.04,0.07,0.04245518957939326,0.17,0.03,0.08,0.04287878211371629,0.2,0.03,0.11,0.03881498693946851,0.15,0.05,0.07,0.035766104997143125,0.16,0.03,0.07,0.03825080333215964,0.02,0.17,-0.07,0.0226151414371483,0.17,0.05,0.08,0.026919758336376068,0.2,0.04,0.11,0.04723159735694834,0.2,0.03,0.12,0.043440795470514944,0.21,0.02,0.12,0.04242046165079615,0.06,0.11,-0.03,0.04351468206887827,0.2,0.03,0.11,0.044431898451450395
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,600,500,10.0,0.09,0.12,0.15,0.04,0.07,0.045115405228024805,0.17,0.06,0.09,0.04288787655684943,0.21,0.03,0.12,0.04216685375452567,0.07,0.2,-0.02,0.07102464994633906,0.11,0.11,0.02,0.03308890196626859,0.07,0.12,-0.01,0.028193680142897276,0.13,0.1,0.04,0.02767669396602291,0.22,0.02,0.13,0.04091916475741463,0.22,0.02,0.13,0.04100202284982751,0.22,0.02,0.14,0.042672075828995654,0.1,0.12,0.01,0.05227345576655305,0.22,0.03,0.13,0.0435559896378596
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,700,500,10.0,0.09,0.12,0.13,0.06,0.04,0.04950272057619101,0.19,0.05,0.1,0.04005585045352995,0.22,0.02,0.13,0.0415179935556728,0.06,0.21,-0.03,0.07426067929186272,0.11,0.11,0.02,0.062183203251896454,0.08,0.11,-0.01,0.02282219217243505,0.1,0.2,0.01,0.08024307578296777,0.22,0.02,0.14,0.04138326016908555,0.22,0.02,0.14,0.044357262339127984,0.22,0.02,0.14,0.043649466841595624,0.12,0.07,0.03,0.036739353559909024,0.22,0.03,0.13,0.042385507088049695
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,800,500,10.0,0.09,0.12,0.16,0.04,0.07,0.042993051634989676,0.18,0.06,0.09,0.04070318633446008,0.22,0.02,0.13,0.03963995753445422,0.12,0.11,0.03,0.05516267498146832,0.05,0.3,-0.04,0.0710850129539741,0.06,0.12,-0.03,0.029472978961904903,0.18,0.03,0.1,0.0463702707681453,0.23,0.02,0.14,0.04002423765669997,0.23,0.02,0.14,0.04310022492851851,0.23,0.01,0.14,0.041337211646005664,0.12,0.08,0.03,0.05198976437723102,0.22,0.03,0.13,0.04424531123934678
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,900,500,10.0,0.09,0.12,0.16,0.03,0.07,0.0462537104817909,0.2,0.05,0.11,0.03621802559193112,0.22,0.02,0.13,0.039669156224396235,0.09,0.3,-0.0,0.07161120962841254,0.16,0.06,0.07,0.03659046627500424,0.07,0.09,-0.01,0.031137934884781438,0.19,0.03,0.11,0.04209839387276748,0.22,0.04,0.13,0.046559271782201324,0.22,0.03,0.14,0.04604884556400712,0.23,0.01,0.15,0.04149753526817385,0.13,0.05,0.04,0.039505296410031455,0.23,0.01,0.14,0.044726615988444476
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,1000,500,10.0,0.09,0.12,0.15,0.05,0.06,0.04841012761350207,0.2,0.05,0.11,0.036267049017592326,0.23,0.02,0.14,0.04095359446983866,0.16,0.04,0.07,0.03889124565874548,0.17,0.05,0.09,0.03068958636265909,0.06,0.12,-0.03,0.03195966277113143,0.19,0.03,0.11,0.031448301314308785,0.23,0.02,0.14,0.042141301989062144,0.24,0.01,0.15,0.042470759091141494,0.23,0.01,0.15,0.04252392842728537,0.13,0.05,0.04,0.03165280117497063,0.23,0.02,0.15,0.044950691009396304
