dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,100,200,0.0,0.33,0.12,0.35,0.11,0.02,0.006422195886143617,0.4,0.09,0.07,0.028061592969751376,0.31,0.11,-0.02,0.012676497939099743,0.44,0.05,0.11,0.036877074178952966,0.4,0.09,0.06,0.017948080677331488
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,500,200,0.0,0.33,0.12,0.43,0.05,0.1,0.03486471855615644,0.5,0.03,0.17,0.04722301981025778,0.39,0.04,0.06,0.040315289903459686,0.49,0.04,0.15,0.05502856167482483,0.51,0.02,0.18,0.05655909299131306
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,1000,200,0.0,0.33,0.12,0.48,0.03,0.15,0.045579278186474156,0.55,0.01,0.21,0.05127084356629994,0.42,0.04,0.08,0.04026329594059581,0.56,0.01,0.22,0.05410237148221876,0.57,0.01,0.24,0.0592720170063412
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_11,100,200,1.0,0.33,0.12,0.35,0.11,0.01,0.006369191471450675,0.4,0.09,0.07,0.026636377381318195,0.35,0.09,0.02,0.04511866132765909,0.43,0.05,0.1,0.034496875220808035,0.36,0.11,0.03,0.017255648350612624
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_11,500,200,1.0,0.33,0.12,0.42,0.07,0.09,0.028050265595890522,0.48,0.04,0.15,0.04205140425717076,0.43,0.05,0.09,0.039073233805253425,0.49,0.05,0.16,0.05809423895706009,0.44,0.04,0.11,0.05133641397682545
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_11,1000,200,1.0,0.33,0.12,0.47,0.03,0.14,0.046701145596227074,0.54,0.02,0.21,0.05260822179089499,0.46,0.03,0.13,0.04987300472199364,0.55,0.02,0.22,0.05330084989941528,0.47,0.03,0.14,0.05388635819945527
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_15,100,200,5.0,0.33,0.12,0.34,0.11,0.0,0.007098070160261871,0.39,0.08,0.06,0.028161178952593582,0.35,0.09,0.02,0.04511866132765909,0.42,0.05,0.08,0.05392710450228158,0.36,0.11,0.03,0.017255648350612624
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_15,500,200,5.0,0.33,0.12,0.4,0.08,0.07,0.020579956268175104,0.47,0.03,0.14,0.052684096272025006,0.43,0.05,0.09,0.039073233805253425,0.51,0.02,0.18,0.04830154862941766,0.44,0.04,0.11,0.05133641397682545
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_15,1000,200,5.0,0.33,0.12,0.46,0.04,0.12,0.03907156766755079,0.52,0.03,0.19,0.045829204662529315,0.46,0.03,0.13,0.04987300472199364,0.55,0.02,0.22,0.05897814340923255,0.47,0.03,0.14,0.05388635819945527
USAVARS_POP,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,50,200,10.0,0.33,0.12,0.3,0.12,-0.03,0.03696273258296795,0.33,0.11,-0.0,0.026319088130100553,0.34,0.09,0.0,0.03523738923359675,0.37,0.08,0.04,0.019452943222042256,0.32,0.13,-0.02,0.012986046357533155
