dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,poprisk_nlcd_1.0_delta_r2_mean,poprisk_nlcd_1.0_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_10,100,100,0.0,0.5,0.13,0.53,0.11,0.03,0.05963213395477307,0.68,0.08,0.18,0.07228808062191165,0.48,0.09,-0.01,0.058711307258483,0.72,0.06,0.22,0.07443186414433002,0.7,0.04,0.2,0.07936555676110386,0.5,0.16,0.0,0.021542734273995952
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_10,500,100,0.0,0.5,0.13,0.68,0.08,0.18,0.04346359856247523,0.78,0.02,0.28,0.0625066828427169,0.51,0.05,0.01,0.04883052938480188,0.8,0.0,0.3,0.0638563262331932,0.81,0.0,0.31,0.06577724986650019,0.78,0.02,0.28,0.06477776933485746
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_10,1000,100,0.0,0.5,0.13,0.75,0.02,0.25,0.056841064381307975,0.83,0.01,0.33,0.06522473917157508,0.7,0.02,0.21,0.05841971071479215,0.84,0.01,0.34,0.06533845269058641,0.84,0.01,0.34,0.06366502493520285,0.83,0.01,0.33,0.06503179991358074
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_11,100,100,1.0,0.5,0.13,0.53,0.13,0.04,0.05196755333859774,0.67,0.08,0.17,0.06475282696531479,0.65,0.02,0.16,0.05434529786467271,0.74,0.02,0.24,0.06043162582621783,0.72,0.05,0.23,0.06440404490402755,0.61,0.08,0.11,0.04562792346798175
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_11,500,100,1.0,0.5,0.13,0.7,0.06,0.2,0.06143580877631545,0.77,0.02,0.27,0.06401452647641784,0.73,0.02,0.24,0.060378883726017976,0.79,0.01,0.29,0.061175300571390735,0.8,0.01,0.3,0.06877594492262538,0.76,0.01,0.26,0.06263879468827604
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_11,1000,100,1.0,0.5,0.13,0.75,0.02,0.25,0.055516237264425616,0.82,0.01,0.33,0.06569504090873222,0.78,0.01,0.28,0.06154712016008548,0.83,0.0,0.33,0.06738709520375542,0.83,0.01,0.33,0.06346834171459027,0.79,0.01,0.3,0.06608755253449775
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_15,100,100,5.0,0.5,0.13,0.54,0.12,0.04,0.04757831859156016,0.62,0.1,0.12,0.05511819118947936,0.65,0.02,0.16,0.05434529786467271,0.68,0.05,0.18,0.04994093511339169,0.71,0.03,0.21,0.05381491057318594,0.61,0.08,0.11,0.04562792346798175
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_15,500,100,5.0,0.5,0.13,0.69,0.07,0.2,0.05782506722866821,0.74,0.02,0.24,0.06939033794412591,0.73,0.02,0.24,0.060378883726017976,0.78,0.01,0.29,0.06433328531949849,0.79,0.01,0.3,0.06178972891994266,0.76,0.01,0.26,0.06263879468827604
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_15,1000,100,5.0,0.5,0.13,0.73,0.02,0.24,0.06241492129290878,0.8,0.01,0.3,0.06574402330250256,0.78,0.01,0.28,0.06154712016008548,0.83,0.01,0.33,0.06796080929476929,0.82,0.01,0.33,0.06194022602477327,0.79,0.01,0.3,0.06608755253449775
USAVARS_TC,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,50,100,10.0,0.5,0.13,0.52,0.1,0.02,0.04576022945746667,0.56,0.11,0.06,0.021507710245398035,0.61,0.08,0.11,0.04417116027455018,0.67,0.06,0.18,0.03524301916692154,0.63,0.09,0.14,0.06427703322338392,0.58,0.12,0.09,0.054302375638640335
