dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_se,poprisk_urban_rural_0.5_delta_r2_mean,poprisk_urban_rural_0.5_delta_r2_se,poprisk_states_0.5_updated_r2_mean,poprisk_states_0.5_updated_r2_std,poprisk_states_0.5_updated_r2_se,poprisk_states_0.5_delta_r2_mean,poprisk_states_0.5_delta_r2_se
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,100,1000,10.0,-0.71,0.0,0.0,-0.7,0.02,0.009537169391386513,0.01,0.009537169391386513,-0.57,0.27,0.13288611665633096,0.14,0.13288611665633093,-1.13,0.89,0.44450389807064683,-0.42,0.4445038980706469
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,200,1000,10.0,-0.71,0.0,0.0,-0.69,0.02,0.011916903960341372,0.02,0.01191690396034137,-0.15,0.16,0.07770809481643466,0.55,0.07770809481643466,-0.72,0.55,0.2727675739526236,-0.02,0.2727675739526236
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,300,1000,10.0,-0.71,0.0,0.0,-0.68,0.03,0.013648611651006863,0.03,0.013648611651006863,-0.12,0.17,0.08263269570817594,0.59,0.08263269570817595,-0.53,0.48,0.2383152311540326,0.17,0.2383152311540326
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,400,1000,10.0,-0.71,0.0,0.0,-0.58,0.28,0.13900896014286274,0.12,0.1390089601428627,-0.37,0.35,0.1773999960541149,0.34,0.1773999960541149,-0.94,0.71,0.3549284792743461,-0.23,0.3549284792743462
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,500,1000,10.0,-0.71,0.0,0.0,-0.54,0.26,0.1313725869426343,0.17,0.1313725869426343,-0.02,0.1,0.051512051017213435,0.68,0.05151205101721343,-0.7,0.62,0.3118906234563649,0.0,0.3118906234563649
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,600,1000,10.0,-0.71,0.0,0.0,-0.52,0.25,0.1258556180708672,0.18,0.12585561807086723,0.08,0.09,0.045602221437118604,0.79,0.0456022214371186,-0.95,1.23,0.6149046402492014,-0.25,0.6149046402492014
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,700,1000,10.0,-0.71,0.0,0.0,-0.56,0.27,0.13589162078656652,0.14,0.13589162078656652,-0.01,0.12,0.06062235066376097,0.7,0.06062235066376098,0.01,0.27,0.1351564515663237,0.71,0.13515645156632367
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,800,1000,10.0,-0.71,0.0,0.0,-0.58,0.29,0.14725289470838934,0.12,0.14725289470838934,0.16,0.05,0.022718406634269047,0.87,0.022718406634269054,0.07,0.37,0.18582889818324813,0.77,0.18582889818324813
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,900,1000,10.0,-0.71,0.0,0.0,-0.53,0.24,0.11807848915022581,0.18,0.11807848915022584,0.07,0.1,0.05067456363896979,0.77,0.05067456363896979,-0.34,0.37,0.18304503161790545,0.37,0.18304503161790545
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,1000,1000,10.0,-0.71,0.0,0.0,-0.51,0.24,0.12112810821605362,0.2,0.12112810821605362,-0.24,0.36,0.17795345908410998,0.47,0.17795345908410998,-0.38,0.75,0.37712104820601033,0.32,0.37712104820601033
INDIA_SECC,10_state_district_desired_20ppc_1000_size,cluster_based_c1_20_c2_30,2000,1000,10.0,-0.71,0.0,0.0,-0.32,0.29,0.14385491093459407,0.38,0.14385491093459407,0.11,0.08,0.04229240593770943,0.82,0.042292405937709436,0.22,0.1,0.050307162511912744,0.92,0.05030716251191276
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,100,2000,10.0,0.11,0.0,6.938893903907228e-18,0.11,0.0,0.001999349894340658,0.0,0.001999349894340658,0.09,0.07,0.03742435837793348,-0.02,0.03742435837793348,0.13,0.07,0.035832284325730615,0.02,0.035832284325730615
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,200,2000,10.0,0.11,0.0,6.938893903907228e-18,0.12,0.0,0.0016195678435928502,0.0,0.0016195678435928502,0.15,0.02,0.01007854156115854,0.04,0.01007854156115854,0.12,0.06,0.03039337756814796,0.01,0.03039337756814796
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,300,2000,10.0,0.11,0.0,6.938893903907228e-18,0.12,0.0,0.0019417517864031967,0.0,0.0019417517864031967,0.14,0.06,0.031074095320700813,0.03,0.031074095320700813,0.12,0.1,0.04880404286532008,0.01,0.048804042865320085
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,400,2000,10.0,0.11,0.0,6.938893903907228e-18,0.12,0.0,0.0022071248265560337,0.0,0.0022071248265560337,0.18,0.02,0.012251775381551845,0.07,0.012251775381551845,0.12,0.07,0.033864001535553946,0.01,0.033864001535553946
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,500,2000,10.0,0.11,0.0,6.938893903907228e-18,0.12,0.01,0.005576970503777116,0.01,0.005576970503777116,0.17,0.03,0.01539851940934582,0.06,0.015398519409345822,0.19,0.08,0.03971555614617526,0.08,0.039715556146175265
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,600,2000,10.0,0.11,0.0,6.938893903907228e-18,0.13,0.01,0.0048057673684854954,0.02,0.0048057673684854954,0.18,0.04,0.018364460242544563,0.06,0.018364460242544567,0.12,0.04,0.020819980787695265,0.0,0.020819980787695265
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,700,2000,10.0,0.11,0.0,6.938893903907228e-18,0.13,0.01,0.004066693988979255,0.02,0.004066693988979254,0.17,0.03,0.015288472781805253,0.06,0.01528847278180525,0.29,0.03,0.012716784184690721,0.17,0.012716784184690723
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,800,2000,10.0,0.11,0.0,6.938893903907228e-18,0.12,0.03,0.01525376674792164,0.01,0.01525376674792164,0.17,0.07,0.03577527637908615,0.05,0.03577527637908615,0.26,0.05,0.025368996826835702,0.14,0.025368996826835705
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,900,2000,10.0,0.11,0.0,6.938893903907228e-18,0.14,0.01,0.006384559499292023,0.03,0.006384559499292023,0.19,0.03,0.013318310703689114,0.07,0.013318310703689112,0.25,0.05,0.025535418539745926,0.13,0.025535418539745926
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1000,2000,10.0,0.11,0.0,6.938893903907228e-18,0.14,0.01,0.006570205476238927,0.03,0.006570205476238926,0.2,0.04,0.02226631087540098,0.08,0.02226631087540098,0.25,0.1,0.04913744600607564,0.13,0.04913744600607564
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2000,2000,10.0,0.11,0.0,6.938893903907228e-18,0.12,0.05,0.02649615821208803,0.01,0.026496158212088027,0.28,0.01,0.00609233945213167,0.17,0.00609233945213167,0.33,0.01,0.007387990254460271,0.22,0.007387990254460271
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,100,3000,10.0,0.22,0.0,0.0,0.22,0.0,0.00067498148122745,-0.0,0.00067498148122745,0.23,0.01,0.0037803438997001328,0.01,0.0037803438997001328,0.24,0.02,0.007708216395509405,0.02,0.007708216395509405
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,200,3000,10.0,0.22,0.0,0.0,0.22,0.01,0.0037430736033372347,0.0,0.0037430736033372347,0.23,0.01,0.006186711565929028,0.01,0.006186711565929028,0.25,0.02,0.011278492807108579,0.03,0.011278492807108577
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,300,3000,10.0,0.22,0.0,0.0,0.22,0.01,0.004906465122672328,-0.0,0.0049064651226723285,0.23,0.02,0.009869822693442878,0.01,0.009869822693442878,0.24,0.03,0.01647181228644863,0.02,0.01647181228644863
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,400,3000,10.0,0.22,0.0,0.0,0.22,0.01,0.004990891703894205,0.0,0.004990891703894204,0.24,0.04,0.01959817338427232,0.02,0.019598173384272322,0.23,0.03,0.014469844505038744,0.01,0.014469844505038748
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,500,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.00402894527140789,0.01,0.00402894527140789,0.27,0.02,0.0076650244618004975,0.05,0.007665024461800496,0.27,0.04,0.018834399379858122,0.06,0.018834399379858122
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,600,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.004623634933685832,0.01,0.004623634933685832,0.27,0.01,0.004558881441757397,0.05,0.004558881441757397,0.28,0.03,0.015809237805789366,0.06,0.01580923780578937
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,700,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.004129576249447394,0.01,0.004129576249447394,0.28,0.01,0.007458109680073089,0.06,0.007458109680073089,0.31,0.02,0.009418311950662922,0.09,0.009418311950662922
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,800,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.006893301095991672,0.01,0.006893301095991672,0.26,0.01,0.006294203682754476,0.04,0.006294203682754476,0.3,0.03,0.017454838870639856,0.08,0.017454838870639856
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,900,3000,10.0,0.22,0.0,0.0,0.23,0.02,0.0075897562543206926,0.01,0.0075897562543206926,0.26,0.02,0.011447052022245729,0.04,0.011447052022245729,0.3,0.02,0.009662018422669245,0.08,0.009662018422669245
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1000,3000,10.0,0.22,0.0,0.0,0.23,0.02,0.007578390330406585,0.01,0.007578390330406585,0.26,0.02,0.011171409937872656,0.04,0.011171409937872656,0.32,0.02,0.008502093859750082,0.1,0.008502093859750082
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2000,3000,10.0,0.22,0.0,0.0,0.24,0.01,0.005688497165332858,0.02,0.0056884971653328575,0.3,0.01,0.00484922674248173,0.08,0.00484922674248173,0.36,0.01,0.006158165311194561,0.14,0.006158165311194561
INDIA_SECC,10_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,100,4000,10.0,0.22,0.0,1.3877787807814457e-17,0.22,0.0,0.0008992218858546547,0.0,0.0008992218858546547,0.23,0.0,0.0012720062892926246,0.01,0.0012720062892926248,0.25,0.01,0.007179136438319027,0.02,0.007179136438319025
INDIA_SECC,10_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,200,4000,10.0,0.22,0.0,1.3877787807814457e-17,0.23,0.0,0.0023896861718644183,0.0,0.0023896861718644183,0.24,0.01,0.005624233281079298,0.01,0.005624233281079298,0.25,0.02,0.007953024581880784,0.03,0.007953024581880784
INDIA_SECC,10_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,300,4000,10.0,0.22,0.0,1.3877787807814457e-17,0.23,0.01,0.003662976931404293,0.0,0.003662976931404293,0.26,0.01,0.00452232241221255,0.04,0.00452232241221255,0.26,0.03,0.013165462392183575,0.04,0.013165462392183577
INDIA_SECC,10_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,400,4000,10.0,0.22,0.0,1.3877787807814457e-17,0.23,0.01,0.004242216401835248,0.01,0.004242216401835248,0.27,0.02,0.0077088261103750375,0.04,0.0077088261103750375,0.25,0.02,0.007934885002317295,0.03,0.007934885002317295
