dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_se,poprisk_urban_rural_0.5_delta_r2_mean,poprisk_urban_rural_0.5_delta_r2_se,poprisk_states_0.5_updated_r2_mean,poprisk_states_0.5_updated_r2_std,poprisk_states_0.5_updated_r2_se,poprisk_states_0.5_delta_r2_mean,poprisk_states_0.5_delta_r2_se
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,100,3000,10.0,0.22,0.0,0.0,0.22,0.0,0.00067498148122745,-0.0,0.00067498148122745,0.23,0.01,0.0037803438997001328,0.01,0.0037803438997001328,0.24,0.02,0.007708216395509405,0.02,0.007708216395509405
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,200,3000,10.0,0.22,0.0,0.0,0.22,0.01,0.0037430736033372347,0.0,0.0037430736033372347,0.23,0.01,0.006186711565929028,0.01,0.006186711565929028,0.25,0.02,0.011278492807108579,0.03,0.011278492807108577
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,300,3000,10.0,0.22,0.0,0.0,0.22,0.01,0.004906465122672328,-0.0,0.0049064651226723285,0.23,0.02,0.009869822693442878,0.01,0.009869822693442878,0.24,0.03,0.01647181228644863,0.02,0.01647181228644863
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,400,3000,10.0,0.22,0.0,0.0,0.22,0.01,0.004990891703894205,0.0,0.004990891703894204,0.24,0.04,0.01959817338427232,0.02,0.019598173384272322,0.23,0.03,0.014469844505038744,0.01,0.014469844505038748
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,500,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.00402894527140789,0.01,0.00402894527140789,0.27,0.02,0.0076650244618004975,0.05,0.007665024461800496,0.27,0.04,0.018834399379858122,0.06,0.018834399379858122
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,600,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.004623634933685832,0.01,0.004623634933685832,0.27,0.01,0.004558881441757397,0.05,0.004558881441757397,0.28,0.03,0.015809237805789366,0.06,0.01580923780578937
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,700,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.004129576249447394,0.01,0.004129576249447394,0.28,0.01,0.007458109680073089,0.06,0.007458109680073089,0.31,0.02,0.009418311950662922,0.09,0.009418311950662922
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,800,3000,10.0,0.22,0.0,0.0,0.23,0.01,0.006893301095991672,0.01,0.006893301095991672,0.26,0.01,0.006294203682754476,0.04,0.006294203682754476,0.3,0.03,0.017454838870639856,0.08,0.017454838870639856
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,900,3000,10.0,0.22,0.0,0.0,0.23,0.02,0.0075897562543206926,0.01,0.0075897562543206926,0.26,0.02,0.011447052022245729,0.04,0.011447052022245729,0.3,0.02,0.009662018422669245,0.08,0.009662018422669245
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,1000,3000,10.0,0.22,0.0,0.0,0.23,0.02,0.007578390330406585,0.01,0.007578390330406585,0.26,0.02,0.011171409937872656,0.04,0.011171409937872656,0.32,0.02,0.008502093859750082,0.1,0.008502093859750082
INDIA_SECC,10_state_district_desired_20ppc_3000_size,cluster_based_c1_20_c2_30,2000,3000,10.0,0.22,0.0,0.0,0.24,0.01,0.005688497165332858,0.02,0.0056884971653328575,0.3,0.01,0.00484922674248173,0.08,0.00484922674248173,0.36,0.01,0.006158165311194561,0.14,0.006158165311194561
