dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,100,10.0,0.17,0.0,0.17,0.0,0.0,0.0009843779761859784,0.15,0.02,-0.02,0.011824144789370605
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,200,10.0,0.17,0.0,0.17,0.01,0.0,0.00279320604324135,0.16,0.03,-0.01,0.01602561699280249
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,300,10.0,0.17,0.0,0.17,0.01,0.0,0.004428995371413247,0.19,0.02,0.02,0.008977338135549979
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,400,10.0,0.17,0.0,0.16,0.02,-0.01,0.010500695215079807,0.18,0.01,0.01,0.003985649257021997
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,500,10.0,0.17,0.0,0.18,0.01,0.0,0.004799020733441354,0.2,0.04,0.03,0.020833650664249893
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,600,10.0,0.17,0.0,0.17,0.02,-0.0,0.009406752893533451,0.2,0.03,0.03,0.01562104349907521
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,700,10.0,0.17,0.0,0.17,0.02,0.0,0.010819306816982314,0.22,0.01,0.05,0.004127638550067096
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,800,10.0,0.17,0.0,0.18,0.02,0.0,0.010557395512151659,0.23,0.01,0.06,0.0037265802017399296
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,900,10.0,0.17,0.0,0.18,0.02,0.01,0.010405959830789279,0.21,0.05,0.04,0.02390067781465622
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,1000,10.0,0.17,0.0,0.15,0.02,-0.02,0.009968420135608249,0.23,0.01,0.06,0.006458591177648573
