dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,100,500,10.0,0.5,0.0,0.5,0.01,0.0,0.0027009998148833673,0.49,0.01,-0.01,0.0027554672924932416
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,200,500,10.0,0.5,0.0,0.5,0.0,0.0,0.0024795967414077582,0.5,0.01,-0.0,0.003804812741778494
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,300,500,10.0,0.5,0.0,0.5,0.01,-0.0,0.0036811682928113956,0.49,0.02,-0.0,0.012416263528131154
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,400,500,10.0,0.5,0.0,0.5,0.01,-0.0,0.005998949908108919,0.49,0.02,-0.01,0.00891080243300231
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,500,500,10.0,0.5,0.0,0.51,0.01,0.01,0.005725382083319854,0.49,0.02,-0.0,0.00804795626230661
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,600,500,10.0,0.5,0.0,0.51,0.01,0.01,0.0060965564050535935,0.49,0.03,-0.0,0.013265541828361182
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,700,500,10.0,0.5,0.0,0.51,0.01,0.01,0.006292805415710863,0.48,0.03,-0.01,0.013594741630498156
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,800,500,10.0,0.5,0.0,0.51,0.01,0.01,0.006106193577016699,0.48,0.03,-0.02,0.012997407433792327
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,900,500,10.0,0.5,0.0,0.51,0.01,0.01,0.0055683570287832695,0.53,0.01,0.03,0.0052544647681757334
USAVARS_POP,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,1000,500,10.0,0.5,0.0,0.51,0.01,0.01,0.006245958693427299,0.5,0.03,0.0,0.014920857884183479
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,100,600,10.0,0.5,0.0,0.5,0.01,0.0,0.005978678783811681,0.49,0.02,-0.0,0.008775135326591833
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,200,600,10.0,0.5,0.0,0.49,0.03,-0.01,0.016350736986448032,0.5,0.01,0.0,0.0029287198568657942
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,300,600,10.0,0.5,0.0,0.51,0.01,0.01,0.005177509053589382,0.5,0.01,0.0,0.004845472113220758
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,400,600,10.0,0.5,0.0,0.51,0.01,0.01,0.006149097494754815,0.49,0.01,-0.0,0.003926652518367272
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,500,600,10.0,0.5,0.0,0.52,0.01,0.02,0.005182528340491738,0.49,0.02,-0.0,0.009266898078645301
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,600,600,10.0,0.5,0.0,0.52,0.01,0.02,0.005620462614411736,0.5,0.02,-0.0,0.008999688883511478
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,700,600,10.0,0.5,0.0,0.52,0.01,0.02,0.0055677284416537414,0.5,0.03,0.0,0.015394836796796516
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,800,600,10.0,0.5,0.0,0.52,0.01,0.02,0.005230831673835436,0.5,0.01,0.0,0.0029711950457686227
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,900,600,10.0,0.5,0.0,0.52,0.01,0.03,0.004472292477018925,0.53,0.01,0.03,0.0050017396973453115
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,1000,600,10.0,0.5,0.0,0.51,0.03,0.01,0.013860180374006683,0.51,0.02,0.01,0.010075197268540196
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,100,700,10.0,0.51,0.0,0.5,0.02,-0.01,0.009287109345754468,0.51,0.02,-0.0,0.010400596136760623
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,200,700,10.0,0.51,0.0,0.52,0.01,0.0,0.0036889835998551,0.51,0.01,-0.0,0.003778571158520111
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,300,700,10.0,0.51,0.0,0.52,0.01,0.01,0.004694081379780294,0.49,0.02,-0.02,0.010818900128941024
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,400,700,10.0,0.51,0.0,0.51,0.02,-0.0,0.009508438357585336,0.49,0.01,-0.02,0.006299174549097675
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,500,700,10.0,0.51,0.0,0.5,0.02,-0.01,0.009853090885605395,0.5,0.01,-0.01,0.006592526071241585
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,600,700,10.0,0.51,0.0,0.51,0.04,0.0,0.019769562463544808,0.53,0.01,0.02,0.004481673794465627
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,700,700,10.0,0.51,0.0,0.51,0.03,-0.0,0.014274606824707988,0.5,0.03,-0.01,0.013731110661559754
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,800,700,10.0,0.51,0.0,0.51,0.02,-0.0,0.012132765554480974,0.51,0.01,0.0,0.004871303726929777
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,900,700,10.0,0.51,0.0,0.52,0.02,0.0,0.010880624982049513,0.51,0.02,-0.0,0.00778892803921053
USAVARS_POP,5_fixedstrata_10ppc_700_size,cluster_based_c1_10_c2_20,1000,700,10.0,0.51,0.0,0.51,0.04,-0.0,0.019679471537620105,0.51,0.02,-0.0,0.009781564292075171
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,100,800,10.0,0.52,0.0,0.52,0.0,-0.0,0.001524335920983311,0.52,0.01,-0.0,0.006693534193533339
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,200,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.0026064151626323767,0.52,0.01,-0.0,0.006944739015974617
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,300,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.003004063914100361,0.52,0.02,-0.0,0.008922253078679178
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,400,800,10.0,0.52,0.0,0.52,0.0,0.0,0.001267438361420396,0.53,0.02,0.0,0.007825701246533746
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,500,800,10.0,0.52,0.0,0.51,0.02,-0.02,0.01239993548370313,0.51,0.01,-0.01,0.006509039867753155
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,600,800,10.0,0.52,0.0,0.52,0.01,0.0,0.003329204109092748,0.53,0.01,0.01,0.007302766599036285
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,700,800,10.0,0.52,0.0,0.52,0.01,-0.0,0.005477864547430874,0.53,0.01,0.0,0.0057513824425089195
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,800,800,10.0,0.52,0.0,0.52,0.01,-0.01,0.0069221817369959325,0.54,0.02,0.01,0.009135173780503578
USAVARS_POP,5_fixedstrata_10ppc_800_size,cluster_based_c1_10_c2_20,900,800,10.0,0.52,0.0,0.53,0.01,0.0,0.005719318141177335,0.54,0.01,0.01,0.00544710932513752
