dataset,initial_set,cost_type,budget,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,100,10.0,0.49,0.0,0.49,0.0,-0.0,0.0013093509842666345,0.5,0.0,0.01,0.0019137920472193368
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,200,10.0,0.49,0.0,0.49,0.01,-0.0,0.0037884561499376,0.51,0.01,0.02,0.004199452345246927
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,300,10.0,0.49,0.0,0.52,0.02,0.03,0.010067293578713199,0.51,0.01,0.02,0.0026160275227910036
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,400,10.0,0.49,0.0,0.51,0.02,0.01,0.010300582507800232,0.53,0.01,0.04,0.007234403914629044
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,500,10.0,0.49,0.0,0.5,0.0,0.01,0.0016779749700159363,0.53,0.01,0.04,0.0055640452909731086
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,600,10.0,0.49,0.0,0.51,0.01,0.02,0.006787532688687398,0.53,0.01,0.03,0.004541255333054944
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,700,10.0,0.49,0.0,0.51,0.02,0.02,0.009438379098129087,0.53,0.01,0.04,0.002633552733476217
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,800,10.0,0.49,0.0,0.52,0.02,0.03,0.011742512507977157,0.54,0.01,0.05,0.006326215298264844
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,900,10.0,0.49,0.0,0.52,0.03,0.03,0.01262398510772253,0.54,0.01,0.05,0.004984034510313921
USAVARS_POP,5_fixedstrata_10ppc_1000_size,cluster_based_c1_10_c2_20,1000,10.0,0.49,0.0,0.52,0.02,0.03,0.009293567668016417,0.54,0.01,0.05,0.006264870309910662
