dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_updated_r2_se,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,100,2000,10.0,0.52,0.0,0.0,0.52,0.01,0.005898440471853547,0.0,0.005898440471853547,0.53,0.01,0.0026131590077911517,0.01,0.0026131590077911517
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,200,2000,10.0,0.52,0.0,0.0,0.54,0.01,0.005459981684950979,0.02,0.005459981684950979,0.52,0.01,0.0041614180275478165,0.01,0.0041614180275478165
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,300,2000,10.0,0.52,0.0,0.0,0.53,0.02,0.0075271109995801114,0.02,0.0075271109995801114,0.53,0.01,0.006404919983887384,0.01,0.006404919983887384
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,400,2000,10.0,0.52,0.0,0.0,0.54,0.01,0.004867545582734703,0.02,0.004867545582734703,0.51,0.02,0.009546549114732496,-0.0,0.009546549114732496
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,500,2000,10.0,0.52,0.0,0.0,0.53,0.01,0.006932849342081502,0.02,0.006932849342081502,0.49,0.02,0.00875665461235054,-0.03,0.00875665461235054
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,600,2000,10.0,0.52,0.0,0.0,0.54,0.01,0.006564327840685598,0.02,0.006564327840685598,0.52,0.02,0.011289154086998729,0.01,0.011289154086998729
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,700,2000,10.0,0.52,0.0,0.0,0.54,0.01,0.005418173123849037,0.03,0.005418173123849037,0.54,0.0,0.0023633450869477456,0.03,0.0023633450869477456
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,800,2000,10.0,0.52,0.0,0.0,0.55,0.01,0.005775586550299453,0.03,0.005775586550299453,0.53,0.01,0.007282815389669039,0.01,0.007282815389669039
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,900,2000,10.0,0.52,0.0,0.0,0.55,0.01,0.005346924349567702,0.03,0.005346924349567702,0.52,0.01,0.007410708468156065,0.01,0.007410708468156067
USAVARS_POP,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,1000,2000,10.0,0.52,0.0,0.0,0.55,0.01,0.0063161380605556705,0.03,0.0063161380605556705,0.54,0.02,0.008475352500043866,0.02,0.008475352500043866
