dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,100,500,10.0,0.74,0.0,0.0,0.75,0.01,0.0039026401320132005,0.01,0.0039026401320132005,0.8,0.01,0.003534770148114305,0.07,0.0035347701481143043
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,200,500,10.0,0.74,0.0,0.0,0.76,0.01,0.0070531836783115165,0.02,0.0070531836783115165,0.8,0.01,0.0071611032669554545,0.07,0.0071611032669554545
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,300,500,10.0,0.74,0.0,0.0,0.76,0.01,0.004225825363168708,0.03,0.004225825363168708,0.81,0.02,0.00857836814318435,0.07,0.00857836814318435
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,400,500,10.0,0.74,0.0,0.0,0.78,0.01,0.005864128238706922,0.04,0.005864128238706922,0.81,0.01,0.0034784191811798697,0.08,0.0034784191811798697
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,500,500,10.0,0.74,0.0,0.0,0.78,0.01,0.004780313797231304,0.04,0.004780313797231305,0.82,0.01,0.005141828468550843,0.08,0.005141828468550843
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,600,500,10.0,0.74,0.0,0.0,0.79,0.01,0.004945139027368177,0.05,0.004945139027368177,0.82,0.01,0.004468668705554252,0.08,0.004468668705554251
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,700,500,10.0,0.74,0.0,0.0,0.79,0.01,0.0037183867469643313,0.05,0.0037183867469643313,0.82,0.01,0.003215804720439355,0.09,0.003215804720439355
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,800,500,10.0,0.74,0.0,0.0,0.79,0.01,0.00331761962858915,0.06,0.00331761962858915,0.83,0.0,0.0022407588000496687,0.1,0.0022407588000496687
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,900,500,10.0,0.74,0.0,0.0,0.79,0.01,0.003178616051051149,0.06,0.003178616051051149,0.83,0.01,0.0030241362403172194,0.1,0.0030241362403172194
USAVARS_TC,5_fixedstrata_10ppc_500_size,cluster_based_c1_10_c2_20,1000,500,10.0,0.74,0.0,0.0,0.79,0.01,0.00283591255154316,0.06,0.00283591255154316,0.84,0.01,0.003512833614050057,0.1,0.003512833614050057
