label,Test R2
elevation;cost1091,[0.01581771432656709]
elevation;cost1092,[0.09318532090261777]
elevation;cost1093,[-0.011356184615288312]
elevation;cost1437,[0.07246334742927052]
elevation;cost1438,[0.1147382904590668]
elevation;cost1536,[0.10748676293133075]
elevation;cost1537,[0.10855911311014654]
elevation;cost1538,[0.09875679398416815]
elevation;cost1884,[0.10944200467160825]
elevation;cost1982,[0.16580247372759271]
elevation;cost1983,[0.05095059707667293]
elevation;cost2083,[0.1103044285401078]
elevation;cost2184,[0.17280043964808678]
elevation;cost2429,[0.08128205141344336]
elevation;cost2430,"[0.15244661714956087, 0.15244661714956087]"
elevation;cost2531,[0.19333413079293582]
elevation;cost2629,[-0.010490751606136772]
elevation;cost2875,"[0.2539051352249563, 0.2396647710003027]"
elevation;cost2876,"[0.2543198921676193, 0.2543198921676193]"
elevation;cost2974,[0.25458067178899324]
elevation;cost3420,[0.27936042431757535]
elevation;cost3521,[0.30543511848820004]
elevation;cost3620,[0.3096557630581188]
elevation;cost3621,[0.33067159554300474]
elevation;cost3622,[0.2978164714496443]
elevation;cost3868,[0.363046597943223]
elevation;cost3965,[0.3684509455590468]
elevation;cost3967,[0.3681575669147533]
elevation;cost3968,"[0.3558526875617908, 0.3558526875617908]"
elevation;cost4313,[0.40025608049409733]
elevation;cost4412,[0.3979191516559545]
elevation;cost445,[-0.12443963304896499]
elevation;cost446,[-0.01287785995727675]
elevation;cost4511,[0.4315937814888571]
elevation;cost4512,[0.43067080729312124]
elevation;cost4513,[0.43110714958496066]
elevation;cost4860,[0.44470258085092285]
elevation;cost4958,[0.4390510448304037]
elevation;cost5057,[0.4476184976930716]
elevation;cost5058,"[0.4456287870442276, 0.4456287870442276]"
elevation;cost544,[-0.01993661985255457]
elevation;cost545,[-0.05370743743895101]
elevation;cost546,[-0.04221744358484347]
elevation;cost991,[0.006794149852727749]
elevation;cost992,[0.07405029248976314]
population;cost1007,[0.29111947233104374]
population;cost1361,[0.3345092706023045]
population;cost1362,[0.34689339149553855]
population;cost1461,[0.4004972727534085]
population;cost1462,[0.39581521805241404]
population;cost1561,[0.3893981273665348]
population;cost1915,[0.389045958556436]
population;cost2013,"[0.39816117883351043, 0.3984716302354647, 0.4060455329047762]"
population;cost2014,[0.3980165035088705]
population;cost2367,[0.45028754460852927]
population;cost2467,[0.4488074152072675]
population;cost2469,[0.45449705816772845]
population;cost2568,[0.46104768775042937]
population;cost2569,[0.4509456872076597]
population;cost2922,[0.49370142103263825]
population;cost2923,[0.4861479549634491]
population;cost3022,[0.4960899561607134]
population;cost3023,"[0.4727301365749208, 0.4727301365749208]"
population;cost3375,[0.501426378772517]
population;cost3475,[0.5019013564568269]
population;cost3476,[0.4922104769198944]
population;cost3574,[0.4962333309960284]
population;cost3575,[0.4966425291701627]
population;cost3928,"[0.5211099854979291, 0.5211099854979291]"
population;cost3929,"[0.5219173443909468, 0.5227652927289558]"
population;cost4130,[0.5244188186944594]
population;cost4381,[0.5275686368346523]
population;cost4382,[0.5268279379174401]
population;cost4383,[0.5184660042617953]
population;cost4482,[0.5223174874231837]
population;cost453,[0.23521142999938427]
population;cost454,"[0.24620890498809778, 0.24620890498809778]"
population;cost4582,[0.5252194594716784]
population;cost4938,[0.532039201124037]
population;cost5036,"[0.5325193857493519, 0.5298830768412237, 0.5305585506668806]"
population;cost5038,[0.5319319245342458]
population;cost553,"[0.25593880376984934, 0.23917529998775922]"
population;cost906,[0.2939438402677088]
population;cost907,"[0.278424428286952, 0.278424428286952]"
population;cost908,[0.29196471332785123]
treecover;cost1091,[0.612807095352166]
treecover;cost1092,[0.6201957330954516]
treecover;cost1093,[0.6323021761623442]
treecover;cost1437,[0.6331139078782773]
treecover;cost1438,[0.5818412898813565]
treecover;cost1536,[0.5865293217939552]
treecover;cost1537,[0.6020310059541099]
treecover;cost1538,[0.5874748315825726]
treecover;cost1884,[0.6431011190022053]
treecover;cost1982,[0.6536045312395136]
treecover;cost1983,[0.6352323603914188]
treecover;cost2083,[0.6583444529808098]
treecover;cost2184,[0.6439426123571974]
treecover;cost2429,[0.6714695332429865]
treecover;cost2430,"[0.6741797263726739, 0.6741797263726739]"
treecover;cost2531,[0.6909784516498818]
treecover;cost2629,[0.6807428844020439]
treecover;cost2875,"[0.7228167277392402, 0.7238486370171653]"
treecover;cost2876,"[0.7242365498221952, 0.7242365498221952]"
treecover;cost2974,[0.722861379287876]
treecover;cost3420,[0.72862589010038]
treecover;cost3521,[0.7320563302479317]
treecover;cost3620,[0.7333897420727162]
treecover;cost3621,[0.7332148367687525]
treecover;cost3622,[0.733425960725921]
treecover;cost3868,[0.7421514594304753]
treecover;cost3965,[0.7323286235723396]
treecover;cost3967,[0.7356379644578313]
treecover;cost3968,"[0.7399085384574318, 0.7399085384574318]"
treecover;cost4313,[0.765323786783149]
treecover;cost4412,[0.7652816099978471]
treecover;cost445,[0.5033521339400853]
treecover;cost446,[0.5665662055377512]
treecover;cost4511,[0.7697291169004042]
treecover;cost4512,[0.7654166242242778]
treecover;cost4513,[0.7646725669712352]
treecover;cost4860,[0.7705496008015554]
treecover;cost4958,[0.7675476760354194]
treecover;cost5057,[0.7688730016592614]
treecover;cost5058,"[0.7660375906269463, 0.7660375906269463]"
treecover;cost544,[0.4351983453661842]
treecover;cost545,[0.49081652273894716]
treecover;cost546,[0.5649913301062928]
treecover;cost991,[0.6066111026045984]
treecover;cost992,[0.6177799508291797]
