label,Test R2,Cost
population;size270,[0.45186604 0.39564876 0.48956092 0.41226002 0.56980899],242737.9443435669
population;size540,[0.63641158 0.66721478 0.68329124 0.70518018 0.6535796 ],470153.1061859131
population;size2715,[0.81006812 0.80945429 0.80716483 0.78026578 0.75544106],2251614.8203659058
population;size5430,[0.799612   0.80115124 0.78430531 0.80249399 0.81737393],4446908.2437057495
population;size10865,[0.79166749 0.78711348 0.81243598 0.78915014 0.80636556],8927109.764266968
population;size19020,[0.76893323 0.78839557 0.78114842 0.77264208 0.77580677],15683330.267456055
population;size27170,[0.75795844 0.74616485 0.77044432 0.76607553 0.77349529],22506470.350578308
population;size40755,[0.74225299 0.72969726 0.7459318  0.75549327 0.73998158],33427082.587478638
population;sizeNone,[0.72858888 0.74123287 0.7429182  0.73173096 0.7410526 ],"[ 641.96838379  593.79180908  990.78173828 ...  451.93414307  693.37310791
 1088.53857422]"
treecover;size485,[0.55123168 0.72803352 0.54561472 0.55622603 0.66090892],408164.9173812866
treecover;size975,[0.88432687 0.85246663 0.88162812 0.81412961 0.86196608],816836.6123962402
treecover;size4890,[0.92047607 0.92521602 0.92442073 0.91950418 0.91504452],4148771.0902252197
treecover;size9785,[0.93313904 0.92301858 0.9235996  0.92506573 0.92117364],8298940.539108276
treecover;size19575,[0.9314396  0.92905587 0.92781817 0.92773408 0.92916026],16753440.913642883
treecover;size34255,[0.9314775  0.92980433 0.92682892 0.93444118 0.93035092],29525950.774246216
treecover;size48935,[0.92752682 0.92770275 0.92824107 0.92957088 0.9303005 ],41907688.929870605
treecover;size73405,[0.92765893 0.9279612  0.92611922 0.92834867 0.92790915],63292495.508636475
treecover;sizeNone,[0.92718217 0.92698796 0.92736765 0.92802512 0.92802298],"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
elevation;size485,[0.10524743 0.45168099 0.16358462 0.14508252 0.09745156],408164.9173812866
elevation;size975,[0.33978351 0.52378036 0.4828067  0.45313269 0.25480659],816836.6123962402
elevation;size4890,[0.72070573 0.74864804 0.71853646 0.74911788 0.72072265],4148771.0902252197
elevation;size9785,[0.78494547 0.80814562 0.78477549 0.78952568 0.79877796],8298940.539108276
elevation;size19575,[0.81778029 0.80634247 0.8121264  0.81011139 0.81926381],16753440.913642883
elevation;size34255,[0.82391393 0.82256653 0.81484297 0.82439983 0.82912927],29525950.774246216
elevation;size48935,[0.81710892 0.82671179 0.82963539 0.82601057 0.82452228],41907688.929870605
elevation;size73405,[0.80209494 0.80993473 0.81570948 0.81806118 0.81330969],63292495.508636475
elevation;sizeNone,[0.79375339 0.80596698 0.7998717  0.80230594 0.79510492],"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
