label,Test R2,Cost
population;size270,[0.3625171  0.31854281 0.65466262 0.67454913 0.47633997],217667.7512664795
population;size540,[0.61381966 0.67757082 0.547822   0.65183557 0.68908202],444248.0317687988
population;size2715,[0.66737303 0.73125079 0.67022474 0.63489895 0.64952693],2279917.1727905273
population;size5430,[0.67329065 0.65003965 0.70651331 0.70961403 0.67033796],4561437.3785095215
population;size10865,[0.71533637 0.71332689 0.71907751 0.74210329 0.70506   ],9145102.867378235
population;size19020,[0.71395789 0.73784859 0.70882704 0.70005495 0.71814633],16022593.028213501
population;size27170,[0.72499284 0.72648338 0.7236911  0.72022682 0.7345568 ],22798583.33654785
population;size40755,[0.72790256 0.73179019 0.73634859 0.73354859 0.73009025],34234562.58956909
population;sizeNone,[0.72858888 0.74123287 0.7429182  0.73173096 0.7410526 ],"[ 641.96838379  593.79180908  990.78173828 ...  451.93414307  693.37310791
 1088.53857422]"
treecover;size485,[0.75223494 0.78793503 0.86041796 0.80409821 0.84352143],421824.9410934448
treecover;size975,[0.86502255 0.83134658 0.83586615 0.87125156 0.84640785],839135.4616851807
treecover;size4890,[0.90910614 0.89840739 0.90393435 0.89617748 0.90345756],4169412.527633667
treecover;size9785,[0.90206977 0.90926684 0.90676329 0.91228605 0.9068023 ],8467172.597709656
treecover;size19575,[0.91760311 0.92043469 0.91280298 0.91109153 0.91654573],17038574.681930542
treecover;size34255,[0.91872558 0.91788044 0.92009934 0.91987934 0.92258445],29740244.671844482
treecover;size48935,[0.92332761 0.92352097 0.92308249 0.92840978 0.92392821],42406189.9981308
treecover;size73405,[0.92790815 0.92803888 0.92678872 0.92500194 0.92732384],63739395.672325134
treecover;sizeNone,[0.92718217 0.92698796 0.92736765 0.92802512 0.92802298],"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
elevation;size485,[0.73286523 0.49251749 0.54029492 0.55873141 0.63517432],436256.0323486328
elevation;size975,[0.53739036 0.56637566 0.59049374 0.53145424 0.55059297],853722.447265625
elevation;size4890,[0.69627437 0.72262697 0.68167755 0.73349233 0.69098375],4201097.710205078
elevation;size9785,[0.72729854 0.72672292 0.72949703 0.72498634 0.74691843],8541496.480491638
elevation;size19575,[0.76429972 0.76040364 0.77131781 0.7557871  0.7591972 ],16928757.095458984
elevation;size34255,[0.78342674 0.78028339 0.7772664  0.78400547 0.78038718],29792161.274917603
elevation;size48935,[0.79464683 0.79306143 0.78922412 0.79966707 0.79885168],42531157.535835266
elevation;size73405,[0.80101886 0.79680141 0.79820563 0.79743814 0.79573965],63724615.976257324
elevation;sizeNone,[0.79375339 0.80596698 0.7998717  0.80230594 0.79510492],"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
