label,Test R2
elevation;cost1005,[0.4594812025807743]
elevation;cost1015,[0.46006293222533134]
elevation;cost1490,[0.4774651875267836]
elevation;cost1496,[0.47825640273475745]
elevation;cost1497,[0.48065713595868476]
elevation;cost1499,[0.4740024544393955]
elevation;cost1508,[0.4740626645602196]
elevation;cost1991,[0.4990726511004535]
elevation;cost1992,[0.49982297904976114]
elevation;cost2003,[0.5006759822176138]
elevation;cost2011,"[0.5014642553391847, 0.5014642553391847]"
elevation;cost2485,[0.5190050644115636]
elevation;cost2495,"[0.5194985824002654, 0.5185424007328051]"
elevation;cost2503,[0.5205579513097476]
elevation;cost2515,[0.5188206279301493]
elevation;cost2987,[0.5272994571972698]
elevation;cost2998,[0.5296390588454004]
elevation;cost2999,"[0.5287870209160404, 0.5289449867234735]"
elevation;cost3009,[0.529346162738092]
elevation;cost3481,[0.536577179245327]
elevation;cost3492,[0.5364625728413088]
elevation;cost3500,[0.5372502846617965]
elevation;cost3501,[0.5351299689457969]
elevation;cost3511,[0.5362464557591904]
elevation;cost3982,[0.537284577359946]
elevation;cost3990,[0.5353661946843182]
elevation;cost3992,[0.5366835552426692]
elevation;cost4002,"[0.5368883933459427, 0.5380508007509347]"
elevation;cost4493,"[0.5418228719088374, 0.5417195814197298, 0.5417195814197298]"
elevation;cost4503,"[0.541717946637186, 0.541717946637186]"
elevation;cost482,[0.21521959515295797]
elevation;cost483,[0.14807174415381896]
elevation;cost493,"[0.2347563315709401, 0.2347563315709401, 0.17029715787409527]"
elevation;cost4989,[0.5580344133021478]
elevation;cost4999,"[0.56241625150668, 0.5623226231309268]"
elevation;cost5000,[0.5630278143084594]
elevation;cost5020,[0.5644496322594712]
elevation;cost996,"[0.45651370313466133, 0.45701536069306026]"
elevation;cost998,[0.45440111742261213]
population;cost1005,[0.5322629436144615]
population;cost1006,[0.5324251588279603]
population;cost1015,"[0.5317936188077886, 0.5317936188077886]"
population;cost1483,[0.5486681557794622]
population;cost1493,[0.5507669549765946]
population;cost1502,[0.5522928225020108]
population;cost1503,"[0.5520938305945962, 0.5520938305945962]"
population;cost1998,[0.5604691668748538]
population;cost1999,"[0.5586431927763896, 0.5601585725634911]"
population;cost2007,[0.5585876662256424]
population;cost2009,[0.5600773960785986]
population;cost2494,[0.5776943257242395]
population;cost2497,"[0.5764252582465115, 0.5764252582465115]"
population;cost2505,[0.5745912712033383]
population;cost2506,[0.5808574165766784]
population;cost2984,[0.5793985990371477]
population;cost2996,[0.581965451751321]
population;cost3003,"[0.5796926888519589, 0.5801020060307982]"
population;cost3004,[0.5794144749256479]
population;cost3500,[0.5809468318910049]
population;cost3501,"[0.5827841250447162, 0.5828553359867596]"
population;cost3509,[0.5845821687055124]
population;cost3510,[0.5809566939032412]
population;cost3999,"[0.5928448313422356, 0.5927292369751255]"
population;cost4000,[0.5855206816771611]
population;cost4007,[0.5947394494559337]
population;cost4009,[0.5881575020311112]
population;cost4484,[0.5972927422638441]
population;cost4485,[0.5964085005264352]
population;cost4494,[0.5964329749974704]
population;cost4495,[0.5994818881737176]
population;cost4504,[0.5965833349099876]
population;cost488,[0.4821004831765141]
population;cost498,[0.47903964472470884]
population;cost4994,"[0.6022186714937502, 0.6022186714937502]"
population;cost4995,"[0.6022528853909108, 0.6022528853909108, 0.6022528853909108]"
population;cost507,[0.48198590234259686]
population;cost508,"[0.4776572875088039, 0.4776572875088039]"
population;cost995,[0.5313929779520822]
treecover;cost1005,[0.770414849244413]
treecover;cost1015,[0.770649837578325]
treecover;cost1490,[0.8012526998174033]
treecover;cost1496,[0.804215325863902]
treecover;cost1497,[0.8036989782090371]
treecover;cost1499,[0.8009028448172322]
treecover;cost1508,[0.8040683802634911]
treecover;cost1991,[0.8092276838916423]
treecover;cost1992,[0.8103650299838298]
treecover;cost2003,[0.8118443881515037]
treecover;cost2011,"[0.8109577814729173, 0.8109577814729173]"
treecover;cost2485,[0.8248135998760926]
treecover;cost2495,"[0.8244181692263494, 0.8248593616965517]"
treecover;cost2503,[0.82641783775862]
treecover;cost2515,[0.8253732809292678]
treecover;cost2987,[0.8255143587324577]
treecover;cost2998,[0.8254343393774728]
treecover;cost2999,"[0.8253906773952551, 0.8248518501403119]"
treecover;cost3009,[0.8252130605218633]
treecover;cost3481,[0.8293062903694371]
treecover;cost3492,[0.8292931264945105]
treecover;cost3500,[0.8333403267877499]
treecover;cost3501,[0.8274843309334828]
treecover;cost3511,[0.8327548766016737]
treecover;cost3982,[0.848390162420114]
treecover;cost3990,[0.8477036257247427]
treecover;cost3992,[0.8483261619628217]
treecover;cost4002,"[0.8505200442797403, 0.8487936742749506]"
treecover;cost4493,"[0.8497609146227654, 0.8502866604046245, 0.8502866604046245]"
treecover;cost4503,"[0.84968383316223, 0.84968383316223]"
treecover;cost482,[0.6731401277783247]
treecover;cost483,[0.6713352666453114]
treecover;cost493,"[0.675503415680283, 0.675503415680283, 0.6876774450470551]"
treecover;cost4989,[0.8553906114974528]
treecover;cost4999,"[0.8553758612172004, 0.8554512709296278]"
treecover;cost5000,[0.8558567633871617]
treecover;cost5020,[0.8559083678876526]
treecover;cost996,"[0.7708100937199752, 0.7705700337842862]"
treecover;cost998,[0.7698564838024977]
