label,Test R2
elevation;cost1000.0,"[0.06683783145820665, 0.05923735077216552, 0.05881045750295044]"
elevation;cost1002.0,[0.06116140130028691]
elevation;cost1498.0,[0.012624269277804134]
elevation;cost1499.0,"[0.012843790999715221, 0.012843790999715221, 0.012843790999715221]"
elevation;cost1500.0,[0.011616280887475128]
elevation;cost1999.0,[0.0074169300664977955]
elevation;cost2000.0,[0.017244231943922994]
elevation;cost2001.0,"[0.014096495295791267, 0.014096495295791267, 0.01686336166203295]"
elevation;cost2500.0,"[0.03300519954009373, 0.031078194586531716, 0.031078194586531716]"
elevation;cost2501.0,[0.034626996136966404]
elevation;cost2502.0,[0.03481969281060726]
elevation;cost2999.0,[0.042666303298632635]
elevation;cost3000.0,"[0.04472822606229088, 0.045553431548779666, 0.04494054817948834, 0.045553431548779666]"
elevation;cost3499.0,"[0.07025888786905188, 0.07025888786905188, 0.07025888786905188]"
elevation;cost3500.0,"[0.06872220889011127, 0.0686692837345555]"
elevation;cost3999.0,[0.11238590539174875]
elevation;cost4000.0,[0.11259609460868492]
elevation;cost4001.0,"[0.11281594148078933, 0.11252953976494418]"
elevation;cost4002.0,[0.11321331603514839]
elevation;cost4498.0,[0.11868699204493549]
elevation;cost4500.0,"[0.11875586444699693, 0.11875586444699693]"
elevation;cost4501.0,"[0.1186717001886457, 0.1190339421945883]"
elevation;cost499.0,"[-0.03541791882023704, -0.035495991220148904]"
elevation;cost4999.0,[0.12440138601161066]
elevation;cost5000.0,"[0.12415180832565376, 0.12511236690202754, 0.12418958989059936]"
elevation;cost5001.0,[0.12427757322294986]
elevation;cost501.0,"[-0.030851763769558893, -0.027133903521793235, -0.029029427050539347]"
elevation;cost999.0,[0.05833058327443974]
population;cost1000.0,[0.3793563981670711]
population;cost1001.0,"[0.37895334853849183, 0.3796392717961813]"
population;cost1500.0,"[0.3950825338457147, 0.38887862927655426, 0.3956412109910872]"
population;cost1501.0,"[0.38905904375768596, 0.3896022625940647]"
population;cost1999.0,"[0.446022410307378, 0.4464936046956607]"
population;cost2000.0,"[0.44599641770982357, 0.4446621759318299]"
population;cost2001.0,[0.44633559309455295]
population;cost2497.0,[0.43207269297243256]
population;cost2498.0,[0.4319506773041808]
population;cost2499.0,[0.43137178860814873]
population;cost2500.0,[0.43153250946430377]
population;cost2501.0,[0.43213646876352907]
population;cost3000.0,"[0.4450244281499228, 0.44621684054419786, 0.4450244281499228]"
population;cost3001.0,[0.44501381396136186]
population;cost3002.0,[0.44590094717877604]
population;cost3499.0,[0.4746985772680432]
population;cost3500.0,"[0.4755024498397874, 0.4745292815437522]"
population;cost3501.0,"[0.47465899925182253, 0.4752218219471569]"
population;cost3998.0,[0.4848310582614961]
population;cost3999.0,[0.48475958572059286]
population;cost4000.0,"[0.48393073849498824, 0.48393073849498824]"
population;cost4001.0,[0.4839683563310625]
population;cost4498.0,[0.4911800715294343]
population;cost4499.0,"[0.491208440409023, 0.491208440409023]"
population;cost4500.0,[0.491289294619651]
population;cost4501.0,[0.4913092680837662]
population;cost499.0,"[0.2839806264290775, 0.2839256423148997]"
population;cost4997.0,[0.44787658282032583]
population;cost4999.0,[0.4479563783834001]
population;cost500.0,"[0.35268245950469734, 0.35024226273217784]"
population;cost5000.0,[0.44713321300865383]
population;cost5001.0,"[0.44704401081162826, 0.4463604934884339]"
population;cost501.0,[0.34712079709446375]
population;cost998.0,"[0.37759891047605443, 0.377485693521473]"
treecover;cost1000.0,"[0.7244735546235526, 0.7248601386953598, 0.7243207489006014]"
treecover;cost1002.0,[0.7247509928203597]
treecover;cost1498.0,[0.7477323220515721]
treecover;cost1499.0,"[0.7475926129211313, 0.7475926129211313, 0.7475926129211313]"
treecover;cost1500.0,[0.7474300983378713]
treecover;cost1999.0,[0.7287396415912424]
treecover;cost2000.0,[0.727748778633605]
treecover;cost2001.0,"[0.7281611382507128, 0.7281611382507128, 0.7282042437384564]"
treecover;cost2500.0,"[0.7479283170968454, 0.7483244422662425, 0.7483244422662425]"
treecover;cost2501.0,[0.7479602145163363]
treecover;cost2502.0,[0.7476877165211444]
treecover;cost2999.0,[0.7474334131105733]
treecover;cost3000.0,"[0.7476227523209742, 0.7475603833027946, 0.7476258361815564, 0.7475603833027946]"
treecover;cost3499.0,"[0.7520881933673084, 0.7520881933673084, 0.7520881933673084]"
treecover;cost3500.0,"[0.7521636659439381, 0.7508397456284618]"
treecover;cost3999.0,[0.7505117235811166]
treecover;cost4000.0,[0.7503774054885308]
treecover;cost4001.0,"[0.7487563658574448, 0.7488844645506791]"
treecover;cost4002.0,[0.7486438411650707]
treecover;cost4498.0,[0.7476153618263837]
treecover;cost4500.0,"[0.7472276661446766, 0.7472276661446766]"
treecover;cost4501.0,"[0.7472047906526287, 0.7472187662411687]"
treecover;cost499.0,"[0.6951075433337988, 0.6926575034184481]"
treecover;cost4999.0,[0.7403588663015885]
treecover;cost5000.0,"[0.7403680175457149, 0.7403953545256134, 0.7401679484254157]"
treecover;cost5001.0,[0.7401686770585301]
treecover;cost501.0,"[0.7019843618825641, 0.6985206024963374, 0.7002469579098185]"
treecover;cost999.0,[0.7243993715862638]
