label,Test R2
elevation;cost1076,"[0.07193294926090243, 0.09729174967313847]"
elevation;cost1077,[0.0930587946021425]
elevation;cost1415,[0.13430952073660152]
elevation;cost1416,[0.09649116689174309]
elevation;cost1515,[0.1276881133664004]
elevation;cost1516,[0.13650397654440038]
elevation;cost1614,[0.10901498809206422]
elevation;cost1853,[0.14122098534154148]
elevation;cost2052,[0.12486472060854581]
elevation;cost2054,[0.16183779650283758]
elevation;cost2152,[0.1601468547650725]
elevation;cost2153,[0.1681482692066798]
elevation;cost2391,[0.05548907592374086]
elevation;cost2393,[0.14983585844035752]
elevation;cost2490,[0.17600650490601766]
elevation;cost2491,[0.15606619951035672]
elevation;cost2593,[0.15099762159529861]
elevation;cost2829,[0.23093202341173924]
elevation;cost2830,[0.225497347066283]
elevation;cost2928,[0.24568992063402473]
elevation;cost2929,"[0.23753161323644134, 0.2622506484012539]"
elevation;cost3469,[0.2856492472873675]
elevation;cost3567,"[0.3122750253982497, 0.3119730335329516, 0.30945736726661155]"
elevation;cost3568,[0.29713853285433023]
elevation;cost3904,[0.31360470620310066]
elevation;cost3906,"[0.28682221709159683, 0.3007480629481064]"
elevation;cost3907,[0.2941823608377383]
elevation;cost4004,[0.37373151299835283]
elevation;cost4344,[0.3797790214602146]
elevation;cost4345,[0.3794788873885805]
elevation;cost438,[-0.16397476461623306]
elevation;cost439,[-0.15895997562188358]
elevation;cost4443,[0.4100472038313906]
elevation;cost4444,[0.41354512091393425]
elevation;cost4445,[0.40604288374697417]
elevation;cost4982,"[0.4272539463118705, 0.4319685289317219]"
elevation;cost4983,[0.4273596706093651]
elevation;cost5082,[0.43585226313740133]
elevation;cost5182,[0.4337647318605009]
elevation;cost537,"[-0.14156144972437135, -0.10466649677675699]"
elevation;cost539,[-0.1534516701687385]
elevation;cost976,[0.01823802204551317]
elevation;cost977,[0.0702767726832706]
population;cost1338,[0.3128646290322996]
population;cost1437,[0.3214964656682615]
population;cost1438,[0.38782145883564245]
population;cost1440,[0.39386727516948505]
population;cost1538,[0.3939331045129608]
population;cost1884,[0.40300321500715]
population;cost1985,"[0.40407112100285714, 0.41324913249462425]"
population;cost1986,[0.41615851447728036]
population;cost2085,[0.39936076790332575]
population;cost2429,[0.43440777826782606]
population;cost2430,[0.4490549929431773]
population;cost2529,[0.4391020696846193]
population;cost2530,[0.4451568912035889]
population;cost2531,[0.44116065076858046]
population;cost2877,[0.4725967952183282]
population;cost2975,[0.4840623225043229]
population;cost3075,[0.473303028769836]
population;cost3076,[0.4904476784800348]
population;cost3077,[0.47372760753470533]
population;cost3422,[0.47358902145691884]
population;cost3423,"[0.4960496531786146, 0.4966850604852032]"
population;cost3523,[0.4966329171934474]
population;cost3622,[0.49595834879626677]
population;cost3868,[0.4980053318573747]
population;cost3969,"[0.5013060412740182, 0.4980472860581211]"
population;cost4067,[0.49820971474241615]
population;cost4069,[0.5026102644603359]
population;cost4413,[0.5140801833042615]
population;cost4414,"[0.518266181977399, 0.5146012776166624]"
population;cost4415,[0.5189579297685709]
population;cost445,[0.147024146199483]
population;cost446,"[0.09439026716492227, 0.09439026716492227]"
population;cost4613,[0.514344486467766]
population;cost4960,[0.5271546899574261]
population;cost4961,"[0.5280823936989409, 0.5213883233421526, 0.5300316047610139]"
population;cost5162,[0.5240859347579176]
population;cost545,[0.27095027935034355]
population;cost547,[0.24796398662796615]
population;cost892,"[0.23376875009743658, 0.23376875009743658, 0.21805455499880433]"
population;cost893,[0.3175216972669215]
population;cost993,[0.3215541004182356]
treecover;cost1076,"[0.6397339735133415, 0.6523171585469347]"
treecover;cost1077,[0.6486474242716251]
treecover;cost1415,[0.676466373733001]
treecover;cost1416,[0.6527975568656594]
treecover;cost1515,[0.6620455912113361]
treecover;cost1516,[0.6564624287149863]
treecover;cost1614,[0.6600243405977901]
treecover;cost1853,[0.5660878647372901]
treecover;cost2052,[0.5729710237320391]
treecover;cost2054,[0.5702128194298093]
treecover;cost2152,[0.5767834647923327]
treecover;cost2153,[0.5641499292685239]
treecover;cost2391,[0.6274976964231376]
treecover;cost2393,[0.6303741999357552]
treecover;cost2490,[0.6294078630806592]
treecover;cost2491,[0.6355571005305282]
treecover;cost2593,[0.640254077644885]
treecover;cost2829,[0.6680153735638124]
treecover;cost2830,[0.683894844064163]
treecover;cost2928,[0.6678201117036182]
treecover;cost2929,"[0.6648741052244047, 0.676441164423742]"
treecover;cost3469,[0.7002946712281841]
treecover;cost3567,"[0.7102305871268273, 0.7039329000328383, 0.7046175761413601]"
treecover;cost3568,[0.7070337011658552]
treecover;cost3904,[0.7299246388632789]
treecover;cost3906,"[0.72461143319975, 0.7257753482641595]"
treecover;cost3907,[0.7241588485867937]
treecover;cost4004,[0.7259633553040021]
treecover;cost4344,[0.7328112912950009]
treecover;cost4345,[0.7332397349264286]
treecover;cost438,[0.45593518881243567]
treecover;cost439,[0.3680164844217336]
treecover;cost4443,[0.7339018032355842]
treecover;cost4444,[0.7324827870277664]
treecover;cost4445,[0.7327910474802002]
treecover;cost4982,"[0.7525810015473187, 0.7469433570740893]"
treecover;cost4983,[0.74757300583512]
treecover;cost5082,[0.746412515888895]
treecover;cost5182,[0.7475996684557258]
treecover;cost537,"[0.2364981987507555, 0.36197477256951305]"
treecover;cost539,[0.4647632214658427]
treecover;cost976,[0.6506768368221888]
treecover;cost977,[0.6359209305801345]
