label,Test R2
elevation;cost1406,[0.19789945000557274]
elevation;cost1407,[0.19352176990777836]
elevation;cost1408,[0.009667303597179044]
elevation;cost1410,[0.20008391182872676]
elevation;cost1416,[0.13163750068415503]
elevation;cost1910,"[0.14716064160543485, 0.23135366485606157, 0.07989350222187808]"
elevation;cost1915,[0.26535708127080093]
elevation;cost1924,[0.23659902610247896]
elevation;cost2413,"[0.14959477966263302, 0.25022243452772763, 0.2507067181916226]"
elevation;cost2419,[0.2568583708769602]
elevation;cost2427,[0.27138625126836335]
elevation;cost2915,[0.27242702263132434]
elevation;cost2916,[0.22400369089076477]
elevation;cost2918,[0.2804368081764891]
elevation;cost2921,[0.29849140979643196]
elevation;cost2928,[0.20670497165854607]
elevation;cost3418,[0.2555045917710904]
elevation;cost3419,[0.16197257029713552]
elevation;cost3420,[0.292929094223341]
elevation;cost3422,[0.2647368804833635]
elevation;cost3431,[0.2520688239336655]
elevation;cost3921,[0.2843000776008838]
elevation;cost3923,"[0.27916518062638984, 0.2768850012753229]"
elevation;cost3924,[0.23430705716834133]
elevation;cost3935,[0.2825942073000245]
elevation;cost408,[-2.130718964967654]
elevation;cost4423,[0.30669121797964494]
elevation;cost4428,[0.288297845218368]
elevation;cost4433,[0.3678039473083813]
elevation;cost4435,[0.28038770777032507]
elevation;cost4436,[0.28790055379157165]
elevation;cost4927,[0.3038310470853346]
elevation;cost4928,[0.31873544727166814]
elevation;cost4937,[0.34467517129227376]
elevation;cost4938,"[0.3820487771001386, 0.2946470300244346]"
elevation;cost904,[-0.2700300243747229]
elevation;cost905,"[0.09245182390877082, -0.0744005336373772]"
elevation;cost906,[-0.05402370998510486]
elevation;cost913,[0.07643219097227105]
population;cost1411,[-0.5167746262228599]
population;cost1418,[0.23943180298247868]
population;cost1419,[0.25606448359137224]
population;cost1423,[0.2259794862886626]
population;cost1430,[0.21536982139323235]
population;cost1914,[0.21731932918868224]
population;cost1921,[0.2632782010909228]
population;cost1925,[0.2805497737579523]
population;cost1929,[0.24921395470565366]
population;cost1934,[0.2600622767949756]
population;cost2416,[0.10546130880728255]
population;cost2426,[0.29963293762433774]
population;cost2433,"[0.2077406178185084, 0.2967466720805624]"
population;cost2436,[0.19500106676287754]
population;cost2921,[0.3406842682273985]
population;cost2928,[0.32761498676487566]
population;cost2937,[0.38457163729016386]
population;cost2939,[0.23229133251980394]
population;cost2946,[0.24764114868457487]
population;cost3425,[0.36202211613706425]
population;cost3434,[0.3155899496761756]
population;cost3445,[0.437102805083627]
population;cost3448,[0.20703588248866034]
population;cost3452,[0.3778182520177493]
population;cost3930,[0.3105072977038905]
population;cost3940,[0.3631161533111862]
population;cost3952,[0.1686124137512487]
population;cost3957,[0.3399017806737664]
population;cost3958,[0.4716262112758397]
population;cost407,"[-0.3728558533162676, -0.05032734241044712]"
population;cost415,[0.1920234329576468]
population;cost4436,[0.35690936223925973]
population;cost4444,[0.4152309325825895]
population;cost4455,[0.18468334150291144]
population;cost4460,[0.44529642055187635]
population;cost4461,[0.3955057235171622]
population;cost4945,[0.40351665790722635]
population;cost4951,[0.4636272740878309]
population;cost4966,[0.3560423503057878]
population;cost4970,[0.1976440419771467]
population;cost4971,[0.5030213993971686]
population;cost906,[-0.33943026794254916]
population;cost910,[0.01796998185333365]
population;cost912,"[-0.622148106158515, 0.17916358455690728]"
population;cost922,[-1.4603257760516684]
treecover;cost1406,[0.37522320756179306]
treecover;cost1407,[0.38276999977215254]
treecover;cost1408,[0.5152126737101268]
treecover;cost1410,[0.4609516325385761]
treecover;cost1416,[0.4634938457833164]
treecover;cost1910,"[0.5307555614101024, 0.3063450885651309, 0.3324084606002373]"
treecover;cost1915,[0.6411534674612307]
treecover;cost1924,[0.4860199520460913]
treecover;cost2413,"[0.48477676770453837, 0.5785434966714149, 0.376015715315801]"
treecover;cost2419,[0.5384770843875311]
treecover;cost2427,[0.5309790838529692]
treecover;cost2915,[0.5844101515475835]
treecover;cost2916,[0.5750665875072565]
treecover;cost2918,[0.64328454160438]
treecover;cost2921,[0.5200209103962743]
treecover;cost2928,[0.5525673816575756]
treecover;cost3418,[0.6498273225578464]
treecover;cost3419,[0.55584419017103]
treecover;cost3420,[0.5938522722238602]
treecover;cost3422,[0.6674524714499765]
treecover;cost3431,[0.6731994322287425]
treecover;cost3921,[0.6277972321052563]
treecover;cost3923,"[0.691891590521067, 0.5942570028815795]"
treecover;cost3924,[0.6269290099187355]
treecover;cost3935,[0.6806291655625215]
treecover;cost408,[0.27565727946869234]
treecover;cost4423,[0.6789115099979965]
treecover;cost4428,[0.6476747943142259]
treecover;cost4433,[0.6596203096393551]
treecover;cost4435,[0.7290672703717309]
treecover;cost4436,[0.7006741402615441]
treecover;cost4927,[0.6890711721770066]
treecover;cost4928,[0.6542897413908852]
treecover;cost4937,[0.7000815671463452]
treecover;cost4938,"[0.6752719474114408, 0.7352559085123517]"
treecover;cost904,[0.24332521104133376]
treecover;cost905,"[0.571458365774949, 0.31186866326152396]"
treecover;cost906,[0.30969160325226486]
treecover;cost913,[0.39662413376389805]
