label,Test R2
elevation;size19575,0.5273968742217707
elevation;size34255,0.6771666651263524
elevation;size485,-0.08481047269702713
elevation;size4890,0.28240886203729887
elevation;size48935,0.7334892725444495
elevation;size73405,0.8012976765440717
elevation;size975,0.04669002483072504
elevation;size9785,0.4528002537236703
elevation;sizeNone,0.8060499876457881
population;size10865,0.49884758680966046
population;size19020,0.5910238432806936
population;size270,-1.1238461358625393
population;size2715,0.389221536254298
population;size27170,0.63838959995308
population;size40755,0.712646807163533
population;size540,-0.2883094596311637
population;size5430,0.45931180275992756
population;sizeNone,0.7360931298068872
treecover;size19575,0.8836702935554207
treecover;size34255,0.8994687271122543
treecover;size485,0.774826659217221
treecover;size4890,0.8364344998614468
treecover;size48935,0.914926618895433
treecover;size73405,0.9284840849121404
treecover;size975,0.7653209797943828
treecover;size9785,0.8769448986552963
treecover;sizeNone,0.9293247853995285
