label,Test R2,Cost
population;size270,-1.1238461358625393,35976.54167175293
population;size540,-0.2883094596311637,80126.24745178223
population;size2715,0.389221536254298,589076.6355285645
population;size5430,0.45931180275992756,1469591.6170654297
population;size10865,0.49884758680966046,3751543.238006592
population;size19020,0.5910238432806936,8235812.194274902
population;size27170,0.63838959995308,13984110.149414062
population;size40755,0.712646807163533,26594320.45501709
population;sizeNone,0.7360931298068872,"[ 641.96838379  593.79180908  990.78173828 ...  451.93414307  693.37310791
 1088.53857422]"
treecover;size485,0.774826659217221,68799.69956970215
treecover;size975,0.7653209797943828,156350.1201171875
treecover;size4890,0.8364344998614468,1168682.8164672852
treecover;size9785,0.8769448986552963,2929500.1081237793
treecover;size19575,0.8836702935554207,7648443.748352051
treecover;size34255,0.8994687271122543,17248226.24987793
treecover;size48935,0.914926618895433,29789792.597473145
treecover;size73405,0.9284840849121404,59754259.36590576
treecover;sizeNone,0.9293247853995285,"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
elevation;size485,-0.08481047269702713,68799.69956970215
elevation;size975,0.04669002483072504,156350.1201171875
elevation;size4890,0.28240886203729887,1168682.8164672852
elevation;size9785,0.4528002537236703,2929500.1081237793
elevation;size19575,0.5273968742217707,7648443.748352051
elevation;size34255,0.6771666651263524,17248226.24987793
elevation;size48935,0.7334892725444495,29789792.597473145
elevation;size73405,0.8012976765440717,59754259.36590576
elevation;sizeNone,0.8060499876457881,"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
