label,size_of_subset,Test R2,Cost
population,270.0,0.514233135469202,181384.43743896484
population,540.0,0.5422675271527683,382602.05041503906
population,2715.0,0.6625646058503815,1938464.3159484863
population,5430.0,0.6882783633929563,3826332.3776245117
population,10865.0,0.7062433741113819,7630199.166503906
population,19020.0,0.7194922781470882,13376131.255340576
population,27170.0,0.7271274428491565,19019823.658294678
population,32605.0,0.729065082349706,22881998.066436768
population,35320.0,0.7299058539265779,24883712.888946533
population,40755.0,0.7323237569161418,28696307.7857666
population,54340.0,0.7360931298068872,38216181.967437744
treecover,485.0,0.8167799332009034,359400.97497558594
treecover,975.0,0.8658652708860217,719891.0886535645
treecover,4890.0,0.9017049798344456,3543804.054992676
treecover,9785.0,0.911788109041547,7224431.106506348
treecover,19575.0,0.9176675362599428,14601781.693939209
treecover,34255.0,0.9240353122183268,25506081.255706787
treecover,48935.0,0.9265945086943111,36339035.704956055
treecover,73405.0,0.9287205010922388,54668528.387298584
treecover,97875.0,0.9293247853995285,58311795.675720215
elevation,485.0,0.5630609300870159,377752.4689941406
elevation,975.0,0.5788015808755484,736497.4741210938
elevation,4890.0,0.7185192183931639,3571793.9172058105
elevation,9785.0,0.7427129915651665,7347132.1669921875
elevation,19575.0,0.7746692388274756,14505590.862182617
elevation,34255.0,0.7940495438712293,25580837.051483154
elevation,48935.0,0.7979992632672601,36505494.236694336
elevation,73405.0,0.8051927780888908,54665474.81237793
elevation,97875.0,0.8060499876457881,58311795.675720215
