label,Cross-validation R2,Test R2
population;size65,0.6471230583742169,-0.25597166089370993
population;size335,0.599633010654188,0.048516953982816635
population;size675,0.6367212729800895,0.3573630029463416
population;size3395,0.7087103159886938,0.5582933105553747
population;size6790,0.7195790988859586,0.5944921002183132
population;size13585,0.7277246505007033,0.6408024574299436
population;size23770,0.7428848346769549,0.6877122595632182
population;size33960,0.746134386949429,0.7213015203652658
population;size50945,0.7460987121482708,0.7405001568798429
population;size54340,0.7444698062027624,0.7413341635475623
treecover;size95,0.703872828537296,0.5701460081095373
treecover;size485,0.8316489690796566,0.7503762997483695
treecover;size975,0.8659373246053435,0.7574285113697293
treecover;size4890,0.8957453447957389,0.8402066746567716
treecover;size9785,0.9117673209046605,0.8690396708114998
treecover;size19575,0.919547635504651,0.8906236939903025
treecover;size34255,0.9249769992993088,0.9061123287686685
treecover;size48935,0.9269910028681344,0.9239962594137084
treecover;size73405,0.9315760039413449,0.9334471865067974
treecover;size78300,0.9327699799371902,0.9335396153982038
elevation;size95,0.2598003515031402,-0.9999563842662107
elevation;size485,0.6402640745459531,-0.3725798058678813
elevation;size975,0.7320658055012808,-0.2269458470337331
elevation;size4890,0.7453570008314118,0.17616427303677773
elevation;size9785,0.7180575311642412,0.512933792805268
elevation;size19575,0.7937619513073155,0.6995560614986454
elevation;size34255,0.8130541117750232,0.7450163110426619
elevation;size48935,0.8069085807404722,0.7759542226294455
elevation;size73405,0.7989791404112138,0.8026072591661846
elevation;size78300,0.797862173066501,0.8041549172589775
