label,Cross-validation R2,Test R2
population;size270,0.46621228071608767,0.5210089074396693
population;size540,0.6327259253236347,0.5700579247099081
population;size2715,0.6737468998020508,0.6431607539285387
population;size5430,0.6832926719922401,0.6862210970262608
population;size10865,0.7028446385617597,0.7052512460283026
population;size19015,0.7266301830157977,0.7219880837589936
population;size27170,0.7313512207064947,0.7310228045242322
population;size40755,0.7388007274639209,0.7366475748172747
population;size54340,0.7444698062027624,0.7413341635475623
treecover;size390,0.8317717471048403,0.8208694124816986
treecover;size780,0.8354616819024592,0.8626099754573248
treecover;size3915,0.8990151719461382,0.9095660674937689
treecover;size7830,0.9106199883388256,0.9175790634977704
treecover;size15660,0.9198678176527628,0.9242765838023048
treecover;size27405,0.9227821857942444,0.9288986526728596
treecover;size39150,0.9267041790002567,0.9309540748379438
treecover;size58725,0.929885474466642,0.9325660667321656
treecover;size78300,0.9327699799371902,0.9335396153982038
elevation;size390,0.4506070991089729,0.5420636605338378
elevation;size780,0.546744186681254,0.577933180105684
elevation;size3915,0.6976977842572276,0.7218638046490796
elevation;size7830,0.7304524325742591,0.7518894501755149
elevation;size15660,0.7599007168552689,0.7712741052152079
elevation;size27405,0.7765657132324799,0.7891619011968883
elevation;size39150,0.7851525082390847,0.7963220851341282
elevation;size58725,0.7939402795707269,0.8006352157391453
elevation;size78300,0.797862173066501,0.8041549172589775
