label,size_of_subset,Test R2,Cost
population,270.0,0.4142125234504479,19230897.18334961
population,540.0,0.4731778374606804,36225339.66088867
population,2715.0,0.553665970196364,171053605.73632812
population,5430.0,0.6109202256266556,335112650.84472656
population,10865.0,0.6622681862469777,672121294.588501
population,19020.0,0.6991645118948093,1186275826.1881104
population,27170.0,0.7166874900059679,1705251407.5008545
population,40755.0,0.7300165299733328,2500038184.2280273
population,54340.0,0.7360931298068872,3457531440.7437744
treecover,485.0,0.6995232225655872,30873511.307006836
treecover,975.0,0.783260243418935,62044191.17895508
treecover,4890.0,0.8596228277037156,320274165.13842773
treecover,9785.0,0.876464835989974,638479046.0092773
treecover,19575.0,0.8940962922552548,1296092948.4517822
treecover,34255.0,0.9168455301638456,2296897495.451172
treecover,48935.0,0.9234030288202942,3234831084.9819336
treecover,73405.0,0.9290967674674744,4900637202.26709
treecover,97875.0,0.9293247853995285,5282422369.5720215
elevation,485.0,0.2719607148873817,30873511.307006836
elevation,975.0,0.4555031567113182,62044191.17895508
elevation,4890.0,0.6094036534714893,320274165.13842773
elevation,9785.0,0.6558321449099136,638479046.0092773
elevation,19575.0,0.704809724370404,1296092948.4517822
elevation,34255.0,0.7643992355585278,2296897495.451172
elevation,48935.0,0.7838439758094357,3234831084.9819336
elevation,73405.0,0.8034247039109979,4900637202.26709
elevation,97875.0,0.8060499876457881,5282422369.5720215
