label,size_of_subset,Test R2,Cost
population,270.0,0.4142125234504479,242737.9443435669
population,540.0,0.4731778374606804,470153.1061859131
population,2715.0,0.553665970196364,2251614.8203659058
population,5430.0,0.6109202256266556,4446908.2437057495
population,10865.0,0.6622681862469777,8927109.764266968
population,19020.0,0.6991645118948093,15683330.267456055
population,27170.0,0.7166874900059679,22506470.350578308
population,40755.0,0.7300165299733328,33427082.587478638
population,54340.0,0.7360931298068872,45652510.01092529
treecover,485.0,0.6995232225655872,408164.9173812866
treecover,975.0,0.783260243418935,816836.6123962402
treecover,4890.0,0.8596228277037156,4148771.0902252197
treecover,9785.0,0.876464835989974,8298940.539108276
treecover,19575.0,0.8940962922552548,16753440.913642883
treecover,34255.0,0.9168455301638456,29525950.774246216
treecover,48935.0,0.9234030288202942,41907688.929870605
treecover,73405.0,0.9290967674674744,63292495.508636475
treecover,97875.0,0.9293247853995285,67972209.54241943
elevation,485.0,0.2719607148873817,408164.9173812866
elevation,975.0,0.4555031567113182,816836.6123962402
elevation,4890.0,0.6094036534714893,4148771.0902252197
elevation,9785.0,0.6558321449099136,8298940.539108276
elevation,19575.0,0.704809724370404,16753440.913642883
elevation,34255.0,0.7643992355585278,29525950.774246216
elevation,48935.0,0.7838439758094357,41907688.929870605
elevation,73405.0,0.8034247039109979,63292495.508636475
elevation,97875.0,0.8060499876457881,67972209.54241943
