label,size_of_subset,Test R2,Cost
population,270.0,-1.1238461358625391,270.0
population,540.0,-0.2883094596311637,540.0
population,2715.0,0.389221536254298,2715.0
population,5430.0,0.4593118027599275,5430.0
population,10865.0,0.4988475868096604,10865.0
population,19020.0,0.5910238432806936,1.2297242655944823e+26
population,27170.0,0.63838959995308,8.899321693847666e+26
population,40755.0,0.712646807163533,2.1734314043914696e+27
population,54340.0,0.7360931298068872,3.457513696743765e+27
treecover,485.0,0.774826659217221,485.0
treecover,975.0,0.7653209797943828,975.0
treecover,4890.0,0.8364344998614468,4890.0
treecover,9785.0,0.8769448986552963,9785.0
treecover,19575.0,0.8836702935554207,19575.0
treecover,34255.0,0.8994687271122543,1.0646904951293926e+27
treecover,48935.0,0.914926618895433,2.4697514400726227e+27
treecover,73405.0,0.9284840849121404,4.81225443895571e+27
treecover,97875.0,0.9293247853995285,5.282399267572044e+27
elevation,485.0,-0.0848104726970271,485.0
elevation,975.0,0.046690024830725,975.0
elevation,4890.0,0.2824088620372988,4890.0
elevation,9785.0,0.4528002537236703,9785.0
elevation,19575.0,0.5273968742217707,19575.0
elevation,34255.0,0.6771666651263524,1.0637446971313451e+27
elevation,48935.0,0.7334892725444495,2.4748778403137302e+27
elevation,73405.0,0.8012976765440717,4.815269009570313e+27
elevation,97875.0,0.8060499876457881,5.282399267572044e+27
