label,Test R2,Cost
population;size270,0.514233135469202,222697.73684692383
population;size540,0.5422675271527683,453927.8261871338
population;size2715,0.6625646058503815,2291610.5783691406
population;size5430,0.6882783633929563,4571331.076049805
population;size10865,0.7062433741113819,9110797.489746094
population;size19020,0.7194922781470882,15985934.326179504
population;size27170,0.7271274428491565,22765992.72895813
population;size40755,0.7323237569161418,34264709.83711243
population;sizeNone,0.7360931298068872,"[ 641.96838379  593.79180908  990.78173828 ...  451.93414307  693.37310791
 1088.53857422]"
treecover;size485,0.8167799332009034,420750.1330871582
treecover;size975,0.8658652708860217,848396.7326431274
treecover;size4890,0.9017049798344456,4283837.065689087
treecover;size9785,0.911788109041547,8582967.867095947
treecover;size19575,0.9176675362599429,16900293.93991089
treecover;size34255,0.9240353122183267,29753334.58745575
treecover;size48935,0.9265945086943111,42492046.96713257
treecover;size73405,0.9287205010922388,63735506.56276703
treecover;sizeNone,0.9293247853995285,"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
elevation;size485,0.5630609300870159,403090.5126647949
elevation;size975,0.5788015808755484,849338.504989624
elevation;size4890,0.7185192183931639,4241936.183181763
elevation;size9785,0.7427129915651665,8496984.528831482
elevation;size19575,0.7746692388274756,16952290.47756958
elevation;size34255,0.7940495438712293,29813630.26963806
elevation;size48935,0.7979992632672601,42502494.439826965
elevation;size73405,0.8051927780888908,63709209.768325806
elevation;sizeNone,0.8060499876457881,"[ 160.23744202  374.19284058 1448.95092773 ... 1323.39880371  910.05963135
 1384.1829834 ]"
