label,size_of_subset,Test R2,Cost
population,270.0,0.1038159014934329,3.337156158825905e+16
population,540.0,0.2493365488014288,6.324121901025736e+16
population,2715.0,0.5260329637864345,2.493511824853745e+17
population,5430.0,0.5793673398531354,4.729024764834725e+17
population,10865.0,0.6336980380815862,9.732179412453238e+17
population,19020.0,0.6722188650690666,1.7137731453937684e+18
population,27170.0,0.7031889042599029,2.4644043289640735e+18
population,40755.0,0.728715908687724,3.577225118031861e+18
population,54340.0,0.7360931298068872,5.293240723308546e+18
treecover,485.0,0.7139607910399756,5.048727931898661e+16
treecover,975.0,0.7492716223664162,9.78043758059698e+16
treecover,4890.0,0.8353846830043087,4.71717316569631e+17
treecover,9785.0,0.8596216484872974,9.487816165289635e+17
treecover,19575.0,0.8839191925282655,1.9649782608347505e+18
treecover,34255.0,0.8968996664530017,3.4803768399591793e+18
treecover,48935.0,0.9181008495556572,4.858823906585679e+18
treecover,73405.0,0.9289191995816832,7.508763444138296e+18
treecover,97875.0,0.9293247853995285,8.222580144968606e+18
elevation,485.0,-0.3425233798385103,5.048727931898661e+16
elevation,975.0,-0.2940174013783323,9.78043758059698e+16
elevation,4890.0,0.1133883363135879,4.71717316569631e+17
elevation,9785.0,0.4603646761252227,9.487816165289635e+17
elevation,19575.0,0.6471226920552302,1.9649782608347505e+18
elevation,34255.0,0.7175889356746243,3.4803768399591793e+18
elevation,48935.0,0.7679206946098562,4.858823906585679e+18
elevation,73405.0,0.803692156935869,7.508763444138296e+18
elevation,97875.0,0.8060499876457881,8.222580144968606e+18
