label,Test R2
elevation;cost1000,"[0.49074828120422864, 0.39831200311336556, 0.4424327514265888, 0.4766460397012866, 0.3362782193615401]"
elevation;cost1497,"[0.5243486252234832, 0.48718898475548633, 0.467265566417276, 0.45407692603956595, 0.44067424222250406]"
elevation;cost1992,"[0.5371885831949901, 0.5218429671108236, 0.5031493242050638, 0.5069103711919185, 0.48042921645966175]"
elevation;cost2498,"[0.5509062846816681, 0.5332563916574526, 0.5365605575442716, 0.5421190807784737, 0.535959837776159]"
elevation;cost2993,"[0.564409611775365, 0.5642153813665133, 0.5500147131577346, 0.5754562874753855, 0.5503418084573029]"
elevation;cost3498,"[0.5715051010845729, 0.5701240084623844, 0.5726017614084485, 0.5950722890612825, 0.5573676663888429]"
elevation;cost3994,"[0.5880949046204906, 0.5823292755756948, 0.5753116189144816, 0.6053624957562832, 0.5594265209675163]"
elevation;cost4500,"[0.5970490545743347, 0.5952309223758259, 0.579386487592058, 0.6044878797191473, 0.5695333516141539]"
elevation;cost496,"[0.3236341935765381, 0.27098926990664773, 0.36861998260718165, 0.3976144892294112, 0.30700812961282153]"
elevation;cost4994,"[0.603745302460613, 0.610969135281489, 0.5942430604454895, 0.6080767517216179, 0.5804027172546129]"
population;cost1000,"[0.5003442227533683, 0.47181386593792385, 0.5084921020696673, 0.4892415811360159, 0.5224257352651074]"
population;cost1497,"[0.5334773831026574, 0.509243042364161, 0.51372580163074, 0.5139863515423917, 0.5360070117157418]"
population;cost1992,"[0.5647598658880901, 0.5545314680752229, 0.5245000940490244, 0.524683350660861, 0.5717435431421058]"
population;cost2498,"[0.5703833840269827, 0.5546122474635092, 0.5480601404928886, 0.5444663334667121, 0.5741115850070878]"
population;cost2993,"[0.5796074237656863, 0.5531005604027255, 0.5827535912053663, 0.5433299821733306, 0.5771518797819901]"
population;cost3498,"[0.5852527021090934, 0.5677813774598582, 0.5914416224946697, 0.5716904587308818, 0.5870326484161393]"
population;cost3994,"[0.5960569866698839, 0.5722307135820403, 0.5973271269917131, 0.5887420914890945, 0.5925357881216582]"
population;cost4500,"[0.5968237283975043, 0.5843026579606816, 0.6051277643739257, 0.5907231630206679, 0.6042191044387399]"
population;cost496,"[0.4518239325670995, 0.36272239155923436, 0.46427111339622906, 0.34452313217720143, 0.39969227388847106]"
population;cost4994,"[0.598405765247479, 0.5946080028087937, 0.6129682716514591, 0.5935244521123679, 0.6110998253073745]"
treecover;cost1000,"[0.7742005020861196, 0.78200352551347, 0.7972541133070064, 0.7797321337385386, 0.7719192879168962]"
treecover;cost1497,"[0.8027639992622959, 0.794334548668077, 0.802982576739317, 0.7939370897133138, 0.7881245828603567]"
treecover;cost1992,"[0.8185001586880658, 0.8088778423540366, 0.8178537851214045, 0.8041154933813298, 0.8022721379268204]"
treecover;cost2498,"[0.8234250447279797, 0.8156658032194802, 0.8195333067991522, 0.8227564226875126, 0.8233418719531898]"
treecover;cost2993,"[0.8394367432189611, 0.8188951039217226, 0.8374435969136603, 0.8287985960378501, 0.8284019097814175]"
treecover;cost3498,"[0.8454659845390782, 0.8341453562974284, 0.8472441206174752, 0.8319114709235409, 0.8300064951548116]"
treecover;cost3994,"[0.8513841341906712, 0.8469926225285638, 0.851572313493438, 0.8393198660854582, 0.8439870531992658]"
treecover;cost4500,"[0.8556764885803066, 0.8519063448344242, 0.8561082125170666, 0.8471755209820435, 0.8405811906510665]"
treecover;cost496,"[0.7464426066284852, 0.6993550052291629, 0.7449092088218986, 0.640993352675947, 0.7498061787490271]"
treecover;cost4994,"[0.8594080723734552, 0.8601101176758541, 0.8602815167178571, 0.8485919679732178, 0.8455266652515255]"
