label,Test R2
elevation;cost1000,"[0.3899521556800183, 0.26724301201174794, 0.02252559102292384, 0.3702054519415966, 0.027920719563807594]"
elevation;cost1500,"[0.4372004779834847, 0.2835763479209181, 0.25687110461844054, 0.3604441450033965, 0.09886308760278761]"
elevation;cost2000,"[0.4102505731208532, 0.2847403440849895, 0.31001198400800933, 0.3618202859199864, 0.18759382524077928]"
elevation;cost2500,"[0.3990974424114766, 0.30226504370873464, 0.3292221438687988, 0.37797350839956123, 0.26216700771776746]"
elevation;cost3000,"[0.3897460513610811, 0.36106933848783496, 0.35123400951379247, 0.3717227275751962, 0.31556485311078264]"
elevation;cost3500,"[0.3900009769374625, 0.37777309620000954, 0.3517149642499068, 0.401432162207745, 0.322026999149144]"
elevation;cost4000,"[0.40399295732231877, 0.4602679594526048, 0.3859255905386687, 0.40564333184017454, 0.3336610783545916]"
elevation;cost4500,"[0.41265409131929176, 0.4559769969990839, 0.39034062380284795, 0.41224401452102066, 0.3329607776927834]"
elevation;cost500,"[0.39643334314042966, 0.10577804629695298, -0.014754204426812967, 0.32218159221337395, -0.013829554999790217]"
elevation;cost5000,"[0.42715057697951, 0.458724186297469, 0.39875682823946135, 0.3941004646050099, 0.33704433641350473]"
population;cost1000,"[0.49976730153605775, 0.4085494106070059, 0.4040945087669173, 0.4605360496101891, 0.44298929262159126]"
population;cost1500,"[0.5128563811652875, 0.4750668737046697, 0.3950013383067411, 0.46324456435501193, 0.4617869301102159]"
population;cost2000,"[0.5141557318712482, 0.47882119726258565, 0.43500694144902485, 0.4971184631994139, 0.4799197966055557]"
population;cost2500,"[0.5281395182704823, 0.5017832584818954, 0.45035809575790264, 0.5088232455822598, 0.5268421428919119]"
population;cost3000,"[0.5225232346749341, 0.5024267764896836, 0.5178702506949278, 0.5041564783474264, 0.5504530666490111]"
population;cost3500,"[0.5044072763798275, 0.5161117658473159, 0.5122147811728524, 0.4799416950804475, 0.5477766223435081]"
population;cost4000,"[0.5048852135292929, 0.5424924691379284, 0.5093985857631604, 0.5126423145949055, 0.547919555818186]"
population;cost4500,"[0.508023661038048, 0.5389502927705401, 0.5083927614570249, 0.5066394921116288, 0.5309193368782881]"
population;cost500,"[0.4687626001283641, 0.3686433104199387, 0.3427367974128751, 0.43277481488661096, 0.40336273334367023]"
population;cost5000,"[0.5195965149310349, 0.5486787139362959, 0.5149912885918064, 0.5036484526020364, 0.545588505702274]"
treecover;cost1000,"[0.7121213501730038, 0.667193138693706, 0.6831255600501844, 0.6789781112031975, 0.508517212798551]"
treecover;cost1500,"[0.7372751792127987, 0.6416817767331583, 0.6660530836157874, 0.7103468041349987, 0.6167220405222551]"
treecover;cost2000,"[0.7620913960747163, 0.6766345241849907, 0.7179581687099675, 0.6699559323224391, 0.6437690821770766]"
treecover;cost2500,"[0.7667962543257264, 0.7220473776798124, 0.7347123370154698, 0.7410567598717457, 0.6939978347176226]"
treecover;cost3000,"[0.7904242156211568, 0.74605303517898, 0.7349842582600654, 0.7615358632879888, 0.73345879141579]"
treecover;cost3500,"[0.7869964696458217, 0.7570681300067038, 0.7435231225263437, 0.7650131612285059, 0.7516200471672569]"
treecover;cost4000,"[0.791471680319828, 0.756150541019785, 0.7515911993861772, 0.7706734657004606, 0.7635973340007851]"
treecover;cost4500,"[0.794897312884993, 0.7578453738999533, 0.7526680112882727, 0.7743442197658145, 0.7682507977010717]"
treecover;cost500,"[0.6278987404020295, 0.6903334625627895, 0.6864794953817965, 0.6797804491164748, 0.4719323420986383]"
treecover;cost5000,"[0.7997856605761098, 0.7760983912659177, 0.7572251833487285, 0.7713094514773431, 0.762863790841742]"
