label,Cost,Test R2
elevation,1000,0.26985675470245163
elevation,1000,0.22502367039129978
elevation,1000,0.09669094433823355
elevation,1000,0.18910648107930783
elevation,1000,0.27832375301626766
elevation,1500,0.25455361557931977
elevation,1500,0.2675175927879665
elevation,1500,0.24261367657624466
elevation,1500,0.2679869438147582
elevation,1500,0.2628524755817576
elevation,2000,0.288484814696249
elevation,2000,0.2387949208373007
elevation,2000,0.2772328118579539
elevation,2000,0.2688485257355848
elevation,2000,0.27092995930686226
elevation,2500,0.28592548940098095
elevation,2500,0.30263821532586277
elevation,2500,0.31096602573392274
elevation,2500,0.30587460681775214
elevation,2500,0.27790263891645695
elevation,3000,0.35754452465012765
elevation,3000,0.3283555835124694
elevation,3000,0.359890347062076
elevation,3000,0.35373849820289216
elevation,3000,0.36738861238153464
elevation,3500,0.3972719100666877
elevation,3500,0.40090429073318
elevation,3500,0.44077999338575635
elevation,3500,0.39135466284482345
elevation,3500,0.40426289213653654
elevation,4000,0.4408872506482753
elevation,4000,0.4364480755033123
elevation,4000,0.48060555710891073
elevation,4000,0.4653972744162239
elevation,4000,0.4903704009488362
elevation,4500,0.4632588872269091
elevation,4500,0.45753995556236193
elevation,4500,0.5091395832182646
elevation,4500,0.5110627574332058
elevation,4500,0.5164091641429902
elevation,500,0.20206285856377204
elevation,500,0.20417249000224247
elevation,500,-0.010073231747085298
elevation,500,0.010149625070755453
elevation,500,0.21386699701529832
elevation,5000,0.5043990919062318
elevation,5000,0.46754330300284597
elevation,5000,0.5149908811834965
elevation,5000,0.5360978394928329
elevation,5000,0.5238725271026309
population,1000,-2.940189261179203
population,1000,-3.054970882597166
population,1000,-2.9501192074464053
population,1000,-3.129779322571445
population,1000,-3.0481515072354988
population,1500,-2.838156784936386
population,1500,-2.894717482108665
population,1500,-3.0094171611934017
population,1500,-2.9154728535609307
population,1500,-2.9367952896416725
population,2000,-2.777007190880675
population,2000,-3.003998806467857
population,2000,-3.0239891579608944
population,2000,-2.9977192700378144
population,2000,-2.972892322026193
population,2500,-2.8866789837887428
population,2500,-2.873509619571599
population,2500,-2.9070787408234637
population,2500,-2.8549522447494775
population,2500,-2.9294176438493658
population,2995,-1.7952180550043608
population,2995,-1.6511749948562602
population,2995,-1.900264691057978
population,2995,-1.6931271526365355
population,2995,-1.640899908871293
population,3495,-1.0037334124513957
population,3495,-1.0473016277825855
population,3495,-1.1392417323850617
population,3495,-1.02792958439773
population,3495,-1.1251257970638489
population,3995,-0.6544719136689361
population,3995,-0.6718168745063693
population,3995,-0.7235387774870417
population,3995,-0.687077991184696
population,3995,-0.7495344651507991
population,4495,-0.44013817604665784
population,4495,-0.4304738830721013
population,4495,-0.4780670661645483
population,4495,-0.48450099994066576
population,4495,-0.5181815685265114
population,4995,-0.26789202123510636
population,4995,-0.24603832459328245
population,4995,-0.3216727630113163
population,4995,-0.30254881721338145
population,4995,-0.3532673900061831
population,500,-3.0532710347199377
population,500,-3.1612223488380664
population,500,-2.8946125923431847
population,500,-3.06914969292003
population,500,-2.9521958477559918
treecover,1000,0.7721503540789326
treecover,1000,0.7951297613686439
treecover,1000,0.75526419574899
treecover,1000,0.7787439754357337
treecover,1000,0.785045187098284
treecover,1500,0.788005486191248
treecover,1500,0.7963535722532663
treecover,1500,0.7845958693875036
treecover,1500,0.8025945314357471
treecover,1500,0.7992854355585113
treecover,2000,0.8055791920753959
treecover,2000,0.810392738830749
treecover,2000,0.8031832777759522
treecover,2000,0.8087881497816773
treecover,2000,0.8047318404081276
treecover,2500,0.8185842342817052
treecover,2500,0.8204365589172785
treecover,2500,0.8176497252771531
treecover,2500,0.820878178904963
treecover,2500,0.8182335808366537
treecover,3000,0.8225613316847474
treecover,3000,0.8139076097149464
treecover,3000,0.8226416600502837
treecover,3000,0.8269562139384453
treecover,3000,0.8307339022912759
treecover,3500,0.8304832447154119
treecover,3500,0.8177873955596373
treecover,3500,0.8370621220309435
treecover,3500,0.8317716953219972
treecover,3500,0.8366742619038557
treecover,4000,0.8361667479252846
treecover,4000,0.8232304764937451
treecover,4000,0.8410322003737148
treecover,4000,0.8364922139104058
treecover,4000,0.8387029376023063
treecover,4500,0.8445965298383429
treecover,4500,0.8335717311216725
treecover,4500,0.8451711287446806
treecover,4500,0.8395136638945935
treecover,4500,0.8409889283873014
treecover,500,0.7184638707445952
treecover,500,0.7473066477349031
treecover,500,0.7727453852080419
treecover,500,0.7230938602617936
treecover,500,0.743832362021214
treecover,5000,0.8528524545879862
treecover,5000,0.8393346301343957
treecover,5000,0.8509982589472819
treecover,5000,0.8452631068353503
treecover,5000,0.8457594763852974
