label,Cost,Test R2
elevation,100.0,-0.5404445728116996
elevation,100.0,-0.5287650279012701
elevation,1000.0,-0.712167801610361
elevation,1000.0,-0.712167801610361
elevation,1001.0,-0.7100842566552068
elevation,1001.0,-0.7100842566552068
elevation,101.0,-0.5278332400831056
elevation,1099.0,-0.6389350188171343
elevation,1100.0,-0.64123613557035
elevation,1100.0,-0.64123613557035
elevation,1100.0,-0.64123613557035
elevation,1100.0,-0.6421096150907228
elevation,1200.0,-0.6174297557173394
elevation,1200.0,-0.6169419074014868
elevation,1200.0,-0.6169419074014868
elevation,1201.0,-0.6175895891772976
elevation,1201.0,-0.6175895891772976
elevation,1299.0,-0.6279452891894239
elevation,1300.0,-0.6326092677291053
elevation,1300.0,-0.6306947117810524
elevation,1300.0,-0.6326092677291053
elevation,1301.0,-0.6327698905725123
elevation,1399.0,-0.64196260926886
elevation,1399.0,-0.64196260926886
elevation,1400.0,-0.6426654609229934
elevation,1400.0,-0.6426654609229934
elevation,1400.0,-0.6426654609229934
elevation,1499.0,-0.6169277081753932
elevation,1500.0,-0.6164866325746932
elevation,1500.0,-0.6164866325746932
elevation,1500.0,-0.6215042892997888
elevation,1500.0,-0.6164866325746932
elevation,199.0,-0.6167070084240758
elevation,199.0,-0.6167070084240758
elevation,200.0,-0.6402918525171828
elevation,200.0,-0.6358929302888701
elevation,201.0,-0.6582559307865521
elevation,300.0,-0.6432479042750574
elevation,300.0,-0.651751054102895
elevation,300.0,-0.651751054102895
elevation,301.0,-0.6588057244078458
elevation,301.0,-0.6588057244078458
elevation,399.0,-0.6233710674441411
elevation,400.0,-0.6214115435413214
elevation,400.0,-0.6214115435413214
elevation,400.0,-0.6214115435413214
elevation,400.0,-0.6214115435413214
elevation,500.0,-0.5944138158564847
elevation,500.0,-0.5944138158564847
elevation,500.0,-0.5944138158564847
elevation,500.0,-0.5944138158564847
elevation,501.0,-0.6042993295115404
elevation,599.0,-0.615970948216717
elevation,599.0,-0.615970948216717
elevation,600.0,-0.615011533634781
elevation,600.0,-0.615011533634781
elevation,601.0,-0.6150198078499318
elevation,699.0,-0.564038891155479
elevation,700.0,-0.5642715060932777
elevation,700.0,-0.5642715060932777
elevation,700.0,-0.5642715060932777
elevation,701.0,-0.5600934382953708
elevation,800.0,-0.6398625364166817
elevation,800.0,-0.636766789063572
elevation,800.0,-0.636766789063572
elevation,800.0,-0.6398625364166817
elevation,801.0,-0.6380853515106186
elevation,900.0,-0.6644367131295055
elevation,900.0,-0.6644367131295055
elevation,900.0,-0.6644367131295055
elevation,900.0,-0.6644367131295055
elevation,900.0,-0.6644367131295055
elevation,99.0,-0.5432887982122647
elevation,99.0,-0.5432887982122647
elevation,999.0,-0.7103041118170303
population,1000.0,-0.17127565213235063
population,101.0,-0.2764277716305159
population,1100.0,-0.16081250351406018
population,1100.0,-0.16081250351406018
population,1100.0,-0.16081250351406018
population,1100.0,-0.16081250351406018
population,1100.0,-0.16081250351406018
population,1200.0,-0.16332883552407895
population,1200.0,-0.15182878456216176
population,1200.0,-0.16332883552407895
population,1200.0,-0.16332883552407895
population,1200.0,-0.16332883552407895
population,1299.0,-0.1683877031252754
population,1299.0,-0.1683877031252754
population,1300.0,-0.16657202571229135
population,1300.0,-0.16657202571229135
population,1300.0,-0.16657202571229135
population,1399.0,-0.2934445454430257
population,1399.0,-0.2934445454430257
population,1400.0,-0.29317461109609977
population,1401.0,-0.29313188398423606
population,1401.0,-0.29313188398423606
population,1499.0,-0.3356580239456928
population,1500.0,-0.33556684966793027
population,1500.0,-0.33556684966793027
population,1500.0,-0.33556684966793027
population,1500.0,-0.33556684966793027
population,199.0,-0.005448409194703796
population,199.0,-0.005448409194703796
population,200.0,0.022073955151679314
population,200.0,-0.12149484789911003
population,200.0,-0.12149484789911003
population,299.0,0.08974629142188095
population,299.0,0.08974629142188095
population,299.0,0.08974629142188095
population,300.0,0.044696245938336765
population,300.0,0.044696245938336765
population,399.0,-0.032823362777193665
population,399.0,-0.032823362777193665
population,400.0,-0.015391087768956035
population,400.0,-0.015391087768956035
population,400.0,-0.015391087768956035
population,499.0,-0.0953704444670942
population,499.0,-0.0953704444670942
population,500.0,-0.0743133885183418
population,501.0,-0.06296085925010564
population,501.0,-0.06296085925010564
population,599.0,-0.12829631372755457
population,600.0,-0.13299416909117912
population,600.0,-0.122771843594224
population,600.0,-0.122771843594224
population,600.0,-0.13299416909117912
population,699.0,-0.20246465229323696
population,699.0,-0.20246465229323696
population,700.0,-0.18635711282133438
population,700.0,-0.17319857438018027
population,701.0,-0.1512984125720367
population,799.0,-0.1436632596469165
population,800.0,-0.14203562561996796
population,800.0,-0.14203562561996796
population,800.0,-0.14203562561996796
population,800.0,-0.14203562561996796
population,899.0,-0.22392591948198137
population,899.0,-0.22392591948198137
population,900.0,-0.18028938366268688
population,900.0,-0.18028938366268688
population,900.0,-0.18028938366268688
population,99.0,-0.4061951479414754
population,99.0,-0.4061951479414754
population,99.0,-0.4061951479414754
population,99.0,-0.4061951479414754
population,999.0,-0.14976045626429668
population,999.0,-0.14976045626429668
population,999.0,-0.14976045626429668
population,999.0,-0.14976045626429668
treecover,100.0,-0.6217777315614454
treecover,100.0,-0.5492507633297912
treecover,1000.0,0.07812186345432648
treecover,1000.0,0.07812186345432648
treecover,1001.0,0.10402971537968109
treecover,1001.0,0.10402971537968109
treecover,101.0,-0.4298402261798744
treecover,1099.0,0.12025792481234665
treecover,1100.0,0.11943324251448595
treecover,1100.0,0.11943324251448595
treecover,1100.0,0.11943324251448595
treecover,1100.0,0.10768692982348127
treecover,1200.0,0.12979214345266288
treecover,1200.0,0.14002763274814845
treecover,1200.0,0.14002763274814845
treecover,1201.0,0.14104487919489628
treecover,1201.0,0.14104487919489628
treecover,1299.0,0.1761860734549925
treecover,1300.0,0.1652591023415415
treecover,1300.0,0.17560634694256194
treecover,1300.0,0.1652591023415415
treecover,1301.0,0.1519709661744304
treecover,1399.0,0.12591656023176734
treecover,1399.0,0.12591656023176734
treecover,1400.0,0.12746715625108773
treecover,1400.0,0.12746715625108773
treecover,1400.0,0.12746715625108773
treecover,1499.0,0.15111180264509094
treecover,1500.0,0.14236065124497055
treecover,1500.0,0.14236065124497055
treecover,1500.0,0.15081380604423156
treecover,1500.0,0.14236065124497055
treecover,199.0,-0.16440016342150066
treecover,199.0,-0.16440016342150066
treecover,200.0,-0.1713357786655325
treecover,200.0,-0.2017077183733711
treecover,201.0,-0.24813628961716394
treecover,300.0,-0.11605541969973898
treecover,300.0,-0.1502265998843697
treecover,300.0,-0.1502265998843697
treecover,301.0,-0.2083163720842678
treecover,301.0,-0.2083163720842678
treecover,399.0,0.11083224818978754
treecover,400.0,0.09685334816448876
treecover,400.0,0.09685334816448876
treecover,400.0,0.09685334816448876
treecover,400.0,0.09685334816448876
treecover,500.0,-0.010382741682401608
treecover,500.0,-0.010382741682401608
treecover,500.0,-0.010382741682401608
treecover,500.0,-0.010382741682401608
treecover,501.0,0.04635930760595186
treecover,599.0,0.028064776846651318
treecover,599.0,0.028064776846651318
treecover,600.0,-0.007435621378931723
treecover,600.0,-0.007435621378931723
treecover,601.0,0.027743420576072597
treecover,699.0,0.0843881136584389
treecover,700.0,0.05886284584610113
treecover,700.0,0.05886284584610113
treecover,700.0,0.05886284584610113
treecover,701.0,0.05915725628740509
treecover,800.0,0.037224967989600954
treecover,800.0,0.01018121914752157
treecover,800.0,0.01018121914752157
treecover,800.0,0.037224967989600954
treecover,801.0,-0.014155557239771577
treecover,900.0,0.023210109854427285
treecover,900.0,0.023210109854427285
treecover,900.0,0.023210109854427285
treecover,900.0,0.023210109854427285
treecover,900.0,0.023210109854427285
treecover,99.0,-0.37055325410752715
treecover,99.0,-0.37055325410752715
treecover,999.0,0.04676647115691657
