label,Cost,Test R2
elevation,100.0,0.008948779677593888
elevation,1000.0,-0.08629592138615472
elevation,1000.0,-0.08181095064381272
elevation,1001.0,-0.07590116799162394
elevation,101.0,-0.038702079693491376
elevation,101.0,0.08332030865441986
elevation,102.0,0.006838632735043704
elevation,1098.0,-0.07076421157058643
elevation,1099.0,-0.07103883935642452
elevation,1099.0,-0.07075732126219525
elevation,1100.0,-0.06990779765217092
elevation,1101.0,-0.07009652371228325
elevation,1198.0,-0.04806317589372955
elevation,1199.0,-0.04793396653391091
elevation,1200.0,-0.04697421243673583
elevation,1201.0,-0.046972285206896336
elevation,1201.0,-0.047241826752685956
elevation,1299.0,-0.04248300002233951
elevation,1300.0,-0.037333617525873164
elevation,1301.0,-0.03745475853690183
elevation,1301.0,-0.04511331000695762
elevation,1301.0,-0.03745475853690183
elevation,1398.0,-0.028029587774281772
elevation,1399.0,-0.02776067964290374
elevation,1400.0,-0.028451673644073416
elevation,1400.0,-0.02814040840566756
elevation,1401.0,-0.02813008928771321
elevation,1499.0,-0.03709876078617125
elevation,1499.0,-0.03709876078617125
elevation,1500.0,-0.03514731226305856
elevation,1500.0,-0.03511774059249584
elevation,1500.0,-0.03511774059249584
elevation,199.0,-0.07905367452873935
elevation,201.0,0.0035365918462655355
elevation,201.0,0.0035365918462655355
elevation,202.0,0.017261406380336464
elevation,202.0,0.017261406380336464
elevation,298.0,0.010787730335203194
elevation,299.0,0.026313974776189575
elevation,299.0,0.017509932373071857
elevation,299.0,-0.005843411766085493
elevation,300.0,0.030948293184979048
elevation,399.0,-0.007371151319656599
elevation,399.0,-0.008430158971082902
elevation,400.0,-0.0029874125679496544
elevation,401.0,-0.004109827603276939
elevation,401.0,-0.006320560147671017
elevation,497.0,-0.04587445519225586
elevation,499.0,-0.03723132371376692
elevation,499.0,-0.03856117768057343
elevation,501.0,-0.06861593903651309
elevation,501.0,-0.057926787639989374
elevation,599.0,-0.06887257518367074
elevation,599.0,-0.06671000735626409
elevation,600.0,-0.08159623081695555
elevation,600.0,-0.06950888739412209
elevation,601.0,-0.06622622488439855
elevation,698.0,-0.08264743917778472
elevation,699.0,-0.08248012105251168
elevation,699.0,-0.08170729263854049
elevation,700.0,-0.07748400735384542
elevation,701.0,-0.08109189777871206
elevation,799.0,-0.10130690378423601
elevation,800.0,-0.08993235744609573
elevation,800.0,-0.08877404005505363
elevation,801.0,-0.1033402350550181
elevation,802.0,-0.08935973458762647
elevation,899.0,-0.09900932784613903
elevation,899.0,-0.09367623516127876
elevation,900.0,-0.10344446240282079
elevation,901.0,-0.09000247817309681
elevation,902.0,-0.0945057949758179
elevation,98.0,0.07102360543911235
elevation,998.0,-0.08647391886034939
elevation,999.0,-0.08275795607826275
population,100.0,0.22289751818303072
population,100.0,0.22289751818303072
population,1000.0,0.5086621739968721
population,1000.0,0.5089540899347096
population,1000.0,0.5086623295863723
population,1001.0,0.506809508325067
population,1001.0,0.5089136044280114
population,101.0,0.1944581137854703
population,101.0,0.1944581137854703
population,1099.0,0.5119055573051998
population,1100.0,0.5128230115968992
population,1100.0,0.5112145206686141
population,1100.0,0.5112145206686141
population,1100.0,0.5111900155237703
population,1199.0,0.5188768078616377
population,1200.0,0.5172110247298384
population,1200.0,0.5172110247298384
population,1201.0,0.5168912106364598
population,1202.0,0.5174230852144195
population,1300.0,0.5255562465886809
population,1300.0,0.5255562465886809
population,1301.0,0.5270851536534227
population,1302.0,0.5260900606177463
population,1302.0,0.5260900606177463
population,1400.0,0.5246840353464586
population,1400.0,0.5226210032681954
population,1400.0,0.5228741902472349
population,1400.0,0.5228741902472349
population,1401.0,0.5227579736693777
population,1500.0,0.5269458803728575
population,1501.0,0.528681413104532
population,1501.0,0.5298272912526156
population,1501.0,0.5298272912526156
population,1502.0,0.5262185358768288
population,199.0,0.27528830932894277
population,200.0,0.3966965394569796
population,200.0,0.2751129015245729
population,201.0,0.4081351511747212
population,201.0,0.28106851951646306
population,299.0,0.3940886126464017
population,299.0,0.3940886126464017
population,301.0,0.4188129496353382
population,301.0,0.396762207279046
population,302.0,0.4093901001408572
population,399.0,0.45198732099339956
population,399.0,0.4474658486516574
population,400.0,0.4402336245797608
population,401.0,0.421732183232038
population,402.0,0.44634118647829035
population,498.0,0.45561072462014385
population,500.0,0.4723264463377892
population,500.0,0.4723264463377892
population,501.0,0.4670441448611099
population,501.0,0.46049483463926877
population,598.0,0.4620450567810964
population,599.0,0.4676819094917386
population,600.0,0.4637171644892476
population,600.0,0.46340351651891276
population,602.0,0.4814246801730596
population,697.0,0.4929761159758146
population,699.0,0.4998085579655318
population,700.0,0.49136714203650056
population,701.0,0.49418028072153675
