label,Test R2
elevation;cost100.0,"[-0.9414387369402153, -0.8803906487012703, -0.9377476716738407]"
elevation;cost1000.0,"[0.09430176163138237, 0.08651503029059937, 0.0859576110740663]"
elevation;cost1002.0,[0.08041513862600325]
elevation;cost1098.0,[0.0743030003959897]
elevation;cost1099.0,"[0.052350104747403536, 0.08844127007461511]"
elevation;cost1100.0,[0.08741890720760681]
elevation;cost1101.0,[0.08303244402184129]
elevation;cost1200.0,"[0.08276076903589513, 0.0631448972687697, 0.0631448972687697, 0.07727705666362772]"
elevation;cost1202.0,[0.06240788684925691]
elevation;cost1298.0,"[-0.09202031804150645, -0.09390453338078597]"
elevation;cost1299.0,[-0.063353996374788]
elevation;cost1300.0,[-0.05107167805700552]
elevation;cost1301.0,[-0.03717824405186998]
elevation;cost1399.0,[0.0072179767028938135]
elevation;cost1400.0,[-0.009716378770563416]
elevation;cost1401.0,[-0.004747942307260944]
elevation;cost1402.0,"[-0.016414835310633702, -0.016414835310633702]"
elevation;cost1499.0,"[0.0009611799204193305, -0.0004719060279232412]"
elevation;cost1500.0,"[0.0033358169555470774, 0.018697716913914197, 0.006291033944127222]"
elevation;cost198.0,[-0.6673220582087287]
elevation;cost199.0,[-0.6049364143569391]
elevation;cost200.0,"[-0.4509925018592369, -0.49260823183240476]"
elevation;cost201.0,[-0.49341067541254047]
elevation;cost298.0,[-0.26099881524711943]
elevation;cost299.0,[-0.19676074635814977]
elevation;cost300.0,[-0.1785152850201368]
elevation;cost301.0,"[-0.2617247518466581, -0.19407055375744275]"
elevation;cost398.0,[-0.09550989972971391]
elevation;cost401.0,"[-0.1158687831538392, -0.10157172387312219, -0.10801015042867723]"
elevation;cost402.0,[-0.22064254847274367]
elevation;cost499.0,"[-0.011158582781436222, -0.08677478519228865]"
elevation;cost501.0,"[-0.0007888100453066205, -0.013152220261275938, -0.029029427050539347]"
elevation;cost598.0,[-0.02561092168438006]
elevation;cost599.0,[-0.026442225365117977]
elevation;cost600.0,"[0.04956527664990373, 0.026082430972201864, 0.027067210592332414]"
elevation;cost698.0,[-0.05172347554507506]
elevation;cost699.0,"[-0.007717914861759878, -0.027262307499603455]"
elevation;cost700.0,"[-0.006304202603638398, 0.013674140727449435]"
elevation;cost799.0,[0.034562217696755604]
elevation;cost800.0,"[0.0239725834430089, 0.025929839887701034]"
elevation;cost801.0,[0.013244165306581679]
elevation;cost802.0,[0.03156296774329992]
elevation;cost899.0,"[0.09423595070289958, 0.09703160587394477]"
elevation;cost900.0,"[0.09903982021995295, 0.10023749162804452]"
elevation;cost902.0,[0.09407181163449452]
elevation;cost98.0,[-0.9447644843072414]
elevation;cost99.0,[-0.6486414290468312]
elevation;cost999.0,[0.08532952031795848]
population;cost100.0,"[-0.027752101489629588, -0.027752101489629588]"
population;cost1000.0,"[0.41383729880605014, 0.40878952946482194]"
population;cost1001.0,"[0.4133276049941297, 0.40933026543041395]"
population;cost101.0,[-0.031682597688243996]
population;cost1099.0,"[0.3824821268851516, 0.3824821268851516]"
population;cost1100.0,"[0.394842394017185, 0.394842394017185]"
population;cost1101.0,[0.38993139752376427]
population;cost1200.0,[0.408798051477827]
