label,Test R2
elevation;cost100.0,"[-0.2955558754355063, -0.28441045340881743]"
elevation;cost1000.0,"[-0.6302010622435303, -0.6291015317437172, -0.6302010622435303]"
elevation;cost1001.0,[-0.6377597891862941]
elevation;cost101.0,[-0.27037851982867855]
elevation;cost1099.0,"[-0.5617219046083293, -0.5652735453780577, -0.5652735453780577, -0.5518559739276905]"
elevation;cost1100.0,[-0.5523367406424349]
elevation;cost1199.0,[-0.6484421185667535]
elevation;cost1200.0,"[-0.6553137398831972, -0.6553137398831972, -0.6553137398831972]"
elevation;cost1201.0,[-0.6510029607077825]
elevation;cost1299.0,"[-0.6358503795786572, -0.6303814093017972, -0.6358503795786572]"
elevation;cost1301.0,"[-0.6442812340482784, -0.6442812340482784]"
elevation;cost1399.0,[-0.6220721646704035]
elevation;cost1400.0,"[-0.6224911213403492, -0.6224911213403492]"
elevation;cost1401.0,"[-0.6213084263211859, -0.6213084263211859]"
elevation;cost1498.0,[-0.6748626092215921]
elevation;cost1499.0,[-0.6786735331106506]
elevation;cost1500.0,"[-0.6745379202075514, -0.6768596600286885, -0.6732464973939596]"
elevation;cost199.0,[-0.3540521499518898]
elevation;cost200.0,"[-0.38011403564787716, -0.3556592364800575, -0.3556592364800575, -0.4324935094674782]"
elevation;cost299.0,[-0.3913979409551078]
elevation;cost300.0,"[-0.3801278906422696, -0.36929714193210583, -0.37074212453864863]"
elevation;cost301.0,[-0.37142599137369126]
elevation;cost398.0,[-0.46088049573128775]
elevation;cost399.0,[-0.45684980638494377]
elevation;cost400.0,"[-0.4574327004030099, -0.4596383562751183, -0.4596383562751183]"
elevation;cost498.0,[-0.5864623629078418]
elevation;cost499.0,"[-0.5688616526794161, -0.5903187963747369]"
elevation;cost500.0,[-0.5554091785894477]
elevation;cost501.0,[-0.5367048258362974]
elevation;cost599.0,[-0.6359858570434007]
elevation;cost600.0,"[-0.6580802895412776, -0.6556376532448436, -0.6613736320130763]"
elevation;cost601.0,[-0.6373691164793112]
elevation;cost699.0,"[-0.6429551523732349, -0.6487597650310826, -0.6429551523732349]"
elevation;cost700.0,[-0.6305196680697163]
elevation;cost701.0,[-0.6546784470055096]
elevation;cost798.0,[-0.6681124781926309]
elevation;cost799.0,"[-0.6644508552200277, -0.6644508552200277]"
elevation;cost800.0,"[-0.6636626519253952, -0.6643088817832432]"
elevation;cost898.0,[-0.6728283006211961]
elevation;cost900.0,"[-0.63454785652535, -0.63454785652535, -0.6562523572426555, -0.63454785652535]"
elevation;cost99.0,"[-0.3774218030366818, -0.3584905045464646]"
elevation;cost999.0,[-0.624257230721635]
population;cost100.0,"[-0.2702151048314878, -0.39484571976208427]"
population;cost1000.0,"[-0.1529362908262879, -0.15730036567645667, -0.14854329894766027, -0.1529362908262879]"
population;cost101.0,[-0.25235212709344923]
population;cost1099.0,[-0.2107927258077762]
population;cost1100.0,"[-0.19012815728953725, -0.19526167741411626]"
population;cost1101.0,"[-0.173693457042835, -0.173693457042835]"
population;cost1199.0,[-0.19517400022118458]
population;cost1200.0,"[-0.2297152722803546, -0.20940446677479807]"
population;cost1201.0,"[-0.23190616385450125, -0.23190616385450125]"
population;cost1299.0,[-0.18844693351570152]
population;cost1300.0,"[-0.1782754445406025, -0.1782754445406025]"
population;cost1301.0,"[-0.23280815099795915, -0.23280815099795915]"
population;cost1399.0,[-0.2734316463872064]
population;cost1400.0,"[-0.2586029414215303, -0.2736785840227087, -0.2586029414215303, -0.2586029414215303]"
population;cost1499.0,[-0.20167181002077683]
population;cost1500.0,"[-0.18869885988432644, -0.1877980726529962, -0.20193690598047587, -0.20193690598047587]"
population;cost199.0,[0.019973366845939977]
population;cost200.0,"[-0.13754195004565073, -0.21655337967687505, -0.13754195004565073]"
population;cost202.0,[-0.13782992307056308]
population;cost298.0,[-0.017763519564279795]
