label,Test R2
elevation;cost100.0,[0.1939241406440091]
elevation;cost1000.0,[0.26802972310530404]
elevation;cost1001.0,[0.26602022306616524]
elevation;cost1002.0,"[0.2662845321476143, 0.2685029293650506]"
elevation;cost1003.0,[0.26813267192896184]
elevation;cost1099.0,"[0.2526874660421159, 0.2522738983269056]"
elevation;cost1100.0,[0.2537073897155232]
elevation;cost1101.0,[0.2536370356847626]
elevation;cost1102.0,[0.2521435593807251]
elevation;cost1199.0,[0.2473403090875278]
elevation;cost1201.0,"[0.24708772997986006, 0.2447147112563136, 0.24708772997986006, 0.2462108275793028]"
elevation;cost1299.0,"[0.2519886417833931, 0.2519886417833931]"
elevation;cost1300.0,"[0.2529272484651611, 0.25547309362248194]"
elevation;cost1301.0,[0.25504001869664816]
elevation;cost1399.0,[0.26829109237939275]
elevation;cost1400.0,[0.2681611948391348]
elevation;cost1401.0,"[0.26750712286144107, 0.26679057754829316, 0.26750712286144107]"
elevation;cost1498.0,[0.2642574919931798]
elevation;cost1499.0,"[0.26281184884083075, 0.2624363491766961]"
elevation;cost1501.0,[0.2629289116379864]
elevation;cost1502.0,[0.2628981462594686]
elevation;cost198.0,[0.27990779926682074]
elevation;cost199.0,[0.2735811512136882]
elevation;cost201.0,"[0.29071423767561855, 0.28503181998502825]"
elevation;cost202.0,[0.29302351730974263]
elevation;cost299.0,"[0.30313855598259876, 0.3071665850615588]"
elevation;cost300.0,"[0.3062244947342606, 0.3052867334080983]"
elevation;cost302.0,[0.3088554810360249]
elevation;cost398.0,[0.31655783419470374]
elevation;cost400.0,"[0.31372081312620403, 0.3122384843295257, 0.3122384843295257, 0.31283620862227557]"
elevation;cost500.0,"[0.3054831119539496, 0.31303462186590114, 0.3078244696692469]"
elevation;cost501.0,"[0.3100253630836781, 0.30581786562202373]"
elevation;cost599.0,[0.2897025764947656]
elevation;cost600.0,"[0.28931827024995815, 0.28931827024995815, 0.2896379736854956, 0.2900712716910344]"
elevation;cost698.0,[0.28712063410533284]
elevation;cost699.0,"[0.2859775658761138, 0.28564986357702304]"
elevation;cost700.0,[0.2866143404805752]
elevation;cost702.0,[0.2862627783737183]
elevation;cost799.0,"[0.27979693590108656, 0.28133334228988816, 0.28133334228988816]"
elevation;cost801.0,[0.2800271852620426]
elevation;cost802.0,[0.27935995346048526]
elevation;cost899.0,"[0.2577399522090186, 0.2577462672164773, 0.257076389122614]"
elevation;cost901.0,[0.25791783273236013]
elevation;cost903.0,[0.25746995805271167]
elevation;cost98.0,"[0.18253936677540972, 0.18894657826160421, 0.18894657826160421]"
elevation;cost99.0,[0.1841016549863057]
population;cost100.0,"[0.4383585928771795, 0.4394447701806613]"
population;cost1000.0,"[0.5233731986701462, 0.5192615112896051]"
population;cost101.0,"[0.44679431317868856, 0.44679431317868856]"
population;cost1099.0,"[0.5270498368875567, 0.5256098137957841]"
population;cost1101.0,"[0.5289483009933459, 0.5289483009933459]"
population;cost1102.0,[0.5279437589258555]
population;cost1198.0,[0.5275448307405396]
population;cost1199.0,"[0.5346947142021281, 0.533945920536506, 0.5346947142021281, 0.5354543500060011]"
population;cost1299.0,"[0.5241373412538662, 0.5241373412538662]"
population;cost1300.0,"[0.5260993216296637, 0.5238357448073221]"
population;cost1301.0,[0.52386585344865]
population;cost1398.0,"[0.5263672216106818, 0.5264918677549952]"
population;cost1399.0,"[0.527977845425484, 0.5232415790029139]"
population;cost1401.0,[0.5231548779458532]
population;cost1499.0,[0.5272094334366673]
population;cost1500.0,"[0.527346137318137, 0.5272230152210966]"
population;cost1501.0,"[0.5311561210460031, 0.5311328219207312]"
population;cost199.0,"[0.4032789303169747, 0.4032789303169747, 0.399498427786959, 0.4032789303169747]"
population;cost201.0,[0.384622211478467]
population;cost299.0,"[0.4620078122943021, 0.4620078122943021, 0.4620078122943021]"
population;cost300.0,"[0.45781377531430456, 0.4548229845786552]"
population;cost400.0,"[0.4863163537288593, 0.49009789488451083, 0.49009789488451083, 0.48504177504302937, 0.4850313042097514]"
population;cost500.0,[0.49566237998090357]
population;cost501.0,"[0.49017010074064915, 0.4954785673362261]"
population;cost502.0,"[0.49022490851168654, 0.4878503190018262]"
population;cost598.0,[0.49733470192534357]
population;cost599.0,"[0.4984110822033816, 0.4979362975665741]"
population;cost602.0,"[0.49900152475134096, 0.4935726850611304]"
population;cost699.0,"[0.4957417005457867, 0.4974921315866281, 0.49665791135433146, 0.49568625720612913]"
population;cost702.0,[0.49799134674894574]
population;cost800.0,"[0.5180821643150133, 0.5145404114886243, 0.5156131889474058]"
population;cost801.0,"[0.5183924076606901, 0.5185324631821262]"
population;cost899.0,[0.5328590017243725]
population;cost900.0,"[0.5334712583900885, 0.5334712583900885]"
population;cost901.0,"[0.5311469199019763, 0.5331111398840408]"
population;cost99.0,[0.4361876567161497]
population;cost999.0,"[0.5226162212364169, 0.5226162212364169, 0.522669729017905]"
treecover;cost100.0,[0.6166565102453209]
treecover;cost1000.0,[0.7755987233500576]
treecover;cost1001.0,[0.7788398728951074]
treecover;cost1002.0,"[0.7773021913012563, 0.7771332568534364]"
treecover;cost1003.0,[0.7759599511706512]
treecover;cost1099.0,"[0.7741990440523625, 0.7738921333536042]"
treecover;cost1100.0,[0.7758835167072365]
treecover;cost1101.0,[0.7747423100107472]
treecover;cost1102.0,[0.7722069720105592]
treecover;cost1199.0,[0.7755046009756549]
treecover;cost1201.0,"[0.7772036830815854, 0.777076480172559, 0.7772036830815854, 0.7770227545787505]"
treecover;cost1299.0,"[0.7809127861786065, 0.7809127861786065]"
treecover;cost1300.0,"[0.7811234904074336, 0.7816078623070796]"
treecover;cost1301.0,[0.7821941054397142]
treecover;cost1399.0,[0.7823093545654805]
treecover;cost1400.0,[0.782163780750224]
treecover;cost1401.0,"[0.7823623919751569, 0.7828154944445622, 0.7823623919751569]"
treecover;cost1498.0,[0.788497103727133]
treecover;cost1499.0,"[0.7887574366678733, 0.7888430122064493]"
treecover;cost1501.0,[0.7887777011076365]
treecover;cost1502.0,[0.7886912528997101]
treecover;cost198.0,[0.7121023862138648]
treecover;cost199.0,[0.7012388628614992]
treecover;cost201.0,"[0.6916422239722297, 0.7151538914658149]"
treecover;cost202.0,[0.7068020240583961]
treecover;cost299.0,"[0.7577406009836735, 0.7558141683631254]"
treecover;cost300.0,"[0.749412674825613, 0.750160358404339]"
treecover;cost302.0,[0.7607730872270573]
treecover;cost398.0,[0.7596802281552972]
treecover;cost400.0,"[0.7597525662625808, 0.759822769989241, 0.759822769989241, 0.7592741524783386]"
treecover;cost500.0,"[0.7706409928076796, 0.7807737412075794, 0.7823155583825346]"
treecover;cost501.0,"[0.7780677188213913, 0.7837616290987203]"
treecover;cost599.0,[0.7623825968359845]
treecover;cost600.0,"[0.7579733556330996, 0.7579733556330996, 0.7543704326572723, 0.7628102857698988]"
treecover;cost698.0,[0.774160920913362]
treecover;cost699.0,"[0.7712100304393315, 0.7695991926360289]"
treecover;cost700.0,[0.7715757897740279]
treecover;cost702.0,[0.773501039716129]
treecover;cost799.0,"[0.7763096425765166, 0.778509159273231, 0.778509159273231]"
treecover;cost801.0,[0.773937232452769]
treecover;cost802.0,[0.7739351794920248]
treecover;cost899.0,"[0.7736203013980634, 0.7718886364260545, 0.7693946294269955]"
treecover;cost901.0,[0.7722143403125121]
treecover;cost903.0,[0.7753088343178044]
treecover;cost98.0,"[0.6278599406622444, 0.6377061230869687, 0.6377061230869687]"
treecover;cost99.0,[0.6255419573440035]
