label,Test R2
elevation;cost100.0,"[-0.16799783698215287, -0.3024700319182909, -0.006872957936199686, -0.14876338987706816, -0.11746355660344454]"
elevation;cost1000.0,"[-0.0338510624485715, -0.0013922470841614132, 0.038351197811540616, -0.045464092481867, 0.07164064482198773]"
elevation;cost1100.0,"[-0.03990511075644321, 0.015023059097767799, 0.050578120459302434, -0.027474320690356047, 0.0827816681212421]"
elevation;cost1200.0,"[-0.039540923063200895, -0.001555153177582591, 0.04783070190444105, -0.03850667948087083, 0.04518304814280305]"
elevation;cost1300.0,"[-0.05876932622921105, 0.00011150081453048521, 0.04286541876910133, -0.026144711112260355, 0.06317408459363594]"
elevation;cost1400.0,"[-0.03299742832689678, -0.007960652007571012, 0.04351027081190262, -0.0312749755500199, 0.06268936630094768]"
elevation;cost1500.0,"[-0.023821945122808996, -0.008315789117759431, 0.03769634645955533, -0.04086191693967245, 0.05950947945720164]"
elevation;cost200.0,"[-0.28860495624693994, -0.16995850028520487, -0.10619628152206384, -0.170275268458012, -0.0776300001346486]"
elevation;cost300.0,"[-0.18374088010254375, -0.21285246707403194, 0.01956339861271894, -0.08212550915295291, -0.0526009431454717]"
elevation;cost400.0,"[-0.2099682285523412, -0.17183171581866286, 0.025729043826185127, -0.09912411291397749, -0.023480303393985658]"
elevation;cost500.0,"[-0.08039415313988041, -0.1181925840523177, 0.011654970546577936, -0.07564663432904095, 0.022552927814280865]"
elevation;cost600.0,"[-0.05963615584482129, -0.02434409104083879, 0.020763620140148098, -0.07545661529399905, 0.02774673913554293]"
elevation;cost700.0,"[-0.032202942320148864, 0.005457454215595292, 0.014220984053528007, -0.06614097401939434, 0.02139975810186212]"
elevation;cost800.0,"[-0.03919511583282609, -0.001475101076312546, 0.04897360969717357, -0.06324545011950455, 0.031980798447119874]"
elevation;cost900.0,"[-0.0577697616445203, -0.012692874923358577, 0.02725003267485382, -0.04797546792408247, 0.0599866051265614]"
population;cost100.0,"[0.2998356008634886, 0.3594366044695074, 0.27429180525029706, 0.31232122510824833, 0.0204418986463204]"
population;cost1000.0,"[0.4553291100788106, 0.4748498714034438, 0.4625193069145974, 0.4690085407484159, 0.5014159160960161]"
population;cost1100.0,"[0.4603574661598917, 0.4789123382836441, 0.4698633872570881, 0.47246017202842927, 0.4958469393182775]"
population;cost1200.0,"[0.49286043118982237, 0.480797028384086, 0.4662540521065478, 0.4817334657425968, 0.49760386177274196]"
population;cost1300.0,"[0.4960946141450171, 0.4904683102158557, 0.47305281971355595, 0.4968543654176415, 0.503718667484373]"
population;cost1400.0,"[0.5100460794423349, 0.48686485070316277, 0.48384965457338336, 0.5005066022688043, 0.5081628318893214]"
population;cost1500.0,"[0.5121987142463491, 0.488817112563369, 0.5072787074747971, 0.5041390107320578, 0.5072147365156204]"
population;cost200.0,"[0.2905999084440307, 0.39138341263148824, 0.3918126344135532, 0.3828823001128947, 0.29837357504979967]"
population;cost300.0,"[0.35225244044512183, 0.4222199400392188, 0.39242301444163963, 0.41527047597897326, 0.3912797274407114]"
population;cost400.0,"[0.3828510284575678, 0.43933221655902455, 0.4039927184483614, 0.3977455335441289, 0.4309075433487155]"
population;cost500.0,"[0.43643591768343515, 0.4662400597904478, 0.434796444075067, 0.43312787528811103, 0.47216752242614535]"
population;cost600.0,"[0.43264540103474924, 0.4607951335188121, 0.449147278735601, 0.4375703312775593, 0.4767046037948891]"
population;cost700.0,"[0.43822285812935957, 0.4705818362582881, 0.44731268844857897, 0.45386984650045803, 0.468723598398307]"
population;cost800.0,"[0.4495931673086242, 0.4666817858066217, 0.45491834545167953, 0.4421445420334257, 0.47981925912051004]"
population;cost900.0,"[0.4580381964702822, 0.47308439564534877, 0.4584994981575877, 0.4581501631651449, 0.4979495239003193]"
treecover;cost100.0,"[0.5354521088410922, 0.5923210744779983, 0.6846737538798682, 0.22833855425331728, 0.4880504274169486]"
treecover;cost1000.0,"[0.7339790152352006, 0.7423574916269817, 0.7326033835256209, 0.7814017289523894, 0.7718474649430244]"
treecover;cost1100.0,"[0.7166722707926498, 0.7506777191721163, 0.7586749720427317, 0.7883051349667737, 0.7740059029003222]"
treecover;cost1200.0,"[0.7328750063769696, 0.7278484546965349, 0.7728637831284395, 0.7889443435692257, 0.7851304392105838]"
treecover;cost1300.0,"[0.7427523962741459, 0.7452386934735475, 0.7791769991845927, 0.7887666446049814, 0.797143237605213]"
treecover;cost1400.0,"[0.7534232963456052, 0.750468385642309, 0.7864310056974998, 0.7852455793798576, 0.7915205601903247]"
treecover;cost1500.0,"[0.7603403176949717, 0.7709898624927223, 0.7930698008910788, 0.7822738310875155, 0.7950574214362157]"
treecover;cost200.0,"[0.661596887986166, 0.6452883709451478, 0.5833280956685687, 0.5385679277002557, 0.7168612887413403]"
