label,Test R2
elevation;cost100.0,"[-0.7211216812679067, -0.24481504380022034, -0.4697733822597212, -2.4308958283969506, -0.33623933901207326]"
elevation;cost1000.0,"[0.037607134312879764, -0.07905725652850393, 0.002572371086039915, 0.17615708643360084, 0.06778410432553839]"
elevation;cost1100.0,"[-0.00026589057407133687, -0.041453348943398804, -0.07738255428857221, 0.1820205256587043, 0.018463093105287376]"
elevation;cost1200.0,"[-0.024865996547781766, -0.030330743530076143, -0.12556217359650335, 0.22083617975043224, 0.030663393889407087]"
elevation;cost1300.0,"[-0.04201443432673435, -0.04021036532121758, 0.2150274349822775, 0.20862795069028406, 0.06578559139585594]"
elevation;cost1400.0,"[-0.09880466874902338, -0.02111463662592228, 0.19050476086036028, 0.1428332081400514, 0.09076857805505134]"
elevation;cost1500.0,"[0.03615190758791165, 0.0009477845062845214, 0.17490269036868344, 0.1275557003581702, 0.1050162390149515]"
elevation;cost200.0,"[-0.49409070191082605, -0.10232731023964914, -0.6983342612398078, -0.2816845224191433, -0.21324655440558082]"
elevation;cost300.0,"[-0.29396852872027135, -0.16481944723305864, -0.2687711870521339, 0.10673640113307392, -0.1355733970838695]"
elevation;cost400.0,"[-0.11929056878575284, -0.11926118764699822, -0.14055602736838346, 0.037895869174748076, -0.2942121413817389]"
elevation;cost500.0,"[-0.13287850355961495, -0.05990799615128717, -0.13352246287492986, 0.06414832178841878, -0.06595565786581248]"
elevation;cost600.0,"[-0.11981567587595698, -0.043350651025302334, -0.21382472973992273, 0.049002293488410786, -0.013705724975509925]"
elevation;cost700.0,"[-0.05585625864516808, -0.0680441906786926, -0.0012372898648618236, 0.11305560300770623, 0.033557553536041174]"
elevation;cost800.0,"[-0.0163336944340986, -0.060192038366888134, 0.06693819448984673, 0.13668139970089288, 0.07010202663277454]"
elevation;cost900.0,"[0.0017825267890468899, -0.13661909209814205, 0.02047368522856674, 0.13239942565404983, 0.08252212302094186]"
population;cost100.0,"[0.08129677320511519, -0.3743970862000583, -0.14784876450174922, -0.04175683838365707, 0.09618125505534492]"
