label,Test R2
elevation;cost1002,"[0.3137584856417114, 0.3137584856417114, 0.3137584856417114, 0.3137584856417114, 0.3137584856417114]"
elevation;cost1498,"[0.38121860546256303, 0.38121860546256303, 0.38121860546256303]"
elevation;cost1499,"[0.37632570244250785, 0.37632570244250785]"
elevation;cost1994,[0.4010290226770046]
elevation;cost2004,"[0.39846846833380667, 0.39846846833380667]"
elevation;cost2005,"[0.39704439850301554, 0.39704439850301554]"
elevation;cost2500,"[0.4082453695719288, 0.4082453695719288, 0.4082453695719288, 0.4082453695719288]"
elevation;cost2501,[0.40826626090954443]
elevation;cost2997,[0.44753065165753014]
elevation;cost3006,"[0.44714142392107303, 0.44714142392107303, 0.44714142392107303, 0.44714142392107303]"
elevation;cost3503,"[0.4554898711176102, 0.4554898711176102, 0.4554898711176102]"
elevation;cost3504,"[0.45850255851383814, 0.45850255851383814]"
elevation;cost3997,"[0.46698697380600807, 0.46698697380600807, 0.46698697380600807]"
elevation;cost3998,[0.46685981302107815]
elevation;cost4008,[0.47025802371445347]
elevation;cost4495,[0.4796090818333274]
elevation;cost4504,"[0.47935824498076063, 0.47935824498076063, 0.47935824498076063]"
elevation;cost4505,[0.47972613701588285]
elevation;cost496,"[0.3237558908711703, 0.3237558908711703, 0.3237558908711703, 0.3237558908711703]"
elevation;cost5000,"[0.48008833657393934, 0.48008833657393934, 0.48008833657393934, 0.48008833657393934]"
elevation;cost5010,[0.4801663255368338]
elevation;cost506,[0.3118086642575495]
population;cost1004,[-0.35956012901802303]
population;cost1005,"[-0.35863643199075, -0.35863643199075]"
population;cost1491,[-0.25373285774769405]
population;cost1501,"[-0.2429132118958499, -0.2429132118958499, -0.2429132118958499]"
population;cost1502,[-0.2364854338422755]
population;cost1997,"[-0.2574042238729992, -0.2574042238729992]"
population;cost1998,[-0.24861846912617103]
population;cost2008,"[-0.20146572418170106, -0.20146572418170106]"
population;cost2504,[-0.17629783511100805]
population;cost2505,"[-0.17647179044871075, -0.17647179044871075, -0.17647179044871075, -0.17647179044871075]"
population;cost2993,"[-0.11615423635624511, -0.11615423635624511]"
population;cost3003,"[-0.12689758495360914, -0.12689758495360914, -0.12689758495360914]"
population;cost3493,"[-0.09804487298387166, -0.09804487298387166]"
population;cost3494,[-0.044506383005572525]
population;cost3503,"[-0.11345012884762062, -0.11345012884762062]"
population;cost3998,"[-0.041580072216274466, -0.041580072216274466]"
population;cost3999,"[-0.041662103713353105, -0.041662103713353105]"
population;cost4008,[-0.041696830170021126]
population;cost4493,[-0.03157782304720569]
population;cost4503,"[-0.031413908917309774, -0.031413908917309774, -0.031413908917309774, -0.031413908917309774]"
population;cost497,"[-0.7264369133839625, -0.7264369133839625, -0.7264369133839625]"
population;cost498,[-0.7720132198145457]
population;cost5000,"[-0.005869304333825154, -0.005869304333825154, -0.005869304333825154, -0.005869304333825154, -0.005869304333825154]"
population;cost507,[-0.921120894984913]
population;cost994,"[-0.3592336792884867, -0.3592336792884867]"
treecover;cost1002,"[0.7999529465590531, 0.7999529465590531, 0.7999529465590531, 0.7999529465590531, 0.7999529465590531]"
treecover;cost1498,"[0.8149975206432292, 0.8149975206432292, 0.8149975206432292]"
treecover;cost1499,"[0.8160670499052618, 0.8160670499052618]"
treecover;cost1994,[0.823776528304939]
treecover;cost2004,"[0.823241341882373, 0.823241341882373]"
treecover;cost2005,"[0.8211306941255582, 0.8211306941255582]"
treecover;cost2500,"[0.8309323398850057, 0.8309323398850057, 0.8309323398850057, 0.8309323398850057]"
treecover;cost2501,[0.8310452629963749]
treecover;cost2997,[0.8342362294299448]
treecover;cost3006,"[0.8361745200778729, 0.8361745200778729, 0.8361745200778729, 0.8361745200778729]"
treecover;cost3503,"[0.8365690095451087, 0.8365690095451087, 0.8365690095451087]"
treecover;cost3504,"[0.8365816906841413, 0.8365816906841413]"
treecover;cost3997,"[0.843470802782414, 0.843470802782414, 0.843470802782414]"
treecover;cost3998,[0.8433898059276629]
treecover;cost4008,[0.8428629763541285]
treecover;cost4495,[0.845831104488159]
treecover;cost4504,"[0.8463229282908981, 0.8463229282908981, 0.8463229282908981]"
treecover;cost4505,[0.8461495986678579]
treecover;cost496,"[0.7754455826544215, 0.7754455826544215, 0.7754455826544215, 0.7754455826544215]"
treecover;cost5000,"[0.8513339197253367, 0.8513339197253367, 0.8513339197253367, 0.8513339197253367]"
treecover;cost5010,[0.8517975441581873]
treecover;cost506,[0.7830947378237063]
